participant,n_samples,duration_min,n_nan,n_sat_channels,sat_Fp1,sat_Fp2,sat_C3,sat_C4,sat_P7,sat_P8,sat_O1,sat_O2,sat_F7,sat_F8,sat_F3,sat_F4,sat_T7,sat_T8,sat_P3,sat_P4
P01,102091,13.612133333333333,0,6,0.0,0.0,0.0,0.0,100.0,0.0,48.47537980821032,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0
P02,115474,15.396533333333334,0,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P03,98578,13.143733333333333,0,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P04,88012,11.734933333333334,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P05,94527,12.6036,0,0,0.0,0.0,0.0,99.9989421011986,0.0,0.0,0.0,0.0,0.0,0.0,74.88230875834418,0.0,0.0,0.0,0.0,92.18106995884774
P06,118307,15.774266666666668,0,0,0.0,0.0,0.0,0.0,88.2737285198678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.43460657442078,0.0,0.0,0.0
P07,103333,13.777733333333334,0,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
P08,119475,15.93,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.43377275580666,0.0
P09,98652,13.1536,0,1,0.0,0.0,0.5119004176296477,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4840043790293151,99.99898633580668,0.0,0.0
P10,93063,12.4084,0,2,0.0,98.81263230284861,0.0,0.0,0.0,0.0,100.0,6.880285398063678,0.0,0.0,0.0,0.0,0.0,0.0,100.0,62.731697882079885
P11,92475,12.33,0,3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
