participant,Delta,Theta,Alpha,Beta,Gamma
P01,6402.467460044029,629.5354137196904,101.81060855115052,55.405189172043244,11.169700524352145
P02,10826.490125374326,879.6688760034456,152.3831317500521,65.55915163372869,14.518707727429565
P03,3455.4466883455348,539.9611430130409,113.60909007709557,141.16928353348086,76.92028320158846
P04,3100.455854295553,420.4454140828119,102.24164718188977,56.54402578869497,19.612329820541017
P05,335.8732121564883,34.94822458215703,13.124354349310767,14.301693202012595,5.737494263733876
P06,4915.842698032237,184.27041296117233,33.24214526702339,23.656051814598943,13.454136396906254
P07,16759.59842523317,495.132617308269,109.84910131413983,62.2993110295704,14.036326941579928
P08,26659.835766538752,1587.0756471095033,291.6123739148653,140.52965676361785,21.18336964371115
P09,16812.3406950759,516.9509321680641,130.202482485246,62.102592407928775,18.915168056027646
P10,4649.921041206155,248.14230953889984,67.15282632510068,61.87247683860182,22.73879891702407
P11,4255.089035845857,302.212484319732,71.79762625197526,40.775553638110225,13.722848226022233
P12,441431.1377833633,21151.348800089567,2523.826098930516,1138.0417659004538,111.13763638285222
P13,4943.864456643012,236.71727287781798,80.45457869049037,59.457847330670894,20.067392759967348
P14,65387.6097216882,8211.709792750695,3484.8791807377515,1111.0759270514116,93.56140121440731
P15,5479.6633352711815,559.1864372238574,201.27317426175645,186.8356127763649,58.96305094024311
P16,1659.2905710673554,60.800378008531595,28.695119028575697,32.40627349249812,20.038515887600013
P17,9995.079390281895,578.634719856508,101.39039646109579,124.78270485392176,62.2960891099477
P18,235481.69045188496,16668.3114577521,2274.1068085874554,1082.2017844663042,86.12433902123588
P19,118648.67642554721,7475.616278057276,1199.0947004299499,448.61546278389295,96.82550363549608
P20,19924.252062279917,1088.1170834824297,162.13667414764262,98.23794433880188,21.984592931829756
P21,486367.554814537,10909.281689499734,751.2851927722559,270.0914903970451,36.590661908254454
P22,110485.01943626835,12384.518749958603,2242.2032443183957,644.4458864929882,55.19275224160616
P23,77395.39114334164,7316.9217361722385,3080.518999847565,5077.462333792903,3510.3749014014716
P24,2511.415222936401,178.76089081051163,49.359884488647495,43.96313919327748,18.915297167226747
P25_REVISAR,8499.228531182926,2819.530595824469,2778.4148923848447,8679.357249516506,7505.337906740439
P26,122270.1571194475,11207.438855266331,2094.9483988546594,988.9250892382128,70.64450141863807
P27,13727.084723493863,617.1453862961441,113.49686908700197,103.81354142517057,41.523898027871745
P28,61788.88134147227,4106.267021911792,635.5215598564117,189.90328281389333,23.001001645208582
P29,1346210.1488583637,87477.21561622713,19016.022455895658,8755.099841653411,872.5051124870528
P30,111616.83044108385,6978.706275895323,1137.7257928511522,468.3456598662045,51.93026684600872
P31,9944.423241232216,776.6115796960659,89.38471263684096,65.80417949330014,32.51784253550026
P32,8282.74882118417,414.6545594972656,61.616111155717,36.36159289106305,17.122022561623382
P33,886988.6928300267,30919.212590991607,2739.212417682774,658.9205021674792,233.3417478433992
P34,33104.3644916731,3172.029858496256,582.522622759627,321.1692305286793,97.79999406950006
P35,88437.0517268072,4902.961137694719,903.0594567386707,427.6397281519614,57.70994711844648
P36,23621.960053040275,1077.8966068273648,216.46368703295502,102.30468791680505,18.76290880038004
P37,23352.941190727728,2035.346279845127,605.5848538347658,266.23094405390344,31.698800177347934
P38,8140.399009876774,575.5254301849968,143.28120659989602,114.72189072132771,35.35081613316504
P39,15031.300296696423,3761.870626516041,3681.446677290617,11486.47445715911,10048.534352340483
P40,312205.83514482866,8363.959632418093,1358.059839335859,494.10411934622823,173.1562400024299
P41,89822.42027358194,5660.4677890075845,641.4449170752332,158.29520932457123,38.33322641079782
P42,10779.322515378524,513.626564257773,69.500423899905,52.9293358725728,23.820790748233083
P43,16832.97262755887,468.77915093500815,100.60756090582004,63.539970802825884,24.808037945443186
P44,8347.266299093813,558.213998760986,151.169271127661,68.45776841116253,14.90284661563314
P45,99849.12479663432,3070.2641237181197,351.06058365844166,138.3659172551598,29.01830906428274
P46,24252.891895820958,1270.5291867102617,225.80585648935875,258.40937970114567,83.89911298326393
P47,6536.66508224402,1317.790677175963,450.31533662530336,266.72335025080645,37.85106210726276
P48,38473.88901930358,2546.3886780100065,590.8363539095692,397.7927090688587,91.74420167605159
