model_id,fold,variant,kind,macro_score,rows,participants,balanced_accuracy,macro_f1
fold1_reference,1,reference,reference,0.36452540319419385,2886,5,0.36521136521136527,0.3502272877004035
fold1_without_pupil,1,without_pupil,modality,0.37807909847088916,2886,5,0.37733887733887733,0.3505544242259384
fold1_only_pupil,1,only_pupil,unimodal,0.3365283526038538,2886,5,0.3361053361053361,0.2891482527930153
fold1_without_eye,1,without_eye,modality,0.3491663159016739,2886,5,0.3475398475398475,0.32308005795221895
fold1_only_eye,1,only_eye,unimodal,0.3505638530277685,2886,5,0.3503118503118503,0.29635610647690325
fold1_without_eeg,1,without_eeg,modality,0.36271046428566683,2886,5,0.3634788634788635,0.3291990248947147
fold1_only_eeg,1,only_eeg,unimodal,0.35105900730999784,2886,5,0.34892584892584894,0.27709410579331145
fold1_current_keep_smooth,1,current_keep_smooth,temporal,0.36452540319419385,2886,5,0.36521136521136527,0.3502272877004035
fold1_no_smooth,1,no_smooth,temporal,0.34114992537789973,2886,5,0.343035343035343,0.3274707883442087
fold1_current_no_smooth,1,current_no_smooth,temporal,0.34114992537789973,2886,5,0.343035343035343,0.3274707883442087
fold1_drop_pupil_mean_z,1,drop_pupil_mean_z,variable,0.36752622378585725,2886,5,0.3676368676368676,0.35016990173483276
fold1_drop_pupil_std_z,1,drop_pupil_std_z,variable,0.368261918138148,2886,5,0.36832986832986836,0.35384436235825234
fold1_drop_pupil_min_z,1,drop_pupil_min_z,variable,0.36482636520124717,2886,5,0.36417186417186415,0.3493161120126305
fold1_drop_pupil_max_z,1,drop_pupil_max_z,variable,0.3631240649891383,2886,5,0.36382536382536385,0.3492975054852852
fold1_drop_pupil_slope_z_s,1,drop_pupil_slope_z_s,variable,0.3678235487129055,2886,5,0.3686763686763687,0.3532033447239069
fold1_drop_gaze_dispersion_x_px,1,drop_gaze_dispersion_x_px,variable,0.3739265631588511,2886,5,0.3749133749133749,0.3568576030838863
fold1_drop_gaze_dispersion_y_px,1,drop_gaze_dispersion_y_px,variable,0.36856216447645324,2886,5,0.3697158697158697,0.35365902477664984
fold1_drop_gaze_dispersion_2d_px,1,drop_gaze_dispersion_2d_px,variable,0.369575928445672,2886,5,0.37075537075537074,0.3530459262337939
fold1_drop_gaze_path_length_px,1,drop_gaze_path_length_px,variable,0.3641144026419301,2886,5,0.36555786555786557,0.3465308840400661
fold1_drop_fixation_count,1,drop_fixation_count,variable,0.37248438511326554,2886,5,0.3717948717948718,0.3569852815347941
fold1_drop_fixation_total_ms,1,drop_fixation_total_ms,variable,0.3612227231304122,2886,5,0.36209286209286207,0.3443194906644222
fold1_drop_fixation_mean_ms,1,drop_fixation_mean_ms,variable,0.36552370515731225,2886,5,0.3659043659043659,0.350564955112042
fold1_drop_fixation_median_ms,1,drop_fixation_median_ms,variable,0.3661942532134702,2886,5,0.3665973665973666,0.3519831027199449
fold1_drop_saccade_count,1,drop_saccade_count,variable,0.3668810173169774,2886,5,0.3676368676368676,0.35263191013337414
fold1_drop_saccade_mean_ms,1,drop_saccade_mean_ms,variable,0.36824783523380056,2886,5,0.3686763686763687,0.35468270780576044
fold1_drop_eeg_rms_uv,1,drop_eeg_rms_uv,variable,0.3655112252820488,2886,5,0.3662508662508663,0.35157085831958296
fold1_drop_eeg_std_uv,1,drop_eeg_std_uv,variable,0.3641502433684517,2886,5,0.3648648648648649,0.34981099248514497
fold1_drop_eeg_peak_to_peak_uv,1,drop_eeg_peak_to_peak_uv,variable,0.36384858424326316,2886,5,0.36451836451836456,0.34947573442227203
fold1_drop_eeg_delta_relative,1,drop_eeg_delta_relative,variable,0.36452933560018896,2886,5,0.36521136521136527,0.35022873694670337
fold1_drop_eeg_theta_relative,1,drop_eeg_theta_relative,variable,0.36524970043011895,2886,5,0.3659043659043659,0.3509814959729516
fold1_drop_eeg_alpha_relative,1,drop_eeg_alpha_relative,variable,0.364490344805408,2886,5,0.36521136521136527,0.34989493174402164
fold1_drop_eeg_beta_relative,1,drop_eeg_beta_relative,variable,0.3648309947253775,2886,5,0.36555786555786557,0.3505654088262784
fold1_drop_eeg_gamma_relative,1,drop_eeg_gamma_relative,variable,0.3647535616188288,2886,5,0.36555786555786557,0.3505656569240199
fold1_drop_eeg_line_noise_ratio,1,drop_eeg_line_noise_ratio,variable,0.3638604900110067,2886,5,0.3645183645183645,0.34973295677816574
fold1_pca_0.8,1,pca_0.8,pca,0.33581590040712805,2886,5,0.3371448371448372,0.3163472401609007
