model_id,fold,variant,kind,participant,score
fold1_reference,1,reference,reference,P22,0.28216158085764215
fold1_reference,1,reference,reference,P24,0.45861899000761747
fold1_reference,1,reference,reference,P30,0.31255604622438793
fold1_reference,1,reference,reference,P43,0.40719226013343657
fold1_reference,1,reference,reference,P48,0.36209813874788493
fold1_without_pupil,1,without_pupil,modality,P22,0.3319442577407357
fold1_without_pupil,1,without_pupil,modality,P24,0.47215127481292285
fold1_without_pupil,1,without_pupil,modality,P30,0.35459282946720133
fold1_without_pupil,1,without_pupil,modality,P43,0.39668174962292607
fold1_without_pupil,1,without_pupil,modality,P48,0.33502538071065985
fold1_only_pupil,1,only_pupil,unimodal,P22,0.304454003674329
fold1_only_pupil,1,only_pupil,unimodal,P24,0.421998924586638
fold1_only_pupil,1,only_pupil,unimodal,P30,0.27419927922440485
fold1_only_pupil,1,only_pupil,unimodal,P43,0.3740369328604623
fold1_only_pupil,1,only_pupil,unimodal,P48,0.3079526226734349
fold1_without_eye,1,without_eye,modality,P22,0.337724604561545
fold1_without_eye,1,without_eye,modality,P24,0.4393175606040238
fold1_without_eye,1,without_eye,modality,P30,0.2925063025565538
fold1_without_eye,1,without_eye,modality,P43,0.36494639435815907
fold1_without_eye,1,without_eye,modality,P48,0.31133671742808805
fold1_only_eye,1,only_eye,unimodal,P22,0.25268853340502756
fold1_only_eye,1,only_eye,unimodal,P24,0.49137428865886995
fold1_only_eye,1,only_eye,unimodal,P30,0.26090892171294183
fold1_only_eye,1,only_eye,unimodal,P43,0.3891334773687714
fold1_only_eye,1,only_eye,unimodal,P48,0.35871404399323187
fold1_without_eeg,1,without_eeg,modality,P22,0.24121745754357662
fold1_without_eeg,1,without_eeg,modality,P24,0.49909261997580323
fold1_without_eeg,1,without_eeg,modality,P30,0.26748219210530766
fold1_without_eeg,1,without_eeg,modality,P43,0.41320506026388376
fold1_without_eeg,1,without_eeg,modality,P48,0.3925549915397631
fold1_only_eeg,1,only_eeg,unimodal,P22,0.33140655105973027
fold1_only_eeg,1,only_eeg,unimodal,P24,0.45086705202312133
fold1_only_eeg,1,only_eeg,unimodal,P30,0.3518180126220327
fold1_only_eeg,1,only_eeg,unimodal,P43,0.34539969834087475
fold1_only_eeg,1,only_eeg,unimodal,P48,0.2758037225042301
fold1_current_keep_smooth,1,current_keep_smooth,temporal,P22,0.28216158085764215
fold1_current_keep_smooth,1,current_keep_smooth,temporal,P24,0.45861899000761747
fold1_current_keep_smooth,1,current_keep_smooth,temporal,P30,0.31255604622438793
fold1_current_keep_smooth,1,current_keep_smooth,temporal,P43,0.40719226013343657
fold1_current_keep_smooth,1,current_keep_smooth,temporal,P48,0.36209813874788493
fold1_no_smooth,1,no_smooth,temporal,P22,0.26464130483487924
fold1_no_smooth,1,no_smooth,temporal,P24,0.3873168436617825
fold1_no_smooth,1,no_smooth,temporal,P30,0.3193577314180329
fold1_no_smooth,1,no_smooth,temporal,P43,0.38756403462285816
fold1_no_smooth,1,no_smooth,temporal,P48,0.3468697123519459
fold1_current_no_smooth,1,current_no_smooth,temporal,P22,0.26464130483487924
fold1_current_no_smooth,1,current_no_smooth,temporal,P24,0.3873168436617825
fold1_current_no_smooth,1,current_no_smooth,temporal,P30,0.3193577314180329
fold1_current_no_smooth,1,current_no_smooth,temporal,P43,0.38756403462285816
fold1_current_no_smooth,1,current_no_smooth,temporal,P48,0.3468697123519459
fold1_drop_pupil_mean_z,1,drop_pupil_mean_z,variable,P22,0.29569386566294753
fold1_drop_pupil_mean_z,1,drop_pupil_mean_z,variable,P24,0.4720952637003181
fold1_drop_pupil_mean_z,1,drop_pupil_mean_z,variable,P30,0.314264927330254
fold1_drop_pupil_mean_z,1,drop_pupil_mean_z,variable,P43,0.4087073498838205
fold1_drop_pupil_mean_z,1,drop_pupil_mean_z,variable,P48,0.3468697123519459
fold1_drop_pupil_std_z,1,drop_pupil_std_z,variable,P22,0.2879419276784514
fold1_drop_pupil_std_z,1,drop_pupil_std_z,variable,P24,0.47404445041896315
fold1_drop_pupil_std_z,1,drop_pupil_std_z,variable,P30,0.3192731333434851
fold1_drop_pupil_std_z,1,drop_pupil_std_z,variable,P43,0.39964398787928196
