fold,variant,dimensions_before,dimensions_after,retained_variance
1,pca_0.8,28,9,0.8013342867373379
1,pca_0.9,28,13,0.9033211619478708
1,pca_0.95,28,16,0.9575141487092722
1,pca_full,28,28,1.0
2,pca_0.8,324,27,0.8076698980966814
2,pca_0.9,324,44,0.9002150285961869
2,pca_0.95,324,63,0.950651420516133
2,pca_full,324,324,0.999999999999999
3,pca_0.8,324,25,0.8063631089118382
3,pca_0.9,324,41,0.9021729639024192
3,pca_0.95,324,59,0.9512075234922448
3,pca_full,324,324,1.0
4,pca_0.8,324,26,0.8002656739535953
4,pca_0.9,324,45,0.9028070433200388
4,pca_0.95,324,64,0.9511724623068024
4,pca_full,324,324,0.9999999999999996
5,pca_0.8,162,21,0.8008798929364404
5,pca_0.9,162,39,0.902740780901614
5,pca_0.95,162,57,0.9515187525804494
5,pca_full,162,162,1.0000000000000002
