fold,inner,candidate_id,family,window,low,high,score,strength,scale
1,1,rank_w1_l0.200_h0.600,rank,1,0.2,0.6,0.3244815490225375,,
1,1,rank_w1_l0.200_h0.667,rank,1,0.2,0.6666666666666666,0.3266243143561956,,
1,1,rank_w1_l0.200_h0.800,rank,1,0.2,0.8,0.33919556842882825,,
1,1,rank_w1_l0.333_h0.600,rank,1,0.3333333333333333,0.6,0.32913457924796,,
1,1,rank_w1_l0.333_h0.667,rank,1,0.3333333333333333,0.6666666666666666,0.331277344581618,,
1,1,rank_w1_l0.333_h0.800,rank,1,0.3333333333333333,0.8,0.34384859865425077,,
1,1,rank_w1_l0.400_h0.600,rank,1,0.4,0.6,0.32987572620651134,,
1,1,rank_w1_l0.400_h0.667,rank,1,0.4,0.6666666666666666,0.3320184915401694,,
1,1,rank_w1_l0.400_h0.800,rank,1,0.4,0.8,0.34458974561280215,,
1,1,center_w1_s0.25_scaleFalse,center,1,,,0.3444370440907958,0.25,False
1,1,center_w1_s0.25_scaleTrue,center,1,,,0.34907629423930464,0.25,True
1,1,center_w1_s0.5_scaleFalse,center,1,,,0.3512528404758826,0.5,False
1,1,center_w1_s0.5_scaleTrue,center,1,,,0.350125451143777,0.5,True
1,1,center_w1_s1.0_scaleFalse,center,1,,,0.3626719165185806,1.0,False
1,1,center_w1_s1.0_scaleTrue,center,1,,,0.3629652884054689,1.0,True
1,1,rank_w8_l0.200_h0.600,rank,8,0.2,0.6,0.3331416380580204,,
1,1,rank_w8_l0.200_h0.667,rank,8,0.2,0.6666666666666666,0.33664316253977133,,
1,1,rank_w8_l0.200_h0.800,rank,8,0.2,0.8,0.34581842293948056,,
1,1,rank_w8_l0.333_h0.600,rank,8,0.3333333333333333,0.6,0.33991629451342376,,
1,1,rank_w8_l0.333_h0.667,rank,8,0.3333333333333333,0.6666666666666666,0.3434178189951747,,
1,1,rank_w8_l0.333_h0.800,rank,8,0.3333333333333333,0.8,0.352593079394884,,
1,1,rank_w8_l0.400_h0.600,rank,8,0.4,0.6,0.33422368278737874,,
1,1,rank_w8_l0.400_h0.667,rank,8,0.4,0.6666666666666666,0.3377252072691297,,
1,1,rank_w8_l0.400_h0.800,rank,8,0.4,0.8,0.34690046766883886,,
1,1,center_w8_s0.25_scaleFalse,center,8,,,0.3461875882571291,0.25,False
1,1,center_w8_s0.25_scaleTrue,center,8,,,0.35144256203511637,0.25,True
1,1,center_w8_s0.5_scaleFalse,center,8,,,0.3519421177601908,0.5,False
1,1,center_w8_s0.5_scaleTrue,center,8,,,0.34927949077672193,0.5,True
1,1,center_w8_s1.0_scaleFalse,center,8,,,0.3516500048915281,1.0,False
1,1,center_w8_s1.0_scaleTrue,center,8,,,0.34682657267876615,1.0,True
1,1,rank_w32_l0.200_h0.600,rank,32,0.2,0.6,0.32789658865601035,,
1,1,rank_w32_l0.200_h0.667,rank,32,0.2,0.6666666666666666,0.33644684478377984,,
1,1,rank_w32_l0.200_h0.800,rank,32,0.2,0.8,0.3486415820087866,,
1,1,rank_w32_l0.333_h0.600,rank,32,0.3333333333333333,0.6,0.3279765296302224,,
1,1,rank_w32_l0.333_h0.667,rank,32,0.3333333333333333,0.6666666666666666,0.3365267857579919,,
1,1,rank_w32_l0.333_h0.800,rank,32,0.3333333333333333,0.8,0.3487215229829986,,
1,1,rank_w32_l0.400_h0.600,rank,32,0.4,0.6,0.32513464613728105,,
1,1,rank_w32_l0.400_h0.667,rank,32,0.4,0.6666666666666666,0.3336849022650506,,
1,1,rank_w32_l0.400_h0.800,rank,32,0.4,0.8,0.34587963949005723,,
1,1,center_w32_s0.25_scaleFalse,center,32,,,0.3399622454077474,0.25,False
1,1,center_w32_s0.25_scaleTrue,center,32,,,0.3401268300870659,0.25,True
1,1,center_w32_s0.5_scaleFalse,center,32,,,0.33782706067933516,0.5,False
1,1,center_w32_s0.5_scaleTrue,center,32,,,0.34033959275197384,0.5,True
1,1,center_w32_s1.0_scaleFalse,center,32,,,0.34372147375636025,1.0,False
1,1,center_w32_s1.0_scaleTrue,center,32,,,0.33861969571388123,1.0,True
1,1,rank_w64_l0.200_h0.600,rank,64,0.2,0.6,0.32789658865601035,,
1,1,rank_w64_l0.200_h0.667,rank,64,0.2,0.6666666666666666,0.33644684478377984,,
1,1,rank_w64_l0.200_h0.800,rank,64,0.2,0.8,0.3486415820087866,,
1,1,rank_w64_l0.333_h0.600,rank,64,0.3333333333333333,0.6,0.3279765296302224,,
1,1,rank_w64_l0.333_h0.667,rank,64,0.3333333333333333,0.6666666666666666,0.3365267857579919,,
1,1,rank_w64_l0.333_h0.800,rank,64,0.3333333333333333,0.8,0.3487215229829986,,
1,1,rank_w64_l0.400_h0.600,rank,64,0.4,0.6,0.32513464613728105,,
1,1,rank_w64_l0.400_h0.667,rank,64,0.4,0.6666666666666666,0.3336849022650506,,
1,1,rank_w64_l0.400_h0.800,rank,64,0.4,0.8,0.34587963949005723,,
1,1,center_w64_s0.25_scaleFalse,center,64,,,0.3396219072522832,0.25,False
1,1,center_w64_s0.25_scaleTrue,center,64,,,0.3401268300870659,0.25,True
1,1,center_w64_s0.5_scaleFalse,center,64,,,0.33782706067933516,0.5,False
1,1,center_w64_s0.5_scaleTrue,center,64,,,0.34033959275197384,0.5,True
1,1,center_w64_s1.0_scaleFalse,center,64,,,0.34372147375636025,1.0,False
1,1,center_w64_s1.0_scaleTrue,center,64,,,0.33834122175119674,1.0,True
1,2,rank_w1_l0.200_h0.600,rank,1,0.2,0.6,0.34558276462508,,
1,2,rank_w1_l0.200_h0.667,rank,1,0.2,0.6666666666666666,0.34746849380149697,,
1,2,rank_w1_l0.200_h0.800,rank,1,0.2,0.8,0.3491161567015917,,
1,2,rank_w1_l0.333_h0.600,rank,1,0.3333333333333333,0.6,0.3481732814289125,,
1,2,rank_w1_l0.333_h0.667,rank,1,0.3333333333333333,0.6666666666666666,0.3500590106053295,,
1,2,rank_w1_l0.333_h0.800,rank,1,0.3333333333333333,0.8,0.3517066735054242,,
1,2,rank_w1_l0.400_h0.600,rank,1,0.4,0.6,0.352712475971445,,
1,2,rank_w1_l0.400_h0.667,rank,1,0.4,0.6666666666666666,0.354598205147862,,
1,2,rank_w1_l0.400_h0.800,rank,1,0.4,0.8,0.3562458680479567,,
1,2,center_w1_s0.25_scaleFalse,center,1,,,0.3611658997217562,0.25,False
1,2,center_w1_s0.25_scaleTrue,center,1,,,0.3673767703106338,0.25,True
1,2,center_w1_s0.5_scaleFalse,center,1,,,0.3620905175281141,0.5,False
1,2,center_w1_s0.5_scaleTrue,center,1,,,0.3619023387101169,0.5,True
1,2,center_w1_s1.0_scaleFalse,center,1,,,0.35907934788321255,1.0,False
1,2,center_w1_s1.0_scaleTrue,center,1,,,0.3593888096096322,1.0,True
1,2,rank_w8_l0.200_h0.600,rank,8,0.2,0.6,0.3460917102459721,,
1,2,rank_w8_l0.200_h0.667,rank,8,0.2,0.6666666666666666,0.3450438203204843,,
1,2,rank_w8_l0.200_h0.800,rank,8,0.2,0.8,0.35412466190552416,,
