model_id,fold,scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
fold1_all,1,all,20260911,0.3598679041752556,2886,5,0.3617463617463617,0.3508578473628032
fold1_rank,1,rank,20260911,0.33078504165902634,2886,5,0.33160083160083165,0.3239019959246802
fold1_center,1,center,20260911,0.3598679041752556,2886,5,0.3617463617463617,0.3508578473628032
fold2_all,2,all,20260911,0.3304088206152839,2612,5,0.330885971387395,0.32278271301095135
fold2_rank,2,rank,20260911,0.3304088206152839,2612,5,0.330885971387395,0.32278271301095135
fold2_center,2,center,20260911,0.34368699324904667,2612,5,0.3461360680516011,0.3135454967223235
fold3_all,3,all,20260911,0.3903030793918889,2659,5,0.4378018175903893,0.3502291227869743
fold3_rank,3,rank,20260911,0.4031189530423699,2659,5,0.3822284806617197,0.3783624345330197
fold3_center,3,center,20260911,0.3903030793918889,2659,5,0.4378018175903893,0.3502291227869743
fold4_all,4,all,20260911,0.3544142965887666,2660,5,0.3548043260099269,0.2596030297608397
fold4_rank,4,rank,20260911,0.36793177519192993,2660,5,0.3732744440853291,0.3704572704167149
fold4_center,4,center,20260911,0.3544142965887666,2660,5,0.3548043260099269,0.2596030297608397
fold5_all,5,all,20260911,0.387721165450038,2707,5,0.3872744361434402,0.3828606005756548
fold5_rank,5,rank,20260911,0.3807677083874981,2707,5,0.3687354892349184,0.3642317924147825
fold5_center,5,center,20260911,0.387721165450038,2707,5,0.3872744361434402,0.3828606005756548
