model_id,fold,scope,seed,participant,score
fold1_all,1,all,20260911,P22,0.31720213290316795
fold1_all,1,all,20260911,P24,0.3835640991172648
fold1_all,1,all,20260911,P30,0.31092330338561497
fold1_all,1,all,20260911,P43,0.41539956245838594
fold1_all,1,all,20260911,P48,0.37225042301184436
fold1_rank,1,rank,20260911,P22,0.21418649460052874
fold1_rank,1,rank,20260911,P24,0.4822332750817762
fold1_rank,1,rank,20260911,P30,0.2000998257279664
fold1_rank,1,rank,20260911,P43,0.4054597584009349
fold1_rank,1,rank,20260911,P48,0.35194585448392557
fold1_center,1,center,20260911,P22,0.31720213290316795
fold1_center,1,center,20260911,P24,0.3835640991172648
fold1_center,1,center,20260911,P30,0.31092330338561497
fold1_center,1,center,20260911,P43,0.41539956245838594
fold1_center,1,center,20260911,P48,0.37225042301184436
fold2_all,2,all,20260911,P12,0.34584555229716524
fold2_all,2,all,20260911,P19,0.44174528301886795
fold2_all,2,all,20260911,P2,0.40312250959936247
fold2_all,2,all,20260911,P35,0.1685185185185185
fold2_all,2,all,20260911,P40,0.29281223964250547
fold2_rank,2,rank,20260911,P12,0.34584555229716524
fold2_rank,2,rank,20260911,P19,0.44174528301886795
fold2_rank,2,rank,20260911,P2,0.40312250959936247
fold2_rank,2,rank,20260911,P35,0.1685185185185185
fold2_rank,2,rank,20260911,P40,0.29281223964250547
fold2_center,2,center,20260911,P12,0.292054182376763
fold2_center,2,center,20260911,P19,0.465893605870021
fold2_center,2,center,20260911,P2,0.43250742592190106
fold2_center,2,center,20260911,P35,0.19444444444444442
fold2_center,2,center,20260911,P40,0.3335353076321039
fold3_all,3,all,20260911,P18,0.3078556263269639
fold3_all,3,all,20260911,P27,0.43530233207652563
fold3_all,3,all,20260911,P36,0.3857872142940016
fold3_all,3,all,20260911,P46,0.45663265306122447
fold3_all,3,all,20260911,P8,0.3659375712007291
fold3_rank,3,rank,20260911,P18,0.3078556263269639
fold3_rank,3,rank,20260911,P27,0.39340874179583857
fold3_rank,3,rank,20260911,P36,0.36899872374985493
fold3_rank,3,rank,20260911,P46,0.5994897959183674
fold3_rank,3,rank,20260911,P8,0.3458418774208248
fold3_center,3,center,20260911,P18,0.3078556263269639
fold3_center,3,center,20260911,P27,0.43530233207652563
fold3_center,3,center,20260911,P36,0.3857872142940016
fold3_center,3,center,20260911,P46,0.45663265306122447
fold3_center,3,center,20260911,P8,0.3659375712007291
fold4_all,4,all,20260911,P20,0.3537468278847589
fold4_all,4,all,20260911,P3,0.38923395445134573
fold4_all,4,all,20260911,P33,0.3550510262584566
fold4_all,4,all,20260911,P4,0.3137254901960784
fold4_all,4,all,20260911,P9,0.36031418415319344
fold4_rank,4,rank,20260911,P20,0.4215119172015724
fold4_rank,4,rank,20260911,P3,0.4244306418219462
fold4_rank,4,rank,20260911,P33,0.39230592821924093
fold4_rank,4,rank,20260911,P4,0.25490196078431376
fold4_rank,4,rank,20260911,P9,0.3465084279325765
fold4_center,4,center,20260911,P20,0.3537468278847589
fold4_center,4,center,20260911,P3,0.38923395445134573
fold4_center,4,center,20260911,P33,0.3550510262584566
fold4_center,4,center,20260911,P4,0.3137254901960784
fold4_center,4,center,20260911,P9,0.36031418415319344
fold5_all,5,all,20260911,P13,0.3803355842029876
fold5_all,5,all,20260911,P21,0.28023830281894796
fold5_all,5,all,20260911,P26,0.4438095238095238
fold5_all,5,all,20260911,P34,0.3569210292812777
fold5_all,5,all,20260911,P44,0.4773013871374527
fold5_rank,5,rank,20260911,P13,0.33957438101084514
fold5_rank,5,rank,20260911,P21,0.2910200523103749
fold5_rank,5,rank,20260911,P26,0.4266666666666667
fold5_rank,5,rank,20260911,P34,0.4187666370896185
fold5_rank,5,rank,20260911,P44,0.4278108048599852
fold5_center,5,center,20260911,P13,0.3803355842029876
fold5_center,5,center,20260911,P21,0.28023830281894796
fold5_center,5,center,20260911,P26,0.4438095238095238
fold5_center,5,center,20260911,P34,0.3569210292812777
fold5_center,5,center,20260911,P44,0.4773013871374527
