task,kind,model,subset,n_features,rows,participants,macro_score,delta_vs_full,delta_low,delta_high,balanced_accuracy,r2,mae,mse
attention_primary,classification,logistic,full,18,4662,8,0.3372493846785012,0.0,0.0,0.0,0.33574304866993204,,,
attention_primary,classification,logistic,EEG,9,4662,8,0.3392314006020145,0.0019820159235133875,-0.009782261866741646,0.015890071352619748,0.3383257437438995,,,
attention_primary,classification,logistic,GSR,9,4662,8,0.33610322258253983,-0.0011461620959613283,-0.016618796937513145,0.0143748576257284,0.3388088179386885,,,
attention_primary,classification,logistic,top5_train,5,4662,8,0.3356043260952628,-0.0016450585832383721,-0.01772452447443171,0.01119583613685766,0.33539157150022264,,,
attention_primary,classification,logistic,top10_train,10,4662,8,0.33747135019553953,0.00022196551703833334,-0.008679472235988228,0.008895659985239914,0.3366756770625558,,,
attention_primary,classification,random_forest,full,18,4662,8,0.3198424674773872,0.0,0.0,0.0,0.31985774278823476,,,
attention_primary,classification,random_forest,EEG,9,4662,8,0.3264424331430369,0.006599965665649715,-0.00630370316646281,0.023199416192979723,0.3258601672634054,,,
attention_primary,classification,random_forest,GSR,9,4662,8,0.3150362495114868,-0.004806217965900424,-0.025847553001343,0.014850832469025688,0.31832961716576974,,,
attention_primary,classification,random_forest,top5_train,5,4662,8,0.3338357473522835,0.013993279874896299,-0.005726139899969077,0.033389923520873305,0.33273811198824066,,,
attention_primary,classification,random_forest,top10_train,10,4662,8,0.3246207700080807,0.004778302530693522,-0.0070148501452028215,0.01631798812986277,0.32438170089568746,,,
attention_primary,regression,ridge,full,18,4662,8,-0.9997877689080797,0.0,0.0,0.0,,-0.00011025987180368624,0.7378711660583241,1.0001102602427312
attention_primary,regression,ridge,EEG,9,4662,8,-1.000245129849299,-0.0004573609412192037,-0.0020851838899692667,0.0010010621550124211,,-0.000382950103179569,0.7381216117899191,1.000382950474208
attention_primary,regression,ridge,GSR,9,4662,8,-0.9994246321486243,0.0003631367594553597,-0.0015617697429952185,0.0020872450182335568,,0.00040575563493416844,0.7373253305625074,0.9995942447358018
attention_primary,regression,ridge,top5_train,5,4662,8,-0.9995792335754861,0.00020853533259360124,-0.0018050495003064768,0.0019520324903676415,,0.0005152527556485653,0.7381945922221851,0.9994847476150469
attention_primary,regression,ridge,top10_train,10,4662,8,-1.0002023527823365,-0.000414583874256802,-0.0011644912422359946,0.0002004710028785106,,-0.00046272655923251804,0.7381014889162403,1.0004627269302908
attention_primary,regression,random_forest,full,18,4662,8,-1.0857702473847928,0.0,0.0,0.0,,-0.08441038354304453,0.7709590440352695,1.084410383945238
