task,kind,model,feature,participant,importance
attention_primary,classification,logistic,eeg_rms_uv,P23,-0.01376811594202899
attention_primary,classification,logistic,eeg_rms_uv,P28,-0.007907068141967432
attention_primary,classification,logistic,eeg_rms_uv,P31,0.004102564102564088
attention_primary,classification,logistic,eeg_rms_uv,P32,-0.0037301311056967103
attention_primary,classification,logistic,eeg_rms_uv,P38,0.0014545036284166312
attention_primary,classification,logistic,eeg_rms_uv,P41,0.00840613026819923
attention_primary,classification,logistic,eeg_rms_uv,P47,0.0009296148738379805
attention_primary,classification,logistic,eeg_rms_uv,P6,-0.0033883972468042923
attention_primary,classification,logistic,eeg_std_uv,P23,0.021256038647342955
attention_primary,classification,logistic,eeg_std_uv,P28,-0.03528478142572098
attention_primary,classification,logistic,eeg_std_uv,P31,0.007521367521367511
attention_primary,classification,logistic,eeg_std_uv,P32,-0.007104072398190053
attention_primary,classification,logistic,eeg_std_uv,P38,-0.010988246857812129
attention_primary,classification,logistic,eeg_std_uv,P41,0.0024958949096880066
attention_primary,classification,logistic,eeg_std_uv,P47,0.010889774236387772
attention_primary,classification,logistic,eeg_std_uv,P6,-0.00964208456243853
attention_primary,classification,logistic,eeg_peak_to_peak_uv,P23,-0.014492753623188425
attention_primary,classification,logistic,eeg_peak_to_peak_uv,P28,0.011835661164520278
attention_primary,classification,logistic,eeg_peak_to_peak_uv,P31,0.01572649572649574
attention_primary,classification,logistic,eeg_peak_to_peak_uv,P32,0.004665274393781183
attention_primary,classification,logistic,eeg_peak_to_peak_uv,P38,0.014388188301231753
attention_primary,classification,logistic,eeg_peak_to_peak_uv,P41,0.0027159277504104963
attention_primary,classification,logistic,eeg_peak_to_peak_uv,P47,0.0095617529880478
attention_primary,classification,logistic,eeg_peak_to_peak_uv,P6,-0.010059652572926897
attention_primary,classification,logistic,eeg_delta_relative,P23,0.02801932367149757
attention_primary,classification,logistic,eeg_delta_relative,P28,0.00606143055807491
attention_primary,classification,logistic,eeg_delta_relative,P31,-0.0011965811965811812
attention_primary,classification,logistic,eeg_delta_relative,P32,-0.003379742429516197
attention_primary,classification,logistic,eeg_delta_relative,P38,-0.014116318464144583
attention_primary,classification,logistic,eeg_delta_relative,P41,-0.010442255062944716
attention_primary,classification,logistic,eeg_delta_relative,P47,0.005179282868525892
attention_primary,classification,logistic,eeg_delta_relative,P6,-0.009194362504096987
attention_primary,classification,logistic,eeg_theta_relative,P23,0.036231884057970995
attention_primary,classification,logistic,eeg_theta_relative,P28,0.004486365560191108
attention_primary,classification,logistic,eeg_theta_relative,P31,-0.0027350427350427255
attention_primary,classification,logistic,eeg_theta_relative,P32,-0.006672467803689524
attention_primary,classification,logistic,eeg_theta_relative,P38,-0.023197293849467816
attention_primary,classification,logistic,eeg_theta_relative,P41,0.0007422003284072276
attention_primary,classification,logistic,eeg_theta_relative,P47,0.005577689243027884
attention_primary,classification,logistic,eeg_theta_relative,P6,-0.012284496886266788
attention_primary,classification,logistic,eeg_alpha_relative,P23,-0.0012077294685990559
attention_primary,classification,logistic,eeg_alpha_relative,P28,-0.007226857730213404
attention_primary,classification,logistic,eeg_alpha_relative,P31,5.551115123125783e-18
attention_primary,classification,logistic,eeg_alpha_relative,P32,0.008083304327648205
attention_primary,classification,logistic,eeg_alpha_relative,P38,-0.012582868017650656
attention_primary,classification,logistic,eeg_alpha_relative,P41,-0.00022222222222222364
attention_primary,classification,logistic,eeg_alpha_relative,P47,0.004515272244355906
attention_primary,classification,logistic,eeg_alpha_relative,P6,-0.012490986561783008
attention_primary,classification,logistic,eeg_beta_relative,P23,0.034782608695652154
attention_primary,classification,logistic,eeg_beta_relative,P28,0.0004277767700587076
attention_primary,classification,logistic,eeg_beta_relative,P31,0.004273504273504275
attention_primary,classification,logistic,eeg_beta_relative,P32,0.0047998607727114725
attention_primary,classification,logistic,eeg_beta_relative,P38,-0.01604659430746393
attention_primary,classification,logistic,eeg_beta_relative,P41,0.00023973727422004209
attention_primary,classification,logistic,eeg_beta_relative,P47,-0.00039840637450199167
attention_primary,classification,logistic,eeg_beta_relative,P6,-0.0018275975090134289
attention_primary,classification,logistic,eeg_gamma_relative,P23,0.0024154589371980393
attention_primary,classification,logistic,eeg_gamma_relative,P28,-0.00022975996130354394
attention_primary,classification,logistic,eeg_gamma_relative,P31,0.014358974358974347
attention_primary,classification,logistic,eeg_gamma_relative,P32,0.006387051862164983
attention_primary,classification,logistic,eeg_gamma_relative,P38,-0.005173892130413893
attention_primary,classification,logistic,eeg_gamma_relative,P41,-0.00702025177887246
attention_primary,classification,logistic,eeg_gamma_relative,P47,0.0071713147410358506
attention_primary,classification,logistic,eeg_gamma_relative,P6,-0.012407079646017671
attention_primary,classification,logistic,eeg_line_noise_ratio,P23,0.015217391304347799
attention_primary,classification,logistic,eeg_line_noise_ratio,P28,2.7208416470192454e-05
attention_primary,classification,logistic,eeg_line_noise_ratio,P31,0.00444444444444444
attention_primary,classification,logistic,eeg_line_noise_ratio,P32,0.012749738948833972
attention_primary,classification,logistic,eeg_line_noise_ratio,P38,-0.01202762615806099
attention_primary,classification,logistic,eeg_line_noise_ratio,P41,-0.012665571975916796
attention_primary,classification,logistic,eeg_line_noise_ratio,P47,-0.0010624169986719779
attention_primary,classification,logistic,eeg_line_noise_ratio,P6,-0.010512618813503766
attention_primary,classification,logistic,gsr_mean_z,P23,-0.005555555555555547
attention_primary,classification,logistic,gsr_mean_z,P28,0.004743333937964866
attention_primary,classification,logistic,gsr_mean_z,P31,0.001025641025641022
attention_primary,classification,logistic,gsr_mean_z,P32,-0.011613876319758682
attention_primary,classification,logistic,gsr_mean_z,P38,-0.003442290398812181
attention_primary,classification,logistic,gsr_mean_z,P41,0.0001926655719759196
attention_primary,classification,logistic,gsr_mean_z,P47,0.0013280212483399723
attention_primary,classification,logistic,gsr_mean_z,P6,0.006068174369059343
attention_primary,classification,logistic,gsr_std_z,P23,0.021739130434782556
attention_primary,classification,logistic,gsr_std_z,P28,-0.01554205211923328
attention_primary,classification,logistic,gsr_std_z,P31,0.0027350427350427255
attention_primary,classification,logistic,gsr_std_z,P32,-0.0025362571063928473
attention_primary,classification,logistic,gsr_std_z,P38,-0.004748311270050437
attention_primary,classification,logistic,gsr_std_z,P41,0.004197044334975364
attention_primary,classification,logistic,gsr_std_z,P47,-0.0007968127490039833
attention_primary,classification,logistic,gsr_std_z,P6,0.002373647984267474
attention_primary,classification,logistic,gsr_min_z,P23,0.01570048309178742
attention_primary,classification,logistic,gsr_min_z,P28,0.018834270512122896
attention_primary,classification,logistic,gsr_min_z,P31,-0.0013675213675213627
attention_primary,classification,logistic,gsr_min_z,P32,0.035647987005453075
attention_primary,classification,logistic,gsr_min_z,P38,-0.00262720371416027
attention_primary,classification,logistic,gsr_min_z,P41,0.0003787629994526531
attention_primary,classification,logistic,gsr_min_z,P47,0.002921646746347939
attention_primary,classification,logistic,gsr_min_z,P6,-0.012546050475253995
attention_primary,classification,logistic,gsr_max_z,P23,0.0012077294685990392
attention_primary,classification,logistic,gsr_max_z,P28,-0.0027042142813954615
attention_primary,classification,logistic,gsr_max_z,P31,0.000512820512820511
attention_primary,classification,logistic,gsr_max_z,P32,-0.000590555748926791
attention_primary,classification,logistic,gsr_max_z,P38,-0.0005332831419788131
attention_primary,classification,logistic,gsr_max_z,P41,0.002489326765188854
attention_primary,classification,logistic,gsr_max_z,P47,-0.00039840637450199167
attention_primary,classification,logistic,gsr_max_z,P6,0.002521796132415627
attention_primary,classification,logistic,gsr_tonic_mean_z,P23,-0.0026570048309178806
attention_primary,classification,logistic,gsr_tonic_mean_z,P28,0.0036217425479170783
attention_primary,classification,logistic,gsr_tonic_mean_z,P31,0.0008547008547008517
attention_primary,classification,logistic,gsr_tonic_mean_z,P32,-0.006904513284603786
attention_primary,classification,logistic,gsr_tonic_mean_z,P38,-0.003966685488424659
attention_primary,classification,logistic,gsr_tonic_mean_z,P41,0.0011428571428571455
attention_primary,classification,logistic,gsr_tonic_mean_z,P47,0.0021248339973439557
attention_primary,classification,logistic,gsr_tonic_mean_z,P6,0.0016302851524090834
attention_primary,classification,logistic,gsr_phasic_mean_z,P23,0.0033816425120772875
attention_primary,classification,logistic,gsr_phasic_mean_z,P28,0.009232722655541491
attention_primary,classification,logistic,gsr_phasic_mean_z,P31,0.000512820512820511
attention_primary,classification,logistic,gsr_phasic_mean_z,P32,0.01159879336349926
attention_primary,classification,logistic,gsr_phasic_mean_z,P38,-0.0018555116381203552
attention_primary,classification,logistic,gsr_phasic_mean_z,P41,0.0013223864258346985
