model_id,fold,scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
fold1__global__20260911,1,global,20260911,0.3436680801810078,2886,5,0.34372834372834377,0.29006609741217176
fold1__global__20260912,1,global,20260912,0.3433594157898251,2886,5,0.34303534303534305,0.28985629594662005
fold2__global__20260911,2,global,20260911,0.3154028655923301,2612,5,0.3152553692572674,0.2882018245764145
fold2__global__20260912,2,global,20260912,0.3154028655923301,2612,5,0.3152553692572674,0.2882018245764145
fold3__global__20260911,3,global,20260911,0.36168602055418275,2659,5,0.3931939644572355,0.316239521266765
fold3__global__20260912,3,global,20260912,0.36168602055418275,2659,5,0.3931939644572355,0.316239521266765
fold4__global__20260911,4,global,20260911,0.3562626879279234,2660,5,0.35664387274425424,0.29843659837987685
fold4__global__20260912,4,global,20260912,0.35406850871402656,2660,5,0.3547648798844271,0.2973651401812321
fold5__global__20260911,5,global,20260911,0.3611165372629709,2707,5,0.3303942088734996,0.24494155004409887
fold5__global__20260912,5,global,20260912,0.3661662865973519,2707,5,0.33671310259455484,0.24904474078528968
