model_id,fold,scope,seed,participant,score
fold1__global__20260911,1,global,20260911,P22,0.3280906931935296
fold1__global__20260911,1,global,20260911,P24,0.38545727472330515
fold1__global__20260911,1,global,20260911,P30,0.2758066426408135
fold1__global__20260911,1,global,20260911,P43,0.3770399358634653
fold1__global__20260911,1,global,20260911,P48,0.35194585448392557
fold1__global__20260912,1,global,20260912,P22,0.3242259264238025
fold1__global__20260912,1,global,20260912,P24,0.40084912846708787
fold1__global__20260912,1,global,20260912,P30,0.2892577364939174
fold1__global__20260912,1,global,20260912,P43,0.37251504898563725
fold1__global__20260912,1,global,20260912,P48,0.3299492385786802
fold2__global__20260911,2,global,20260911,P12,0.33527440301633854
fold2__global__20260911,2,global,20260911,P19,0.3353118448637316
fold2__global__20260911,2,global,20260911,P2,0.33621676447149174
fold2__global__20260911,2,global,20260911,P35,0.25925925925925924
fold2__global__20260911,2,global,20260911,P40,0.3109520563508294
fold2__global__20260912,2,global,20260912,P12,0.33527440301633854
fold2__global__20260912,2,global,20260912,P19,0.3353118448637316
fold2__global__20260912,2,global,20260912,P2,0.33621676447149174
fold2__global__20260912,2,global,20260912,P35,0.25925925925925924
fold2__global__20260912,2,global,20260912,P40,0.3109520563508294
fold3__global__20260911,3,global,20260911,P18,0.33121019108280253
fold3__global__20260911,3,global,20260911,P27,0.474249406507471
fold3__global__20260911,3,global,20260911,P36,0.39335189697180645
fold3__global__20260911,3,global,20260911,P46,0.274234693877551
fold3__global__20260911,3,global,20260911,P8,0.33538391433128273
fold3__global__20260912,3,global,20260912,P18,0.33121019108280253
fold3__global__20260912,3,global,20260912,P27,0.474249406507471
fold3__global__20260912,3,global,20260912,P36,0.39335189697180645
fold3__global__20260912,3,global,20260912,P46,0.274234693877551
fold3__global__20260912,3,global,20260912,P8,0.33538391433128273
fold4__global__20260911,4,global,20260911,P20,0.35638403741852026
fold4__global__20260911,4,global,20260911,P3,0.38923395445134573
fold4__global__20260911,4,global,20260911,P33,0.37238848755876625
fold4__global__20260911,4,global,20260911,P4,0.3202614379084967
fold4__global__20260911,4,global,20260911,P9,0.34304552230248825
fold4__global__20260912,4,global,20260912,P20,0.3606943822461064
fold4__global__20260912,4,global,20260912,P3,0.3830227743271222
fold4__global__20260912,4,global,20260912,P33,0.3606925811260177
fold4__global__20260912,4,global,20260912,P4,0.32679738562091504
fold4__global__20260912,4,global,20260912,P9,0.3391354202499714
fold5__global__20260911,5,global,20260911,P13,0.33528749744219355
fold5__global__20260911,5,global,20260911,P21,0.36404146081565436
fold5__global__20260911,5,global,20260911,P26,0.36761904761904757
fold5__global__20260911,5,global,20260911,P34,0.40714285714285714
fold5__global__20260911,5,global,20260911,P44,0.331491823295102
fold5__global__20260912,5,global,20260912,P13,0.33715981174544707
fold5__global__20260912,5,global,20260912,P21,0.3640317737091931
fold5__global__20260912,5,global,20260912,P26,0.3657142857142857
fold5__global__20260912,5,global,20260912,P34,0.4306122448979592
fold5__global__20260912,5,global,20260912,P44,0.3333133169198743
