scope,seed,label,true_rows,predicted_rows,predicted_fraction,global_recall,participant_recall
all,20260911,bajo,5015,7306,0.5402247855664005,0.5607178464606182,0.566043078432399
all,20260911,medio,4134,1316,0.09730848861283643,0.09409772617319787,0.09753201520446704
all,20260911,alto,4375,4902,0.3624667258207631,0.36114285714285715,0.3707606973863332
all,20260912,bajo,5015,7370,0.5449571132800947,0.5659022931206381,0.5704082987709327
all,20260912,medio,4134,1292,0.09553386572020113,0.09143686502177069,0.09520865717804385
all,20260912,alto,4375,4862,0.3595090209997042,0.3579428571428571,0.3630566234373336
catboost,20260911,bajo,5015,8727,0.6452972493345164,0.655234297108674,0.6661180614836316
catboost,20260911,medio,4134,1088,0.08044957113280095,0.09482341557813256,0.0884546947496307
catboost,20260911,alto,4375,3709,0.27425317953268263,0.2738285714285714,0.28162029548747664
catboost,20260912,bajo,5015,8775,0.6488464951197871,0.6608175473579262,0.670084279476646
catboost,20260912,medio,4134,1097,0.08111505471753919,0.09675858732462506,0.09132692770189134
catboost,20260912,alto,4375,3652,0.27003845016267375,0.26902857142857145,0.2726724667627172
global,20260911,bajo,5015,7911,0.5849600709849158,0.6185443668993021,0.6062199759754785
global,20260911,medio,4134,2593,0.19173321502514049,0.19400096758587324,0.19653596577276666
global,20260911,alto,4375,3020,0.2233067139899438,0.23314285714285715,0.22859354838380877
global,20260912,bajo,5015,7957,0.5883614315291333,0.6255234297108674,0.6106127646695864
global,20260912,medio,4134,2558,0.189145223306714,0.19206579583938074,0.1945281135232999
global,20260912,alto,4375,3009,0.22249334516415262,0.23085714285714284,0.22663735168658705
ordinal,20260911,bajo,5015,9331,0.6899585921325052,0.732801595214357,0.7364555309467623
ordinal,20260911,medio,4134,2328,0.17213842058562556,0.1792452830188679,0.18221747526737692
ordinal,20260911,alto,4375,1865,0.13790298728186928,0.14582857142857142,0.14122307879505988
ordinal,20260912,bajo,5015,9331,0.6899585921325052,0.732801595214357,0.7364555309467623
ordinal,20260912,medio,4134,2328,0.17213842058562556,0.1792452830188679,0.18221747526737692
ordinal,20260912,alto,4375,1865,0.13790298728186928,0.14582857142857142,0.14122307879505988
participant,20260911,bajo,5015,7306,0.5402247855664005,0.5607178464606182,0.566043078432399
participant,20260911,medio,4134,1316,0.09730848861283643,0.09409772617319787,0.09753201520446704
participant,20260911,alto,4375,4902,0.3624667258207631,0.36114285714285715,0.3707606973863332
participant,20260912,bajo,5015,7370,0.5449571132800947,0.5659022931206381,0.5704082987709327
participant,20260912,medio,4134,1292,0.09553386572020113,0.09143686502177069,0.09520865717804385
participant,20260912,alto,4375,4862,0.3595090209997042,0.3579428571428571,0.3630566234373336
unadjusted,20260911,bajo,5015,5244,0.3877551020408163,0.3948155533399801,0.4000423776753261
unadjusted,20260911,medio,4134,3628,0.26826382727003845,0.2779390420899855,0.27876628810945236
unadjusted,20260911,alto,4375,4652,0.34398107068914524,0.3392,0.3514817276127329
unadjusted,20260912,bajo,5015,5333,0.39433599526767227,0.40797607178464607,0.4071378266254786
unadjusted,20260912,medio,4134,3601,0.2662673765158237,0.276003870343493,0.2767584439863814
unadjusted,20260912,alto,4375,4590,0.339396628216504,0.3396571428571429,0.344377154654632
