scope,reference,mean_delta,ci_low,ci_high,positive_participants,participants
all,previous_late_geometric,-0.012916331021729599,-0.03426260967850559,0.009550503650550497,10,25
all,previous_fixed_logistic,-0.006383248397078811,-0.023821985430245496,0.013189680223266399,11,25
all,unadjusted,0.00649005436866882,-0.011642411968717013,0.026884819634618074,12,25
all,global,0.004287260923669303,-0.013075453542745065,0.02102213400434482,15,25
unadjusted,previous_late_geometric,-0.019406385390398417,-0.03588489458077092,-0.003803973576912816,11,25
unadjusted,previous_fixed_logistic,-0.012873302765747632,-0.027284347700792935,-0.0002876427477622276,11,25
unadjusted,global,-0.0022027934449995166,-0.020860790667191438,0.016212176314520994,13,25
participant,previous_late_geometric,-0.012916331021729599,-0.03426260967850559,0.009550503650550497,10,25
participant,previous_fixed_logistic,-0.006383248397078811,-0.023821985430245496,0.013189680223266399,11,25
participant,unadjusted,0.00649005436866882,-0.011642411968717013,0.026884819634618074,12,25
participant,global,0.004287260923669303,-0.013075453542745065,0.02102213400434482,15,25
ordinal,previous_late_geometric,-0.006879912944088193,-0.025607118070507254,0.012658149443480716,11,25
ordinal,previous_fixed_logistic,-0.00034683031943740563,-0.014316768285615069,0.014242237139746991,11,25
ordinal,unadjusted,0.012526472446310223,-0.006508448850624271,0.03194448675787513,15,25
ordinal,global,0.010323679001310709,-0.002291969765991839,0.02380073140330696,16,25
catboost,previous_late_geometric,-0.009593542303698337,-0.03500125361243966,0.016071115202943645,11,25
catboost,previous_fixed_logistic,-0.00306045967904755,-0.02178501802040435,0.01797182246885869,14,25
catboost,unadjusted,0.009812843086700078,-0.009898417621902767,0.030845979902580718,15,25
catboost,global,0.007610049641700565,-0.01413370416836423,0.033483682043574714,15,25
global,previous_late_geometric,-0.017203591945398902,-0.03871136167544494,0.0033376064890848754,10,25
global,previous_fixed_logistic,-0.010670509320748114,-0.025562384206238662,0.003966270770393728,10,25
global,unadjusted,0.0022027934449995166,-0.016212176314521,0.020860790667191417,12,25
