model_id,scope,fold,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
fold1__all__20260911,all,1,20260911,0.3312793485870774,2886,5,0.33506583506583504,0.26809646658037933
fold1__all__20260912,all,1,20260912,0.33286601224645024,2886,5,0.33645183645183646,0.268478149532772
fold1__unadjusted__20260911,unadjusted,1,20260911,0.3243968504403679,2886,5,0.32744282744282743,0.30471054153632476
fold1__unadjusted__20260912,unadjusted,1,20260912,0.3268276466760616,2886,5,0.33021483021483017,0.3068794901923309
fold1__participant__20260911,participant,1,20260911,0.3312793485870774,2886,5,0.33506583506583504,0.26809646658037933
fold1__participant__20260912,participant,1,20260912,0.33286601224645024,2886,5,0.33645183645183646,0.268478149532772
fold1__ordinal__20260911,ordinal,1,20260911,0.3536159383050212,2886,5,0.35412335412335416,0.29450028741094303
fold1__ordinal__20260912,ordinal,1,20260912,0.3536159383050212,2886,5,0.35412335412335416,0.29450028741094303
fold1__catboost__20260911,catboost,1,20260911,0.3312793485870774,2886,5,0.33506583506583504,0.26809646658037933
fold1__catboost__20260912,catboost,1,20260912,0.33286601224645024,2886,5,0.33645183645183646,0.268478149532772
fold2__all__20260911,all,2,20260911,0.30773933277173426,2612,5,0.3065002284790327,0.25283312979859884
fold2__all__20260912,all,2,20260912,0.30773933277173426,2612,5,0.3065002284790327,0.25283312979859884
fold2__unadjusted__20260911,unadjusted,2,20260911,0.32752735076503847,2612,5,0.3278138071636964,0.32001610835826927
fold2__unadjusted__20260912,unadjusted,2,20260912,0.32752735076503847,2612,5,0.3278138071636964,0.32001610835826927
fold2__participant__20260911,participant,2,20260911,0.30773933277173426,2612,5,0.3065002284790327,0.25283312979859884
fold2__participant__20260912,participant,2,20260912,0.30773933277173426,2612,5,0.3065002284790327,0.25283312979859884
fold2__ordinal__20260911,ordinal,2,20260911,0.3392745112540262,2612,5,0.33938714893317873,0.28243200834832966
fold2__ordinal__20260912,ordinal,2,20260912,0.3392745112540262,2612,5,0.33938714893317873,0.28243200834832966
fold2__catboost__20260911,catboost,2,20260911,0.3209029099659654,2612,5,0.3227644205420226,0.2547357884343961
fold2__catboost__20260912,catboost,2,20260912,0.3213461846669766,2612,5,0.3231387746493726,0.2518383539367506
fold3__all__20260911,all,3,20260911,0.3874857855058259,2659,5,0.3997705008274009,0.3517960818407091
fold3__all__20260912,all,3,20260912,0.3874857855058259,2659,5,0.3997705008274009,0.3517960818407091
fold3__unadjusted__20260911,unadjusted,3,20260911,0.3830996216266457,2659,5,0.3996522299555781,0.3891200042590551
fold3__unadjusted__20260912,unadjusted,3,20260912,0.3830996216266457,2659,5,0.3996522299555781,0.3891200042590551
fold3__participant__20260911,participant,3,20260911,0.3874857855058259,2659,5,0.3997705008274009,0.3517960818407091
fold3__participant__20260912,participant,3,20260912,0.3874857855058259,2659,5,0.3997705008274009,0.3517960818407091
fold3__ordinal__20260911,ordinal,3,20260911,0.3874857855058259,2659,5,0.3997705008274009,0.3517960818407091
fold3__ordinal__20260912,ordinal,3,20260912,0.3874857855058259,2659,5,0.3997705008274009,0.3517960818407091
fold3__catboost__20260911,catboost,3,20260911,0.38815176172528176,2659,5,0.3698418090884205,0.2753263065507969
fold3__catboost__20260912,catboost,3,20260912,0.3932772673772092,2659,5,0.37541562898743014,0.28238240504191414
fold4__all__20260911,all,4,20260911,0.37288196277086505,2660,5,0.3739229723206962,0.301140441297434
fold4__all__20260912,all,4,20260912,0.37694208100806653,2660,5,0.3780537875491062,0.3003990841136242
fold4__unadjusted__20260911,unadjusted,4,20260911,0.3418988963561723,2660,5,0.34475701610844034,0.34256118758472104
fold4__unadjusted__20260912,unadjusted,4,20260912,0.3418988963561723,2660,5,0.34475701610844034,0.34256118758472104
fold4__participant__20260911,participant,4,20260911,0.37288196277086505,2660,5,0.3739229723206962,0.301140441297434
fold4__participant__20260912,participant,4,20260912,0.37694208100806653,2660,5,0.3780537875491062,0.3003990841136242
fold4__ordinal__20260911,ordinal,4,20260911,0.34999190718884277,2660,5,0.3506802972117103,0.24280701022371062
fold4__ordinal__20260912,ordinal,4,20260912,0.34999190718884277,2660,5,0.3506802972117103,0.24280701022371062
fold4__catboost__20260911,catboost,4,20260911,0.37288196277086505,2660,5,0.3739229723206962,0.301140441297434
fold4__catboost__20260912,catboost,4,20260912,0.37694208100806653,2660,5,0.3780537875491062,0.3003990841136242
fold5__all__20260911,all,5,20260911,0.3687856348310913,2707,5,0.32195029930440455,0.2731048573084835
fold5__all__20260912,all,5,20260912,0.34848662200415353,2707,5,0.31282521575849076,0.26649080317868523
fold5__unadjusted__20260911,unadjusted,5,20260911,0.35513466741787886,2707,5,0.3146840417506984,0.30953923612886164
fold5__unadjusted__20260912,unadjusted,5,20260912,0.3453804522861147,2707,5,0.32628798707192547,0.32335595605633577
fold5__participant__20260911,participant,5,20260911,0.3687856348310913,2707,5,0.32195029930440455,0.2731048573084835
fold5__participant__20260912,participant,5,20260912,0.34848662200415353,2707,5,0.31282521575849076,0.26649080317868523
fold5__ordinal__20260911,ordinal,5,20260911,0.36065989713590313,2707,5,0.3376164189134583,0.2815267046340311
fold5__ordinal__20260912,ordinal,5,20260912,0.36065989713590313,2707,5,0.3376164189134583,0.2815267046340311
fold5__catboost__20260911,catboost,5,20260911,0.3687856348310913,2707,5,0.32195029930440455,0.2731048573084835
fold5__catboost__20260912,catboost,5,20260912,0.34848662200415353,2707,5,0.31282521575849076,0.26649080317868523
