model_id,scope,fold,seed,participant,score
fold1__all__20260911,all,1,20260911,P22,0.2524084778420039
fold1__all__20260911,all,1,20260911,P24,0.36030828516377644
fold1__all__20260911,all,1,20260911,P30,0.23063973063973062
fold1__all__20260911,all,1,20260911,P43,0.4374057315233786
fold1__all__20260911,all,1,20260911,P48,0.3756345177664975
fold1__all__20260912,all,1,20260912,P22,0.2524084778420039
fold1__all__20260912,all,1,20260912,P24,0.3699421965317919
fold1__all__20260912,all,1,20260912,P30,0.23232323232323235
fold1__all__20260912,all,1,20260912,P43,0.4374057315233786
fold1__all__20260912,all,1,20260912,P48,0.37225042301184436
fold1__unadjusted__20260911,unadjusted,1,20260911,P22,0.2487901599677376
fold1__unadjusted__20260911,unadjusted,1,20260911,P24,0.34682080924855496
fold1__unadjusted__20260911,unadjusted,1,20260911,P30,0.26234708898025483
fold1__unadjusted__20260911,unadjusted,1,20260911,P43,0.395159865748101
fold1__unadjusted__20260911,unadjusted,1,20260911,P48,0.3688663282571912
fold1__unadjusted__20260912,unadjusted,1,20260912,P22,0.24294259981180266
fold1__unadjusted__20260912,unadjusted,1,20260912,P24,0.350696778240803
fold1__unadjusted__20260912,unadjusted,1,20260912,P30,0.2691149349440806
fold1__unadjusted__20260912,unadjusted,1,20260912,P43,0.4042096395037571
fold1__unadjusted__20260912,unadjusted,1,20260912,P48,0.36717428087986465
fold1__participant__20260911,participant,1,20260911,P22,0.2524084778420039
fold1__participant__20260911,participant,1,20260911,P24,0.36030828516377644
fold1__participant__20260911,participant,1,20260911,P30,0.23063973063973062
fold1__participant__20260911,participant,1,20260911,P43,0.4374057315233786
fold1__participant__20260911,participant,1,20260911,P48,0.3756345177664975
fold1__participant__20260912,participant,1,20260912,P22,0.2524084778420039
fold1__participant__20260912,participant,1,20260912,P24,0.3699421965317919
fold1__participant__20260912,participant,1,20260912,P30,0.23232323232323235
fold1__participant__20260912,participant,1,20260912,P43,0.4374057315233786
fold1__participant__20260912,participant,1,20260912,P48,0.37225042301184436
fold1__ordinal__20260911,ordinal,1,20260911,P22,0.2892301832683604
fold1__ordinal__20260911,ordinal,1,20260911,P24,0.45279383429672443
fold1__ordinal__20260911,ordinal,1,20260911,P30,0.30126220327225356
fold1__ordinal__20260911,ordinal,1,20260911,P43,0.411764705882353
fold1__ordinal__20260911,ordinal,1,20260911,P48,0.3130287648054146
fold1__ordinal__20260912,ordinal,1,20260912,P22,0.2892301832683604
fold1__ordinal__20260912,ordinal,1,20260912,P24,0.45279383429672443
fold1__ordinal__20260912,ordinal,1,20260912,P30,0.30126220327225356
fold1__ordinal__20260912,ordinal,1,20260912,P43,0.411764705882353
fold1__ordinal__20260912,ordinal,1,20260912,P48,0.3130287648054146
fold1__catboost__20260911,catboost,1,20260911,P22,0.2524084778420039
fold1__catboost__20260911,catboost,1,20260911,P24,0.36030828516377644
fold1__catboost__20260911,catboost,1,20260911,P30,0.23063973063973062
fold1__catboost__20260911,catboost,1,20260911,P43,0.4374057315233786
fold1__catboost__20260911,catboost,1,20260911,P48,0.3756345177664975
fold1__catboost__20260912,catboost,1,20260912,P22,0.2524084778420039
fold1__catboost__20260912,catboost,1,20260912,P24,0.3699421965317919
fold1__catboost__20260912,catboost,1,20260912,P30,0.23232323232323235
fold1__catboost__20260912,catboost,1,20260912,P43,0.4374057315233786
fold1__catboost__20260912,catboost,1,20260912,P48,0.37225042301184436
fold2__all__20260911,all,2,20260911,P12,0.34187962575059344
fold2__all__20260911,all,2,20260911,P19,0.3438155136268344
fold2__all__20260911,all,2,20260911,P2,0.3177570093457944
fold2__all__20260911,all,2,20260911,P35,0.24074074074074073
fold2__all__20260911,all,2,20260911,P40,0.29450377439470826
fold2__all__20260912,all,2,20260912,P12,0.34187962575059344
fold2__all__20260912,all,2,20260912,P19,0.3438155136268344
fold2__all__20260912,all,2,20260912,P2,0.3177570093457944
fold2__all__20260912,all,2,20260912,P35,0.24074074074074073
fold2__all__20260912,all,2,20260912,P40,0.29450377439470826
fold2__unadjusted__20260911,unadjusted,2,20260911,P12,0.3284876413908672
fold2__unadjusted__20260911,unadjusted,2,20260911,P19,0.3602070230607966
fold2__unadjusted__20260911,unadjusted,2,20260911,P2,0.34844599000217347
fold2__unadjusted__20260911,unadjusted,2,20260911,P35,0.2833333333333334
fold2__unadjusted__20260911,unadjusted,2,20260911,P40,0.3171627660380217
fold2__unadjusted__20260912,unadjusted,2,20260912,P12,0.3284876413908672
fold2__unadjusted__20260912,unadjusted,2,20260912,P19,0.3602070230607966
fold2__unadjusted__20260912,unadjusted,2,20260912,P2,0.34844599000217347
fold2__unadjusted__20260912,unadjusted,2,20260912,P35,0.2833333333333334
fold2__unadjusted__20260912,unadjusted,2,20260912,P40,0.3171627660380217
fold2__participant__20260911,participant,2,20260911,P12,0.34187962575059344
fold2__participant__20260911,participant,2,20260911,P19,0.3438155136268344
fold2__participant__20260911,participant,2,20260911,P2,0.3177570093457944
fold2__participant__20260911,participant,2,20260911,P35,0.24074074074074073
fold2__participant__20260911,participant,2,20260911,P40,0.29450377439470826
fold2__participant__20260912,participant,2,20260912,P12,0.34187962575059344
fold2__participant__20260912,participant,2,20260912,P19,0.3438155136268344
fold2__participant__20260912,participant,2,20260912,P2,0.3177570093457944
fold2__participant__20260912,participant,2,20260912,P35,0.24074074074074073
fold2__participant__20260912,participant,2,20260912,P40,0.29450377439470826
fold2__ordinal__20260911,ordinal,2,20260911,P12,0.3720011171624075
fold2__ordinal__20260911,ordinal,2,20260911,P19,0.3688679245283019
fold2__ordinal__20260911,ordinal,2,20260911,P2,0.3767007172353836
fold2__ordinal__20260911,ordinal,2,20260911,P35,0.25555555555555554
fold2__ordinal__20260911,ordinal,2,20260911,P40,0.3232472417884824
fold2__ordinal__20260912,ordinal,2,20260912,P12,0.3720011171624075
fold2__ordinal__20260912,ordinal,2,20260912,P19,0.3688679245283019
fold2__ordinal__20260912,ordinal,2,20260912,P2,0.3767007172353836
fold2__ordinal__20260912,ordinal,2,20260912,P35,0.25555555555555554
fold2__ordinal__20260912,ordinal,2,20260912,P40,0.3232472417884824
fold2__catboost__20260911,catboost,2,20260911,P12,0.3116324535679374
fold2__catboost__20260911,catboost,2,20260911,P19,0.3206761006289308
fold2__catboost__20260911,catboost,2,20260911,P2,0.3630515105411867
fold2__catboost__20260911,catboost,2,20260911,P35,0.2777777777777778
fold2__catboost__20260911,catboost,2,20260911,P40,0.33137670731399427
fold2__catboost__20260912,catboost,2,20260912,P12,0.3159055997765675
fold2__catboost__20260912,catboost,2,20260912,P19,0.3289832285115304
fold2__catboost__20260912,catboost,2,20260912,P2,0.36460914293994057
fold2__catboost__20260912,catboost,2,20260912,P35,0.2740740740740741
fold2__catboost__20260912,catboost,2,20260912,P40,0.3231588780327703
fold3__all__20260911,all,3,20260911,P18,0.29723991507430997
fold3__all__20260911,all,3,20260911,P27,0.5028347996089931
fold3__all__20260911,all,3,20260911,P36,0.454043392504931
fold3__all__20260911,all,3,20260911,P46,0.3443877551020408
fold3__all__20260911,all,3,20260911,P8,0.3389230652388547
fold3__all__20260912,all,3,20260912,P18,0.29723991507430997
fold3__all__20260912,all,3,20260912,P27,0.5028347996089931
fold3__all__20260912,all,3,20260912,P36,0.454043392504931
fold3__all__20260912,all,3,20260912,P46,0.3443877551020408
fold3__all__20260912,all,3,20260912,P8,0.3389230652388547
fold3__unadjusted__20260911,unadjusted,3,20260911,P18,0.3205944798301486
fold3__unadjusted__20260911,unadjusted,3,20260911,P27,0.49438625890238797
fold3__unadjusted__20260911,unadjusted,3,20260911,P36,0.36569207564682676
fold3__unadjusted__20260911,unadjusted,3,20260911,P46,0.39413265306122447
fold3__unadjusted__20260911,unadjusted,3,20260911,P8,0.3406926406926407
fold3__unadjusted__20260912,unadjusted,3,20260912,P18,0.3205944798301486
fold3__unadjusted__20260912,unadjusted,3,20260912,P27,0.49438625890238797
fold3__unadjusted__20260912,unadjusted,3,20260912,P36,0.36569207564682676
fold3__unadjusted__20260912,unadjusted,3,20260912,P46,0.39413265306122447
fold3__unadjusted__20260912,unadjusted,3,20260912,P8,0.3406926406926407
fold3__participant__20260911,participant,3,20260911,P18,0.29723991507430997
fold3__participant__20260911,participant,3,20260911,P27,0.5028347996089931
fold3__participant__20260911,participant,3,20260911,P36,0.454043392504931
fold3__participant__20260911,participant,3,20260911,P46,0.3443877551020408
fold3__participant__20260911,participant,3,20260911,P8,0.3389230652388547
fold3__participant__20260912,participant,3,20260912,P18,0.29723991507430997
fold3__participant__20260912,participant,3,20260912,P27,0.5028347996089931
fold3__participant__20260912,participant,3,20260912,P36,0.454043392504931
fold3__participant__20260912,participant,3,20260912,P46,0.3443877551020408
fold3__participant__20260912,participant,3,20260912,P8,0.3389230652388547
fold3__ordinal__20260911,ordinal,3,20260911,P18,0.29723991507430997
fold3__ordinal__20260911,ordinal,3,20260911,P27,0.5028347996089931
fold3__ordinal__20260911,ordinal,3,20260911,P36,0.454043392504931
fold3__ordinal__20260911,ordinal,3,20260911,P46,0.3443877551020408
fold3__ordinal__20260911,ordinal,3,20260911,P8,0.3389230652388547
fold3__ordinal__20260912,ordinal,3,20260912,P18,0.29723991507430997
fold3__ordinal__20260912,ordinal,3,20260912,P27,0.5028347996089931
fold3__ordinal__20260912,ordinal,3,20260912,P36,0.454043392504931
fold3__ordinal__20260912,ordinal,3,20260912,P46,0.3443877551020408
fold3__ordinal__20260912,ordinal,3,20260912,P8,0.3389230652388547
fold3__catboost__20260911,catboost,3,20260911,P18,0.3227176220806794
fold3__catboost__20260911,catboost,3,20260911,P27,0.37602290182935344
fold3__catboost__20260911,catboost,3,20260911,P36,0.3865877712031558
fold3__catboost__20260911,catboost,3,20260911,P46,0.4872448979591837
fold3__catboost__20260911,catboost,3,20260911,P8,0.3681856155540366
fold3__catboost__20260912,catboost,3,20260912,P18,0.32908704883227174
fold3__catboost__20260912,catboost,3,20260912,P27,0.37170786203044265
fold3__catboost__20260912,catboost,3,20260912,P36,0.41618517229376956
fold3__catboost__20260912,catboost,3,20260912,P46,0.4923469387755102
fold3__catboost__20260912,catboost,3,20260912,P8,0.35705931495405174
fold4__all__20260911,all,4,20260911,P20,0.3822274468826193
fold4__all__20260911,all,4,20260911,P3,0.4078674948240166
fold4__all__20260911,all,4,20260911,P33,0.40546955624355
fold4__all__20260911,all,4,20260911,P4,0.3355119825708061
fold4__all__20260911,all,4,20260911,P9,0.3333333333333333
fold4__all__20260912,all,4,20260912,P20,0.38650047270736926
fold4__all__20260912,all,4,20260912,P3,0.3995859213250517
fold4__all__20260912,all,4,20260912,P33,0.4191033138401559
fold4__all__20260912,all,4,20260912,P4,0.3442265795206972
fold4__all__20260912,all,4,20260912,P9,0.3352941176470588
fold4__unadjusted__20260911,unadjusted,4,20260911,P20,0.35414489724834547
