scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
all,20260911,0.3536344128933188,13524,25,0.33865280992555774,0.3132787026721815
all,20260912,0.35070396670724613,13524,25,0.338427338428422,0.3122322030354307
catboost,20260911,0.3564003235760562,13524,25,0.3412954280384593,0.30825462040487556
catboost,20260912,0.35458363346057126,13524,25,0.3422015687037076,0.30894427320440454
global,20260911,0.3476272383036829,13524,25,0.3485627305426775,0.3314223445039496
global,20260912,0.3481366194495432,13524,25,0.34948212280246366,0.33150661263622766
ordinal,20260911,0.3582056078779239,13524,25,0.35262514988726545,0.3153886249267432
ordinal,20260912,0.3582056078779239,13524,25,0.35262514988726545,0.3153886249267432
participant,20260911,0.3536344128933188,13524,25,0.33865280992555774,0.3132787026721815
participant,20260912,0.35070396670724613,13524,25,0.338427338428422,0.3122322030354307
unadjusted,20260911,0.34641147732122074,13524,25,0.3373181984766552,0.3369505516701255
unadjusted,20260912,0.3449467935420066,13524,25,0.34121236166176067,0.3406575966361542
