fold,inner,candidate_id,base_id,panel,context,family,weighting,smoothing,low_bias,high_bias,score
1,1,eye_pupil__1__logistic__global__1__-0.3__-0.3,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,1,-0.3,-0.3,0.34167654678007664
1,1,eye_pupil__1__logistic__global__1__-0.3__0.0,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,1,-0.3,0.0,0.3444168266715537
1,1,eye_pupil__1__logistic__global__1__-0.3__0.3,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,1,-0.3,0.3,0.33617167800735775
1,1,eye_pupil__1__logistic__global__1__0.0__-0.3,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,1,0.0,-0.3,0.3386420947089212
1,1,eye_pupil__1__logistic__global__1__0.0__0.0,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,1,0.0,0.0,0.34813417929497914
1,1,eye_pupil__1__logistic__global__1__0.0__0.3,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,1,0.0,0.3,0.33990455301580236
1,1,eye_pupil__1__logistic__global__1__0.3__-0.3,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,1,0.3,-0.3,0.33484078062873607
1,1,eye_pupil__1__logistic__global__1__0.3__0.0,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,1,0.3,0.0,0.3332507091551532
1,1,eye_pupil__1__logistic__global__1__0.3__0.3,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,1,0.3,0.3,0.34231690128204983
1,1,eye_pupil__1__logistic__global__4__-0.3__-0.3,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,4,-0.3,-0.3,0.3408356778254838
1,1,eye_pupil__1__logistic__global__4__-0.3__0.0,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,4,-0.3,0.0,0.35097506271146106
1,1,eye_pupil__1__logistic__global__4__-0.3__0.3,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,4,-0.3,0.3,0.3366376110325125
1,1,eye_pupil__1__logistic__global__4__0.0__-0.3,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,4,0.0,-0.3,0.344098636712085
1,1,eye_pupil__1__logistic__global__4__0.0__0.0,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,4,0.0,0.0,0.3594463492012995
1,1,eye_pupil__1__logistic__global__4__0.0__0.3,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,4,0.0,0.3,0.3390860908467213
1,1,eye_pupil__1__logistic__global__4__0.3__-0.3,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,4,0.3,-0.3,0.33700226340636846
1,1,eye_pupil__1__logistic__global__4__0.3__0.0,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,4,0.3,0.0,0.33939290322772525
1,1,eye_pupil__1__logistic__global__4__0.3__0.3,eye_pupil__1__logistic__global,eye_pupil,1,logistic,global,4,0.3,0.3,0.34478919599294167
1,1,eye_pupil__1__logistic__participant__1__-0.3__-0.3,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,1,-0.3,-0.3,0.3557361960833527
1,1,eye_pupil__1__logistic__participant__1__-0.3__0.0,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,1,-0.3,0.0,0.34415021853695016
1,1,eye_pupil__1__logistic__participant__1__-0.3__0.3,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,1,-0.3,0.3,0.3332390658911544
1,1,eye_pupil__1__logistic__participant__1__0.0__-0.3,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,1,0.0,-0.3,0.33859290784402996
1,1,eye_pupil__1__logistic__participant__1__0.0__0.0,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,1,0.0,0.0,0.3485545067398366
1,1,eye_pupil__1__logistic__participant__1__0.0__0.3,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,1,0.0,0.3,0.3405963346660337
1,1,eye_pupil__1__logistic__participant__1__0.3__-0.3,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,1,0.3,-0.3,0.3346493323156641
1,1,eye_pupil__1__logistic__participant__1__0.3__0.0,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,1,0.3,0.0,0.3380431606984024
1,1,eye_pupil__1__logistic__participant__1__0.3__0.3,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,1,0.3,0.3,0.3438700070413625
1,1,eye_pupil__1__logistic__participant__4__-0.3__-0.3,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,4,-0.3,-0.3,0.3577919785581223
1,1,eye_pupil__1__logistic__participant__4__-0.3__0.0,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,4,-0.3,0.0,0.3396333429088424
1,1,eye_pupil__1__logistic__participant__4__-0.3__0.3,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,4,-0.3,0.3,0.33157116567785183
1,1,eye_pupil__1__logistic__participant__4__0.0__-0.3,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,4,0.0,-0.3,0.33937278295563195
1,1,eye_pupil__1__logistic__participant__4__0.0__0.0,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,4,0.0,0.0,0.345032447318978
1,1,eye_pupil__1__logistic__participant__4__0.0__0.3,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,4,0.0,0.3,0.3378662157069172
1,1,eye_pupil__1__logistic__participant__4__0.3__-0.3,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,4,0.3,-0.3,0.3357422870928956
1,1,eye_pupil__1__logistic__participant__4__0.3__0.0,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,4,0.3,0.0,0.33737783418797473
1,1,eye_pupil__1__logistic__participant__4__0.3__0.3,eye_pupil__1__logistic__participant,eye_pupil,1,logistic,participant,4,0.3,0.3,0.340997983599372
1,1,eye_pupil__1__ordinal__global__1__-0.3__-0.3,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,1,-0.3,-0.3,0.3398182338137507
1,1,eye_pupil__1__ordinal__global__1__-0.3__0.0,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,1,-0.3,0.0,0.34043303634262895
1,1,eye_pupil__1__ordinal__global__1__-0.3__0.3,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,1,-0.3,0.3,0.3360696450426426
1,1,eye_pupil__1__ordinal__global__1__0.0__-0.3,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,1,0.0,-0.3,0.33923584749740254
1,1,eye_pupil__1__ordinal__global__1__0.0__0.0,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,1,0.0,0.0,0.347375166310805
1,1,eye_pupil__1__ordinal__global__1__0.0__0.3,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,1,0.0,0.3,0.33936960069233657
1,1,eye_pupil__1__ordinal__global__1__0.3__-0.3,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,1,0.3,-0.3,0.33523434428577153
1,1,eye_pupil__1__ordinal__global__1__0.3__0.0,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,1,0.3,0.0,0.33355222787613875
1,1,eye_pupil__1__ordinal__global__1__0.3__0.3,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,1,0.3,0.3,0.3434887236746083
1,1,eye_pupil__1__ordinal__global__4__-0.3__-0.3,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,4,-0.3,-0.3,0.3405723635766241
1,1,eye_pupil__1__ordinal__global__4__-0.3__0.0,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,4,-0.3,0.0,0.34497372952193617
1,1,eye_pupil__1__ordinal__global__4__-0.3__0.3,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,4,-0.3,0.3,0.33653550748833094
1,1,eye_pupil__1__ordinal__global__4__0.0__-0.3,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,4,0.0,-0.3,0.34341443046998393
1,1,eye_pupil__1__ordinal__global__4__0.0__0.0,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,4,0.0,0.0,0.3550961906356624
1,1,eye_pupil__1__ordinal__global__4__0.0__0.3,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,4,0.0,0.3,0.3379189459013638
1,1,eye_pupil__1__ordinal__global__4__0.3__-0.3,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,4,0.3,-0.3,0.338847162821011
1,1,eye_pupil__1__ordinal__global__4__0.3__0.0,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,4,0.3,0.0,0.34066176396207376
1,1,eye_pupil__1__ordinal__global__4__0.3__0.3,eye_pupil__1__ordinal__global,eye_pupil,1,ordinal,global,4,0.3,0.3,0.3462481310393931
1,1,eye_pupil__1__ordinal__participant__1__-0.3__-0.3,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,1,-0.3,-0.3,0.35267332266278895
1,1,eye_pupil__1__ordinal__participant__1__-0.3__0.0,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,1,-0.3,0.0,0.3403988362014788
1,1,eye_pupil__1__ordinal__participant__1__-0.3__0.3,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,1,-0.3,0.3,0.3327989082368637
1,1,eye_pupil__1__ordinal__participant__1__0.0__-0.3,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,1,0.0,-0.3,0.3353703523050097
1,1,eye_pupil__1__ordinal__participant__1__0.0__0.0,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,1,0.0,0.0,0.3470014304128423
1,1,eye_pupil__1__ordinal__participant__1__0.0__0.3,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,1,0.0,0.3,0.33841148535108495
1,1,eye_pupil__1__ordinal__participant__1__0.3__-0.3,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,1,0.3,-0.3,0.3319175011422356
1,1,eye_pupil__1__ordinal__participant__1__0.3__0.0,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,1,0.3,0.0,0.33609724741349906
1,1,eye_pupil__1__ordinal__participant__1__0.3__0.3,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,1,0.3,0.3,0.3446812406257054
1,1,eye_pupil__1__ordinal__participant__4__-0.3__-0.3,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,4,-0.3,-0.3,0.35561545575748726
1,1,eye_pupil__1__ordinal__participant__4__-0.3__0.0,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,4,-0.3,0.0,0.3396470273232717
1,1,eye_pupil__1__ordinal__participant__4__-0.3__0.3,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,4,-0.3,0.3,0.3321895948677096
1,1,eye_pupil__1__ordinal__participant__4__0.0__-0.3,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,4,0.0,-0.3,0.3348488468387894
1,1,eye_pupil__1__ordinal__participant__4__0.0__0.0,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,4,0.0,0.0,0.3430930684550358
1,1,eye_pupil__1__ordinal__participant__4__0.0__0.3,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,4,0.0,0.3,0.33769532609503383
1,1,eye_pupil__1__ordinal__participant__4__0.3__-0.3,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,4,0.3,-0.3,0.33329518701240846
1,1,eye_pupil__1__ordinal__participant__4__0.3__0.0,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,4,0.3,0.0,0.335997104940615
1,1,eye_pupil__1__ordinal__participant__4__0.3__0.3,eye_pupil__1__ordinal__participant,eye_pupil,1,ordinal,participant,4,0.3,0.3,0.339895021553772
1,1,eye_pupil__1__catboost__global__1__-0.3__-0.3,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,1,-0.3,-0.3,0.33292246587579744
1,1,eye_pupil__1__catboost__global__1__-0.3__0.0,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,1,-0.3,0.0,0.34169160744679666
1,1,eye_pupil__1__catboost__global__1__-0.3__0.3,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,1,-0.3,0.3,0.3386158676131462
1,1,eye_pupil__1__catboost__global__1__0.0__-0.3,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,1,0.0,-0.3,0.3411219074998189
1,1,eye_pupil__1__catboost__global__1__0.0__0.0,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,1,0.0,0.0,0.337981399266138
1,1,eye_pupil__1__catboost__global__1__0.0__0.3,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,1,0.0,0.3,0.34460238942952404
1,1,eye_pupil__1__catboost__global__1__0.3__-0.3,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,1,0.3,-0.3,0.3449049115364699
1,1,eye_pupil__1__catboost__global__1__0.3__0.0,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,1,0.3,0.0,0.34358067128840036
1,1,eye_pupil__1__catboost__global__1__0.3__0.3,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,1,0.3,0.3,0.3361770624635482
1,1,eye_pupil__1__catboost__global__4__-0.3__-0.3,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,4,-0.3,-0.3,0.3368294772138892
1,1,eye_pupil__1__catboost__global__4__-0.3__0.0,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,4,-0.3,0.0,0.3468865261297669
