kind,architecture,reference,reference_mode,mean_delta,ci_low,ci_high,participants,positive_participants
classification,TCN,TCN,repeat_current,0.0012497216519930432,-0.00420896949139005,0.0069521778071055815,25,14
classification,TCN,MLP_current,current,0.0004393878788506078,-0.011267810089862735,0.010544880773729146,25,14
classification,TCN,logistic,current,-0.008058652121378742,-0.019464467926606152,0.002044504405793836,25,11
classification,TCN,random_forest,current,0.008397783900119004,-0.006891436818402785,0.02276107102944278,25,17
classification,TCN,dummy_prior,current,-0.0011479685006686702,-0.031243527911552597,0.021886841838821846,25,15
classification,LSTM,LSTM,repeat_current,0.00560365868961211,-0.0007887976607863791,0.012103762496945322,25,17
classification,LSTM,MLP_current,current,0.008364452327739866,-0.0036280397895281217,0.02233756960186615,25,12
classification,LSTM,logistic,current,-0.00013358767248948357,-0.010455361383071142,0.011490472823550969,25,11
classification,LSTM,random_forest,current,0.016322848349008264,0.0018302011493200989,0.030996743335578836,25,16
classification,LSTM,dummy_prior,current,0.006777095948220588,-0.017399235130867274,0.028672321363647495,25,12
classification,BiLSTM,BiLSTM,repeat_current,0.007357125795031185,-0.004062324947334627,0.018773648548335683,25,16
classification,BiLSTM,MLP_current,current,0.007565038902713175,-0.00496883940918478,0.022442788010099184,25,13
classification,BiLSTM,logistic,current,-0.0009330010975161751,-0.014091846760336332,0.013902026631386162,25,12
classification,BiLSTM,random_forest,current,0.015523434923981571,-0.0006141083480749442,0.032539851175318595,25,15
classification,BiLSTM,dummy_prior,current,0.005977682523193897,-0.019829460397426366,0.02865988285635599,25,15
regression,TCN,TCN,repeat_current,-0.0014305694845957939,-0.00426730352565023,0.0013838089325466007,25,8
regression,TCN,MLP_current,current,-0.002624461268471614,-0.00548746374930198,0.00025811504277695646,25,9
regression,TCN,ridge,current,-0.0031704820193500047,-0.006880142769650844,0.0002693893318666741,25,11
regression,TCN,random_forest,current,0.0373640110697757,0.030216503642980255,0.04436696096091508,25,25
regression,TCN,dummy_mean,current,-0.0031444310804402864,-0.006895219218790779,0.0004626611800521905,25,9
regression,LSTM,LSTM,repeat_current,-0.0022672603395788027,-0.004847851306118107,0.00016849043297656582,25,10
regression,LSTM,MLP_current,current,-0.0033933418239602588,-0.0061911439141041184,-0.0007643107972183611,25,8
regression,LSTM,ridge,current,-0.00393936257483865,-0.007139903255661705,-0.0009283016882575974,25,8
regression,LSTM,random_forest,current,0.03659513051428706,0.029118321784278138,0.04380424087093536,25,25
regression,LSTM,dummy_mean,current,-0.003913311635928931,-0.006857532380759215,-0.0012161233857210798,25,10
regression,BiLSTM,BiLSTM,repeat_current,-0.00010498151424632506,-0.0026322122906799134,0.0022234601305611253,25,14
regression,BiLSTM,MLP_current,current,-0.00025173882933341216,-0.0027640234691659266,0.0020890290512955434,25,13
regression,BiLSTM,ridge,current,-0.0007977595802118032,-0.0041884477267479835,0.002244814979531427,25,13
regression,BiLSTM,random_forest,current,0.03973673350891391,0.03214820293222123,0.047339025941773194,25,25
regression,BiLSTM,dummy_mean,current,-0.0007717086413020846,-0.003923717388739622,0.0021006204054834195,25,11
