kind,architecture,reference,reference_mode,participant,delta
classification,TCN,TCN,repeat_current,P12,-0.022594609691383882
classification,TCN,TCN,repeat_current,P13,0.024933497032944507
classification,TCN,TCN,repeat_current,P18,-0.00424628450106157
classification,TCN,TCN,repeat_current,P19,0.004245283018867896
classification,TCN,TCN,repeat_current,P2,-0.0077048467724407654
classification,TCN,TCN,repeat_current,P20,0.002208041001144412
classification,TCN,TCN,repeat_current,P21,0.003666569795602037
classification,TCN,TCN,repeat_current,P22,-0.004682529013756376
classification,TCN,TCN,repeat_current,P24,5.60111126047258e-05
classification,TCN,TCN,repeat_current,P26,0.0038095238095238737
classification,TCN,TCN,repeat_current,P27,-0.015256249127216903
classification,TCN,TCN,repeat_current,P3,-0.005175983436852993
classification,TCN,TCN,repeat_current,P30,0.025214456118978656
classification,TCN,TCN,repeat_current,P33,0.0019951840385276642
classification,TCN,TCN,repeat_current,P34,0.02289263531499558
classification,TCN,TCN,repeat_current,P35,0.0037037037037037646
classification,TCN,TCN,repeat_current,P36,-0.0018679661213598098
classification,TCN,TCN,repeat_current,P4,0.006535947712418333
classification,TCN,TCN,repeat_current,P40,0.03782599914160922
classification,TCN,TCN,repeat_current,P43,-0.0023133993722228574
classification,TCN,TCN,repeat_current,P44,-0.014556936688084221
classification,TCN,TCN,repeat_current,P46,-0.017857142857142794
classification,TCN,TCN,repeat_current,P48,-0.020304568527918787
classification,TCN,TCN,repeat_current,P8,0.003911293384977532
classification,TCN,TCN,repeat_current,P9,0.006805412223368834
classification,TCN,MLP_current,current,P12,-0.04205418237676306
classification,TCN,MLP_current,current,P13,-3.58092899529483e-05
classification,TCN,MLP_current,current,P18,0.00424628450106157
classification,TCN,MLP_current,current,P19,0.017911425576519924
classification,TCN,MLP_current,current,P2,-0.008429326957907712
classification,TCN,MLP_current,current,P20,-0.03288115141563419
classification,TCN,MLP_current,current,P21,-0.0008476218153637416
classification,TCN,MLP_current,current,P22,0.02501456288927717
classification,TCN,MLP_current,current,P24,-0.09001545906707892
classification,TCN,MLP_current,current,P26,0.024761904761904818
classification,TCN,MLP_current,current,P27,0.02692361402038823
classification,TCN,MLP_current,current,P3,0.0041407867494823725
classification,TCN,MLP_current,current,P30,0.026060436864456915
classification,TCN,MLP_current,current,P33,0.0062091503267973636
classification,TCN,MLP_current,current,P34,0.039884649511978676
classification,TCN,MLP_current,current,P35,0.0
classification,TCN,MLP_current,current,P36,-0.030305139807402293
classification,TCN,MLP_current,current,P4,0.030501089324618758
classification,TCN,MLP_current,current,P40,0.009208765684566744
classification,TCN,MLP_current,current,P43,0.0014505455681926294
classification,TCN,MLP_current,current,P44,-0.011729618286995258
classification,TCN,MLP_current,current,P46,-0.012117346938775475
classification,TCN,MLP_current,current,P48,0.017766497461928876
classification,TCN,MLP_current,current,P8,-0.003239158502316375
classification,TCN,MLP_current,current,P9,0.00855979818828112
classification,TCN,logistic,current,P12,-0.034583158776707146
classification,TCN,logistic,current,P13,0.013546142827910779
classification,TCN,logistic,current,P18,0.027600849256900206
classification,TCN,logistic,current,P19,-0.006308962264150952
classification,TCN,logistic,current,P2,0.007107150619430569
classification,TCN,logistic,current,P20,-0.06448723690103003
classification,TCN,logistic,current,P21,0.00521166327617939
classification,TCN,logistic,current,P22,0.019133396065779462
classification,TCN,logistic,current,P24,-0.08339494555719856
classification,TCN,logistic,current,P26,-0.019999999999999962
classification,TCN,logistic,current,P27,-0.018475073313783008
classification,TCN,logistic,current,P3,0.004140786749482428
classification,TCN,logistic,current,P30,0.04376258396358895
classification,TCN,logistic,current,P33,-0.002516913198027715
classification,TCN,logistic,current,P34,-0.020319432120674386
classification,TCN,logistic,current,P35,0.0027777777777778234
classification,TCN,logistic,current,P36,-0.052923773059519674
classification,TCN,logistic,current,P4,0.007625272331154731
classification,TCN,logistic,current,P40,-0.003124289934105906
classification,TCN,logistic,current,P43,-0.011974644327585493
classification,TCN,logistic,current,P44,-0.007816409455753737
classification,TCN,logistic,current,P46,-0.012755102040816313
classification,TCN,logistic,current,P48,0.012690355329949221
classification,TCN,logistic,current,P8,-0.015899597478544913
classification,TCN,logistic,current,P9,0.009517257195275686
classification,TCN,random_forest,current,P12,-0.032474514732579285
classification,TCN,random_forest,current,P13,0.0617761407816656
classification,TCN,random_forest,current,P18,0.0424628450106157
classification,TCN,random_forest,current,P19,0.030850366876310265
classification,TCN,random_forest,current,P2,0.04882271969861629
classification,TCN,random_forest,current,P20,-0.02242872070458285
classification,TCN,random_forest,current,P21,0.00016468080984211042
classification,TCN,random_forest,current,P22,0.019290227181072706
classification,TCN,random_forest,current,P24,0.0037695478782990843
classification,TCN,random_forest,current,P26,0.07333333333333336
classification,TCN,random_forest,current,P27,0.07416561932690963
classification,TCN,random_forest,current,P3,-0.045548654244306375
classification,TCN,random_forest,current,P30,0.011792971591966517
classification,TCN,random_forest,current,P33,0.013238160761380569
classification,TCN,random_forest,current,P34,-0.042812777284826964
classification,TCN,random_forest,current,P35,0.00833333333333336
classification,TCN,random_forest,current,P36,0.012211393433112838
classification,TCN,random_forest,current,P4,0.01633986928104575
classification,TCN,random_forest,current,P40,-0.019282233835744345
classification,TCN,random_forest,current,P43,0.040639055344937725
classification,TCN,random_forest,current,P44,-0.026331591905362384
classification,TCN,random_forest,current,P46,-0.0892857142857143
classification,TCN,random_forest,current,P48,0.029610829103214886
classification,TCN,random_forest,current,P8,-0.035167464114832514
classification,TCN,random_forest,current,P9,0.036475174865267745
classification,TCN,dummy_prior,current,P12,-0.03745985197598101
classification,TCN,dummy_prior,current,P13,0.055013300593411085
classification,TCN,dummy_prior,current,P18,-0.002123142250530785
classification,TCN,dummy_prior,current,P19,0.019883385744234816
classification,TCN,dummy_prior,current,P2,0.06537709193653557
classification,TCN,dummy_prior,current,P20,-0.019169527790217467
classification,TCN,dummy_prior,current,P21,0.013203526106751962
classification,TCN,dummy_prior,current,P22,-0.008961778016758515
classification,TCN,dummy_prior,current,P24,0.017850741587130903
classification,TCN,dummy_prior,current,P26,0.07904761904761909
classification,TCN,dummy_prior,current,P27,0.07771260997067447
classification,TCN,dummy_prior,current,P3,0.02070393374741203
classification,TCN,dummy_prior,current,P30,0.009542662808994462
classification,TCN,dummy_prior,current,P33,-0.009614723082215337
classification,TCN,dummy_prior,current,P34,-0.20359361135758652
classification,TCN,dummy_prior,current,P35,-0.01759259259259255
