stage,epoch,train_loss,validation_macro_score
inner,1,1.0592155568610688,-1.006519997751992
inner,2,1.0199995328753775,-1.0036499870275932
inner,3,1.0132098873639437,-1.0047323476097425
inner,4,1.0136306239712622,-1.0024013022262666
inner,5,1.0211043479805169,-1.0013363966511224
inner,6,1.00672190332193,-1.0027365815648277
inner,7,1.0115248644956245,-1.0015867637322804
inner,8,1.0048892243666583,-1.0022105118579574
inner,9,1.0122464417861903,-1.0013338483682301
inner,10,1.0035620878918379,-1.0022051030616517
inner,11,1.0040749365832948,-1.0019130919605674
outer_refit,1,1.0440851345090223,
outer_refit,2,1.0310667344202393,
outer_refit,3,1.0208364859704049,
outer_refit,4,1.0062058045367692,
outer_refit,5,1.0151863584070961,
