stage,epoch,train_loss,validation_macro_score
inner,1,1.1080142191967175,0.31803552742938923
inner,2,1.09897291674111,0.31281674642416724
inner,3,1.0965299231870536,0.3154353387270685
inner,4,1.0942688507380633,0.3353792512892375
inner,5,1.0929378007481574,0.3387055548486305
inner,6,1.0914245232865534,0.33524687407090137
inner,7,1.0925562035586114,0.3283993035447378
inner,8,1.0902987024885396,0.34044629272725446
inner,9,1.0904595437833275,0.340090161147624
inner,10,1.0898976739915665,0.34250130599460443
inner,11,1.0890659011043828,0.3595434999091857
inner,12,1.0907026185914297,0.34748681113953245
inner,13,1.0886369756461431,0.3214068282194513
inner,14,1.0886532783480696,0.3435012915306412
inner,15,1.0874151199300408,0.3369319303039592
inner,16,1.0876968887181584,0.34153417060653746
inner,17,1.0859398156028386,0.35939673285428975
outer_refit,1,1.1069183893473518,
outer_refit,2,1.099373185051626,
outer_refit,3,1.0962711959027578,
outer_refit,4,1.094521290682662,
outer_refit,5,1.0945893726100253,
outer_refit,6,1.0926378471767373,
outer_refit,7,1.092720025081869,
outer_refit,8,1.0908442237763547,
outer_refit,9,1.0909705222440953,
outer_refit,10,1.0892056733234825,
outer_refit,11,1.0889702453469574,
