stage,epoch,train_loss,validation_macro_score
inner,1,1.004158408826488,-1.003537075589839
inner,2,1.001130738170856,-1.0003111503593147
inner,3,0.999502682245563,-1.0009629587331879
inner,4,0.9999585496588439,-1.0001227072542278
inner,5,0.9994199826331744,-1.001195084580967
inner,6,0.9997597384869645,-0.9993566422951023
inner,7,0.9992486823553342,-0.9999506059658336
inner,8,0.9996505658894594,-0.9997885595687186
inner,9,0.9986893385389937,-1.0001642174404057
inner,10,0.9976570308864068,-0.9994156004308905
inner,11,0.9982716737141885,-0.9999614419364997
inner,12,0.9973369238897511,-0.9999381257399711
outer_refit,1,1.0042659991702432,
outer_refit,2,1.00101848085365,
outer_refit,3,1.0008199190249272,
outer_refit,4,0.9987510510620353,
outer_refit,5,0.9995469220510922,
outer_refit,6,0.9989959496253628,
