model_id,fold,kind,architecture,mode,seed,macro_score,rows,participants,balanced_accuracy,macro_f1,r2,mae,mse
fold1__classification__TCN__history__20260907,1,classification,TCN,history,20260907,0.3444868610969939,2886,5,0.34407484407484407,0.32433431469987856,,,
fold1__classification__TCN__history__20260908,1,classification,TCN,history,20260908,0.34962175481120183,2886,5,0.3513513513513513,0.34802343257603535,,,
fold1__classification__TCN__repeat_current__20260907,1,classification,TCN,repeat_current,20260907,0.3469414982369837,2886,5,0.3478863478863479,0.34626192924065263,,,
fold1__classification__TCN__repeat_current__20260908,1,classification,TCN,repeat_current,20260908,0.34797912954413796,2886,5,0.3482328482328482,0.34694867037891775,,,
fold1__classification__LSTM__history__20260907,1,classification,LSTM,history,20260907,0.3688114788995557,2886,5,0.3676368676368676,0.3558278559962232,,,
fold1__classification__LSTM__history__20260908,1,classification,LSTM,history,20260908,0.35047082624540715,2886,5,0.3503118503118503,0.34321859105092906,,,
fold1__classification__LSTM__repeat_current__20260907,1,classification,LSTM,repeat_current,20260907,0.3599794932271556,2886,5,0.3586278586278586,0.3513314792144324,,,
fold1__classification__LSTM__repeat_current__20260908,1,classification,LSTM,repeat_current,20260908,0.3513107200828638,2886,5,0.34996534996534995,0.3370202031644689,,,
fold1__classification__BiLSTM__history__20260907,1,classification,BiLSTM,history,20260907,0.33563558676144056,2886,5,0.33645183645183646,0.33516758862340107,,,
fold1__classification__BiLSTM__history__20260908,1,classification,BiLSTM,history,20260908,0.369220445841004,2886,5,0.3676368676368676,0.3563220510325233,,,
fold1__classification__BiLSTM__repeat_current__20260907,1,classification,BiLSTM,repeat_current,20260907,0.352275907053048,2886,5,0.35065835065835066,0.3445278279902199,,,
fold1__classification__BiLSTM__repeat_current__20260908,1,classification,BiLSTM,repeat_current,20260908,0.3410699326808177,2886,5,0.34164934164934163,0.34134316246312063,,,
fold1__classification__MLP_current__current__20260907,1,classification,MLP_current,current,20260907,0.35512424797824416,2886,5,0.35377685377685375,0.3331208036635101,,,
fold1__classification__MLP_current__current__20260908,1,classification,MLP_current,current,20260908,0.346873734443241,2886,5,0.3461538461538462,0.2994203198864844,,,
fold1__classification__dummy_prior__current__20260907,1,classification,dummy_prior,current,20260907,0.3333333333333333,2886,5,0.3333333333333333,0.16666666666666666,,,
fold1__classification__logistic__current__20260907,1,classification,logistic,current,20260907,0.3510109588591912,2886,5,0.3503118503118503,0.3412293357388027,,,
fold1__classification__random_forest__current__20260907,1,classification,random_forest,current,20260907,0.3260337817341997,2886,5,0.3257103257103257,0.32553660604943296,,,
fold1__regression__TCN__history__20260907,1,regression,TCN,history,20260907,-1.0058103665634595,2886,5,,,-0.0058163688027961236,0.6114193460730094,1.0058163717552737
fold1__regression__TCN__history__20260908,1,regression,TCN,history,20260908,-1.0021153960201943,2886,5,,,-0.0022330468030797856,0.607721917052704,1.002233049745039
fold1__regression__TCN__repeat_current__20260907,1,regression,TCN,repeat_current,20260907,-1.0016182921624737,2886,5,,,-0.0017222677957831056,0.6075415534238038,1.001722270736243
fold1__regression__TCN__repeat_current__20260908,1,regression,TCN,repeat_current,20260908,-1.0003342357251934,2886,5,,,-0.000427616879020265,0.6050883951827539,1.0004276198156796
fold1__regression__LSTM__history__20260907,1,regression,LSTM,history,20260907,-1.0019434175844357,2886,5,,,-0.0021085894994072873,0.6072861520265801,1.0021085924410011
fold1__regression__LSTM__history__20260908,1,regression,LSTM,history,20260908,-0.9999369914727223,2886,5,,,0.0008404959534666911,0.6033332509418863,0.9991595069794704
fold1__regression__LSTM__repeat_current__20260907,1,regression,LSTM,repeat_current,20260907,-1.0012289087494122,2886,5,,,-0.0013208276567866495,0.6061312898008666,1.0013208305960681
fold1__regression__LSTM__repeat_current__20260908,1,regression,LSTM,repeat_current,20260908,-1.0040350219839773,2886,5,,,-0.004135255543493477,0.6073406788517104,1.0041352584910364
fold1__regression__BiLSTM__history__20260907,1,regression,BiLSTM,history,20260907,-1.0003622136942645,2886,5,,,-0.00023961241660042099,0.6074825442651496,1.000239615352708
fold1__regression__BiLSTM__history__20260908,1,regression,BiLSTM,history,20260908,-0.9994573732618651,2886,5,,,0.00041356648582568933,0.6057237055346844,0.9995864364483645
fold1__regression__BiLSTM__repeat_current__20260907,1,regression,BiLSTM,repeat_current,20260907,-1.0002815430306946,2886,5,,,-7.9741233949715e-05,0.6055508102805923,1.000079744169588
fold1__regression__BiLSTM__repeat_current__20260908,1,regression,BiLSTM,repeat_current,20260908,-0.9998315185227643,2886,5,,,1.7708702170216029e-06,0.6033325056633767,0.999998232065182
fold1__regression__MLP_current__current__20260907,1,regression,MLP_current,current,20260907,-1.0007389630566057,2886,5,,,-0.0008642787968993204,0.6057326982417841,1.0008642817348405
fold1__regression__MLP_current__current__20260908,1,regression,MLP_current,current,20260908,-1.0034056707210999,2886,5,,,-0.0033012204260221,0.6081193317768947,1.0033012233711167
fold1__regression__dummy_mean__current__20260907,1,regression,dummy_mean,current,20260907,-1.000000002785029,2886,5,,,-2.220446049250313e-16,0.604557561566086,1.0000000029354044
fold1__regression__ridge__current__20260907,1,regression,ridge,current,20260907,-1.001256627886799,2886,5,,,-0.0012345023186437487,0.6041123688671237,1.0012345052576717
fold1__regression__random_forest__current__20260907,1,regression,random_forest,current,20260907,-1.0414284378134682,2886,5,,,-0.04076643168528382,0.6369777211552717,1.040766434740354
fold2__classification__TCN__history__20260907,2,classification,TCN,history,20260907,0.3446436775378263,2612,5,0.3478496607965131,0.3314079677459868,,,
fold2__classification__TCN__history__20260908,2,classification,TCN,history,20260908,0.33729487161555805,2612,5,0.340769447080741,0.3400017869658618,,,
fold2__classification__TCN__repeat_current__20260907,2,classification,TCN,repeat_current,20260907,0.3295073790456554,2612,5,0.33407501142395163,0.31928133991607627,,,
fold2__classification__TCN__repeat_current__20260908,2,classification,TCN,repeat_current,20260908,0.34624095834758645,2612,5,0.349122113255299,0.3481900778775358,,,
fold2__classification__LSTM__history__20260907,2,classification,LSTM,history,20260907,0.34503940764285995,2612,5,0.3499261836971422,0.34974316142352535,,,
fold2__classification__LSTM__history__20260908,2,classification,LSTM,history,20260908,0.3388431139820819,2612,5,0.3400532531899188,0.3329189829688422,,,
fold2__classification__LSTM__repeat_current__20260907,2,classification,LSTM,repeat_current,20260907,0.34482126469809804,2612,5,0.3491695665928504,0.34849923486552364,,,
fold2__classification__LSTM__repeat_current__20260908,2,classification,LSTM,repeat_current,20260908,0.334550059414653,2612,5,0.3346875109845689,0.3268406647887125,,,
fold2__classification__BiLSTM__history__20260907,2,classification,BiLSTM,history,20260907,0.3379038642656552,2612,5,0.341884600513199,0.3417325404241252,,,
fold2__classification__BiLSTM__history__20260908,2,classification,BiLSTM,history,20260908,0.34039674937100123,2612,5,0.34458592569158847,0.34354446032986724,,,
fold2__classification__BiLSTM__repeat_current__20260907,2,classification,BiLSTM,repeat_current,20260907,0.34046977317428795,2612,5,0.34376076487750007,0.3421796596119177,,,
fold2__classification__BiLSTM__repeat_current__20260908,2,classification,BiLSTM,repeat_current,20260908,0.3474099574413485,2612,5,0.3507021336426588,0.34699268640516934,,,
fold2__classification__MLP_current__current__20260907,2,classification,MLP_current,current,20260907,0.3465164956446384,2612,5,0.3494411051355056,0.3332736906848505,,,
fold2__classification__MLP_current__current__20260908,2,classification,MLP_current,current,20260908,0.3447673807381796,2612,5,0.34829255861365954,0.33032947607631474,,,
fold2__classification__dummy_prior__current__20260907,2,classification,dummy_prior,current,20260907,0.3333333333333333,2612,5,0.3333333333333333,0.1665709362435382,,,
fold2__classification__logistic__current__20260907,2,classification,logistic,current,20260907,0.3477955710922433,2612,5,0.3498470948012233,0.34659027323694724,,,
fold2__classification__random_forest__current__20260907,2,classification,random_forest,current,20260907,0.3337193403087049,2612,5,0.33424988576048364,0.3338843317921277,,,
fold2__regression__TCN__history__20260907,2,regression,TCN,history,20260907,-1.0022455431239288,2612,5,,,-0.0022580281010537995,0.6865348699557874,1.0022580286797658
fold2__regression__TCN__history__20260908,2,regression,TCN,history,20260908,-1.004585734573276,2612,5,,,-0.004956478623713734,0.6883002029266123,1.0049564792039838
fold2__regression__TCN__repeat_current__20260907,2,regression,TCN,repeat_current,20260907,-1.0035709884208814,2612,5,,,-0.0037235570377815996,0.68833090852597,1.0037235576173398
fold2__regression__TCN__repeat_current__20260908,2,regression,TCN,repeat_current,20260908,-1.0045026201863827,2612,5,,,-0.0046170216597831715,0.6880187891736003,1.0046170222398572
fold2__regression__LSTM__history__20260907,2,regression,LSTM,history,20260907,-1.0083864008524719,2612,5,,,-0.007787881433956478,0.6924246436085127,1.0077878820158614
fold2__regression__LSTM__history__20260908,2,regression,LSTM,history,20260908,-1.0003380271073756,2612,5,,,-5.8102019393047044e-05,0.6848812388048614,1.0000581025968347
fold2__regression__LSTM__repeat_current__20260907,2,regression,LSTM,repeat_current,20260907,-1.0031640215538815,2612,5,,,-0.0029708466590707694,0.6879829176190341,1.0029708472381942
fold2__regression__LSTM__repeat_current__20260908,2,regression,LSTM,repeat_current,20260908,-0.9996500457962995,2612,5,,,0.0005579261156978266,0.6846743623287808,0.9994420744613882
fold2__regression__BiLSTM__history__20260907,2,regression,BiLSTM,history,20260907,-1.00199799753867,2612,5,,,-0.0020669839106641774,0.6813030380687173,1.0020669844892658
fold2__regression__BiLSTM__history__20260908,2,regression,BiLSTM,history,20260908,-0.9978678690876267,2612,5,,,0.0025461547748805158,0.6833021952913834,0.9974538458010574
fold2__regression__BiLSTM__repeat_current__20260907,2,regression,BiLSTM,repeat_current,20260907,-1.002426289525389,2612,5,,,-0.0022110656512519533,0.6870005093428843,1.0022110662299368
fold2__regression__BiLSTM__repeat_current__20260908,2,regression,BiLSTM,repeat_current,20260908,-0.9986537177080244,2612,5,,,0.0016216605085721536,0.6837732180618095,0.9983783400678996
fold2__regression__MLP_current__current__20260907,2,regression,MLP_current,current,20260907,-1.0010508185342148,2612,5,,,-0.0010221169490367554,0.6858346485062059,1.001022117527035
fold2__regression__MLP_current__current__20260908,2,regression,MLP_current,current,20260908,-1.0025561084003332,2612,5,,,-0.002617889204477697,0.6884603673669126,1.0026178897833975
fold2__regression__dummy_mean__current__20260907,2,regression,dummy_mean,current,20260907,-1.0000000004501508,2612,5,,,-2.220446049250313e-16,0.6864363045204201,1.0000000005774083
fold2__regression__ridge__current__20260907,2,regression,ridge,current,20260907,-1.0028263398345947,2612,5,,,-0.003087049311011336,0.6895915889068739,1.003087049890202
fold2__regression__random_forest__current__20260907,2,regression,random_forest,current,20260907,-1.0444541515136738,2612,5,,,-0.04611503010835438,0.708898434694623,1.0461150307123899
fold3__classification__TCN__history__20260907,3,classification,TCN,history,20260907,0.3203255952777366,2659,5,0.3476822935720609,0.28077607207687016,,,
fold3__classification__TCN__history__20260908,3,classification,TCN,history,20260908,0.3600713687071151,2659,5,0.35417452197947696,0.34911429088259577,,,
fold3__classification__TCN__repeat_current__20260907,3,classification,TCN,repeat_current,20260907,0.3457975042758166,2659,5,0.36036197788654434,0.3247240321549177,,,
fold3__classification__TCN__repeat_current__20260908,3,classification,TCN,repeat_current,20260908,0.3487259993977565,2659,5,0.34367689947268154,0.34097205329159136,,,
fold3__classification__LSTM__history__20260907,3,classification,LSTM,history,20260907,0.3711810623717138,2659,5,0.3619311977340976,0.3564546678220484,,,
fold3__classification__LSTM__history__20260908,3,classification,LSTM,history,20260908,0.3743397475020135,2659,5,0.3658162850187538,0.3643096493034565,,,
fold3__classification__LSTM__repeat_current__20260907,3,classification,LSTM,repeat_current,20260907,0.3637621473475991,2659,5,0.35914701109724145,0.34723471991399046,,,
fold3__classification__LSTM__repeat_current__20260908,3,classification,LSTM,repeat_current,20260908,0.3497327006059923,2659,5,0.3478177496939902,0.3410452324891751,,,
fold3__classification__BiLSTM__history__20260907,3,classification,BiLSTM,history,20260907,0.36192145806217957,2659,5,0.35078428153615016,0.34244723586515785,,,
fold3__classification__BiLSTM__history__20260908,3,classification,BiLSTM,history,20260908,0.3861679072785605,2659,5,0.3677420786780563,0.3653566429600897,,,
fold3__classification__BiLSTM__repeat_current__20260907,3,classification,BiLSTM,repeat_current,20260907,0.3562499277492045,2659,5,0.3529202543467738,0.34239110508447257,,,
fold3__classification__BiLSTM__repeat_current__20260908,3,classification,BiLSTM,repeat_current,20260908,0.3620279606718139,2659,5,0.35034547092847745,0.3446377673744268,,,
fold3__classification__MLP_current__current__20260907,3,classification,MLP_current,current,20260907,0.3345927261987592,2659,5,0.3431332493792201,0.3237436608094828,,,
fold3__classification__MLP_current__current__20260908,3,classification,MLP_current,current,20260908,0.3516009364769102,2659,5,0.354947942771684,0.32949457549444355,,,
fold3__classification__dummy_prior__current__20260907,3,classification,dummy_prior,current,20260907,0.36666666666666664,2659,5,0.3333333333333333,0.19281831952240935,,,
fold3__classification__logistic__current__20260907,3,classification,logistic,current,20260907,0.3546890213195786,2659,5,0.3656403817662451,0.35066729901420074,,,
fold3__classification__random_forest__current__20260907,3,classification,random_forest,current,20260907,0.3393211461184076,2659,5,0.33916012643408705,0.33612937225721645,,,
fold3__regression__TCN__history__20260907,3,regression,TCN,history,20260907,-0.9989232033428683,2659,5,,,0.0008714643990667126,0.6821994538214442,0.9991285347154589
fold3__regression__TCN__history__20260908,3,regression,TCN,history,20260908,-0.9983332484254126,2659,5,,,0.001604720026298856,0.6807019106780825,0.9983952790888766
fold3__regression__TCN__repeat_current__20260907,3,regression,TCN,repeat_current,20260907,-0.9998498812348189,2659,5,,,0.00014564200047972875,0.6844467224330789,0.9998543571134026
fold3__regression__TCN__repeat_current__20260908,3,regression,TCN,repeat_current,20260908,-1.0008325317864393,2659,5,,,-0.0004518351741333859,0.6785231798546145,1.0004518342874864
fold3__regression__LSTM__history__20260907,3,regression,LSTM,history,20260907,-1.0003410962034702,2659,5,,,-7.696191734818392e-05,0.6820355673673515,1.0000769610310334
