kind,architecture,mode,seed,macro_score,rows,participants,balanced_accuracy,macro_f1,r2,mae,mse
classification,BiLSTM,history,20260907,0.34428437262537726,13524,25,0.34228578534215587,0.34096499385951606,,,
classification,BiLSTM,history,20260908,0.36100432575434377,13524,25,0.357059740841061,0.3562640616857349,,,
classification,BiLSTM,repeat_current,20260907,0.3448380505734776,13524,25,0.34485895582540743,0.3444542578277369,,,
classification,BiLSTM,repeat_current,20260908,0.34573639621618113,13524,25,0.3425561344487284,0.3423385318733155,,,
classification,LSTM,history,20260907,0.3549057665317229,13524,25,0.3472053657627803,0.34683471916698355,,,
classification,LSTM,history,20260908,0.35198175869805154,13524,25,0.3421255610412066,0.3421105244030491,,,
classification,LSTM,repeat_current,20260907,0.3496353326584054,13524,25,0.3410377198122039,0.3395425719966075,,,
classification,LSTM,repeat_current,20260908,0.3460448751921448,13524,25,0.3351271362956308,0.3349192748969767,,,
classification,MLP_current,current,20260907,0.3433925846240887,13524,25,0.34568747262945426,0.34186640616103176,,,
classification,MLP_current,current,20260908,0.346766035950206,13524,25,0.349787154159426,0.3231580488267112,,,
classification,TCN,history,20260907,0.33884718198098335,13524,25,0.3446940019437621,0.32984237592495097,,,
classification,TCN,history,20260908,0.35219021435101266,13524,25,0.3552700099622803,0.3514971215174319,,,
classification,TCN,repeat_current,20260907,0.3416917430916026,13524,25,0.3472383174847104,0.3395687806293431,,,
classification,TCN,repeat_current,20260908,0.3468462099364072,13524,25,0.35041607632237254,0.34677965975825337,,,
classification,dummy_prior,current,20260907,0.3466666666666666,13524,25,0.3333333333333333,0.1803405433590449,,,
classification,logistic,current,20260907,0.3535773502873767,13524,25,0.3529688175366085,0.3456030492869937,,,
classification,random_forest,current,20260907,0.337120914265879,13524,25,0.3349586010921552,0.3349317937424973,,,
regression,BiLSTM,history,20260907,-1.0013325659103496,13524,25,,,-0.0014578727343590447,0.6341019391243609,1.0014578729167696
regression,BiLSTM,history,20260908,-1.0002108516088801,13524,25,,,-0.0004549193927820827,0.634009359407308,1.0004549195750099
regression,BiLSTM,repeat_current,20260907,-1.0011762666546762,13524,25,,,-0.001284813751984748,0.6334307744671571,1.0012848139343635
regression,BiLSTM,repeat_current,20260908,-1.000157187841578,13524,25,,,-0.0004188881556781432,0.6329062486262209,1.0004188883378993
regression,LSTM,history,20260907,-1.0061599990756782,13524,25,,,-0.006081822337479226,0.6364960868557102,1.0060818225207318
regression,LSTM,history,20260908,-1.0016666244129808,13524,25,,,-0.001700460888659272,0.6330672605355905,1.001700461071114
regression,LSTM,repeat_current,20260907,-1.0017210643042578,13524,25,,,-0.0016606716721143666,0.6336803852083922,1.0016606718545618
regression,LSTM,repeat_current,20260908,-1.0015710385252496,13524,25,,,-0.0017561065714926105,0.6324968841126455,1.0017561067539573
regression,MLP_current,current,20260907,-1.0000294152559044,13524,25,,,-0.00012748316207056298,0.6307677574315165,1.0001274833442386
regression,MLP_current,current,20260908,-1.0010105246123127,13524,25,,,-0.0011104463262374686,0.6334004680431925,1.0011104465085845
regression,TCN,history,20260907,-1.0038359604905074,13524,25,,,-0.0041626285863765045,0.6349404282070944,1.0041626287692795
regression,TCN,history,20260908,-1.0024529018990547,13524,25,,,-0.0025484793118779603,0.6329868219651223,1.002548479494487
regression,TCN,repeat_current,20260907,-1.0015912348960785,13524,25,,,-0.0016560191269336944,0.6330792025705391,1.0016560193093802
regression,TCN,repeat_current,20260908,-1.0018364885245674,13524,25,,,-0.0017950049539274815,0.6297708194705439,1.001795005136399
regression,dummy_mean,current,20260907,-1.0000000001080904,13524,25,,,0.0,0.6320073041520929,1.0000000001821447
regression,random_forest,current,20260907,-1.0405084422583064,13524,25,,,-0.04068311056924956,0.6600117893260676,1.0406831107588046
regression,ridge,current,20260907,-0.9999739491691808,13524,25,,,-4.520714128153358e-05,0.6322591526677286,1.0000452073234345
