model_id,fold,kind,architecture,mode,seed,participant,score
fold1__classification__TCN__history__20260907,1,classification,TCN,history,20260907,P22,0.3166532239996415
fold1__classification__TCN__history__20260907,1,classification,TCN,history,20260907,P24,0.3721490343684187
fold1__classification__TCN__history__20260907,1,classification,TCN,history,20260907,P30,0.33472074175591765
fold1__classification__TCN__history__20260907,1,classification,TCN,history,20260907,P43,0.3300449771038006
fold1__classification__TCN__history__20260907,1,classification,TCN,history,20260907,P48,0.3688663282571912
fold1__classification__TCN__history__20260908,1,classification,TCN,history,20260908,P22,0.3320898866335081
fold1__classification__TCN__history__20260908,1,classification,TCN,history,20260908,P24,0.33021911547250976
fold1__classification__TCN__history__20260908,1,classification,TCN,history,20260908,P30,0.3510312505287379
fold1__classification__TCN__history__20260908,1,classification,TCN,history,20260908,P43,0.37774652480534837
fold1__classification__TCN__history__20260908,1,classification,TCN,history,20260908,P48,0.3570219966159052
fold1__classification__TCN__repeat_current__20260907,1,classification,TCN,repeat_current,20260907,P22,0.3280906931935296
fold1__classification__TCN__repeat_current__20260907,1,classification,TCN,repeat_current,20260907,P24,0.3337702200116503
fold1__classification__TCN__repeat_current__20260907,1,classification,TCN,repeat_current,20260907,P30,0.32782599868027007
fold1__classification__TCN__repeat_current__20260907,1,classification,TCN,repeat_current,20260907,P43,0.3524655877597054
fold1__classification__TCN__repeat_current__20260907,1,classification,TCN,repeat_current,20260907,P48,0.3925549915397631
fold1__classification__TCN__repeat_current__20260908,1,classification,TCN,repeat_current,20260908,P22,0.3300174754671327
fold1__classification__TCN__repeat_current__20260908,1,classification,TCN,repeat_current,20260908,P24,0.3684859076040687
fold1__classification__TCN__repeat_current__20260908,1,classification,TCN,repeat_current,20260908,P30,0.3074970813664281
fold1__classification__TCN__repeat_current__20260908,1,classification,TCN,repeat_current,20260908,P43,0.35995271289388936
fold1__classification__TCN__repeat_current__20260908,1,classification,TCN,repeat_current,20260908,P48,0.37394247038917094
fold1__classification__LSTM__history__20260907,1,classification,LSTM,history,20260907,P22,0.3301070932473003
fold1__classification__LSTM__history__20260907,1,classification,LSTM,history,20260907,P24,0.44583725411121566
fold1__classification__LSTM__history__20260907,1,classification,LSTM,history,20260907,P30,0.3211512105984468
fold1__classification__LSTM__history__20260907,1,classification,LSTM,history,20260907,P43,0.3645591292650116
fold1__classification__LSTM__history__20260907,1,classification,LSTM,history,20260907,P48,0.3824027072758038
fold1__classification__LSTM__history__20260908,1,classification,LSTM,history,20260908,P22,0.33580902451046285
fold1__classification__LSTM__history__20260908,1,classification,LSTM,history,20260908,P24,0.38776493256262046
fold1__classification__LSTM__history__20260908,1,classification,LSTM,history,20260908,P30,0.3025311743904709
fold1__classification__LSTM__history__20260908,1,classification,LSTM,history,20260908,P43,0.3675349557702499
