kind,architecture,mode,macro_score,balanced_accuracy,r2,mse,mae,seeds
classification,BiLSTM,history,0.35264434918986054,0.34967276309160844,,,,2
classification,BiLSTM,repeat_current,0.34528722339482937,0.3437075451370679,,,,2
classification,LSTM,history,0.3534437626148872,0.34466546340199344,,,,2
classification,LSTM,repeat_current,0.3478401039252751,0.3380824280539173,,,,2
classification,MLP_current,current,0.34507931028714733,0.34773731339444014,,,,2
classification,TCN,history,0.345518698165998,0.3499820059530212,,,,2
classification,TCN,repeat_current,0.3442689765140049,0.34882719690354147,,,,2
classification,dummy_prior,current,0.3466666666666666,0.3333333333333333,,,,1
classification,logistic,current,0.3535773502873767,0.3529688175366085,,,,1
classification,random_forest,current,0.337120914265879,0.3349586010921552,,,,1
regression,BiLSTM,history,-1.0007717087596149,,-0.0009563960635705637,1.0009563962458898,0.6340556492658345,2
regression,BiLSTM,repeat_current,-1.000666727248127,,-0.0008518509538314456,1.0008518511361313,0.633168511546689,2
regression,LSTM,history,-1.0039133117443295,,-0.003891141613069249,1.0038911417959229,0.6347816736956504,2
regression,LSTM,repeat_current,-1.0016460514147538,,-0.0017083891218034886,1.0017083893042595,0.6330886346605189,2
regression,MLP_current,current,-1.0005199699341085,,-0.0006189647441540158,1.0006189649264114,0.6320841127373544,2
regression,TCN,history,-1.003144431194781,,-0.0033555539491272324,1.0033555541318833,0.6339636250861084,2
regression,TCN,repeat_current,-1.001713861710323,,-0.001725512040430588,1.0017255122228896,0.6314250110205415,2
regression,dummy_mean,current,-1.0000000001080904,,0.0,1.0000000001821447,0.6320073041520929,1
regression,random_forest,current,-1.0405084422583064,,-0.04068311056924956,1.0406831107588046,0.6600117893260676,1
regression,ridge,current,-0.9999739491691808,,-4.520714128153358e-05,1.0000452073234345,0.6322591526677286,1
