session,participant,channel,n_sampled,mean_uv,sd_uv,min_uv,max_uv
OpenBCISession_P1_test,P1,0,9736,-10824.767561412806,28665.70065303365,-187500.02235174447,9066.046365028187
OpenBCISession_P1_test,P1,1,9736,14999.216953926092,28094.068291262647,-38559.03906333912,187500.0
OpenBCISession_P1_test,P1,2,9736,-22386.68217182746,114697.62649059785,-187500.02235174447,187500.0
OpenBCISession_P1_test,P1,3,9736,-3156.998453247473,100757.29191603152,-76076.46448331648,187500.0
OpenBCISession_P1_test,P1,4,9736,125293.74772148582,138917.59281807262,-187500.02235174447,187500.0
OpenBCISession_P1_test,P1,5,9736,44951.57591335609,97695.74540177325,-187500.02235174447,187500.0
OpenBCISession_P1_test,P1,6,9736,-171254.93938313684,48014.59353409704,-187500.02235174447,65825.17216505673
OpenBCISession_P1_test,P1,7,9736,-4059.190604236106,86038.3133703725,-187500.02235174447,187500.0
OpenBCISession_P1_test,P1,8,9736,-187490.39313942188,950.1256563675458,-187500.02235174447,-93750.01117587223
OpenBCISession_P1_test,P1,9,9736,16429.490108523685,49725.446454212004,-68063.90053795584,187500.0
OpenBCISession_P1_test,P1,10,9736,-187076.87531098703,5295.828348105034,-187500.02235174447,-78067.75904509533
OpenBCISession_P1_test,P1,11,9736,-186269.23895260872,11740.846978840083,-187500.02235174447,12844.273489031017
OpenBCISession_P1_test,P1,12,9736,-36151.22929179765,183409.69226011916,-187500.02235174447,187500.0
OpenBCISession_P1_test,P1,13,9736,40972.22479674774,117649.26469083496,-187500.02235174447,187500.0
OpenBCISession_P1_test,P1,14,9736,-103103.66331401111,71080.24670046619,-187500.02235174447,-26149.484652219377
OpenBCISession_P1_test,P1,15,9736,-187488.77836822323,954.4549260588857,-187500.02235174447,-93750.01117587223
OpenBCISession_P1,P1,0,10210,1130.5473246360552,4844.249363663237,-13442.584984610676,8301.16966976758
OpenBCISession_P1,P1,1,10210,25736.441175209915,2343.9713280125875,11038.61016495349,29960.591192315962
OpenBCISession_P1,P1,2,10210,-34529.07860926379,2906.4688730303105,-41907.82212112214,-19794.526075664293
OpenBCISession_P1,P1,3,10210,-41190.501159365645,3225.213918624816,-47723.67897315967,-23824.456193978334
OpenBCISession_P1,P1,4,10210,187490.81782456688,927.8087354126131,93749.98882412778,187500.0
OpenBCISession_P1,P1,5,10210,-6918.306648128858,3895.771290853054,-14740.953116530553,-1259.1631721452682
OpenBCISession_P1,P1,6,10210,-85173.57074268255,61080.85414417457,-187500.02235174447,22121.00739729493
OpenBCISession_P1,P1,7,10210,28351.774567682332,4441.168168678975,10661.715049948103,37430.70065149077
OpenBCISession_P1,P1,8,10210,-187490.84017631135,927.8087354126131,-187500.02235174447,-93750.01117587223
OpenBCISession_P1,P1,9,10210,-5405.665286862781,2891.1949402003397,-12107.850564462015,2561.778135511653
OpenBCISession_P1,P1,10,10210,-187490.84017631135,927.8087354126131,-187500.02235174447,-93750.01117587223
OpenBCISession_P1,P1,11,10210,-187490.84017631135,927.8087354126131,-187500.02235174447,-93750.01117587223
OpenBCISession_P1,P1,12,10210,-187490.84017631135,927.8087354126131,-187500.02235174447,-93750.01117587223
OpenBCISession_P1,P1,13,10210,-23824.611395209606,3762.574933530468,-29806.76648697454,-16103.80603120399
OpenBCISession_P1,P1,14,10210,-12718.97486369749,7394.144014196446,-24798.142885940422,31.203035259608658
OpenBCISession_P1,P1,15,10210,-187490.84017631135,927.8087354126131,-187500.02235174447,-93750.01117587223
OpenBCISession_P2_test,P2,0,8726,37562.52129906416,17069.691112705248,-187500.02235174447,49270.307930744646
OpenBCISession_P2_test,P2,1,8726,50111.79002769714,25824.81961263354,-187500.02235174447,187500.0
OpenBCISession_P2_test,P2,2,8726,54413.94330199558,97866.13481971477,-187500.02235174447,187500.0
OpenBCISession_P2_test,P2,3,8726,-123171.44197226356,84388.82064401341,-187500.02235174447,95495.70476957617
OpenBCISession_P2_test,P2,4,8726,187500.0,0.0,187500.0,187500.0
OpenBCISession_P2_test,P2,5,8726,-71573.06557953307,111201.2521789958,-187500.02235174447,137039.21580782125
OpenBCISession_P2_test,P2,6,8726,-18889.660299858104,100822.7672800336,-187500.02235174447,187500.0
OpenBCISession_P2_test,P2,7,8726,-3195.173619259375,112658.05366243888,-187500.02235174447,187500.0
OpenBCISession_P2_test,P2,8,8726,90868.79225967092,85556.41944506938,-645.2501589358043,187500.0
OpenBCISession_P2_test,P2,9,8726,3165.1052180778875,86087.2831625675,-187500.02235174447,187500.0
OpenBCISession_P2_test,P2,10,8726,79551.05563089017,84541.80283828305,-187500.02235174447,187500.0
OpenBCISession_P2_test,P2,11,8726,75526.86676280483,89565.55061155987,-187500.02235174447,187500.0
OpenBCISession_P2_test,P2,12,8726,44881.572797216286,128852.41167115708,-187500.02235174447,187500.0
OpenBCISession_P2_test,P2,13,8726,-59998.6916052122,92675.47461264265,-187500.02235174447,187500.0
OpenBCISession_P2_test,P2,14,8726,38844.11534329914,108167.98948259754,-187500.02235174447,187500.0
OpenBCISession_P2_test,P2,15,8726,28655.329419695994,108780.3491393221,-187500.02235174447,187500.0
OpenBCISession_P2,P2,0,11548,31609.48529195699,460.2862878933169,16221.68913146128,32481.823263385686
OpenBCISession_P2,P2,1,11548,66858.528023399,1747.4093483977545,34673.38945548409,71112.61142642635
OpenBCISession_P2,P2,2,11548,9243.181557173028,1627.2083429078336,2400.532651011068,26635.858611566855
OpenBCISession_P2,P2,3,11548,17079.994717206053,5946.1895893775045,8676.075479516445,39636.28138736265
OpenBCISession_P2,P2,4,11548,187491.88171015147,872.4045873731045,93749.98882412778,187500.0
OpenBCISession_P2,P2,5,11548,41411.17902557185,1513.6000813856083,20351.26332655708,72374.12153173942
OpenBCISession_P2,P2,6,11548,-15460.875308996687,2494.768140566094,-20546.639924840918,-9672.695061289676
OpenBCISession_P2,P2,7,11548,15932.571829277249,1013.4932458726811,9107.777071926246,18839.972476955947
OpenBCISession_P2,P2,8,11548,-2742.54779524301,1823.395864342686,-5228.385952518696,4658.550579375098
OpenBCISession_P2,P2,9,11548,41811.87849680041,1635.2295303867782,20750.733703462327,50242.586462806044
OpenBCISession_P2,P2,10,11548,18676.34528517602,4537.8742976170115,2589.22607770277,38547.05852831108
OpenBCISession_P2,P2,11,11548,-15358.65778149832,5732.531917917931,-20973.29002300382,9298.526859107837
OpenBCISession_P2,P2,12,11548,30221.70578077265,2322.2237938910903,16850.354296011246,58346.345525544355
OpenBCISession_P2,P2,13,11548,-16828.648475936985,1083.2803738067703,-17856.652183133625,-5149.059611446812
OpenBCISession_P2,P2,14,11548,-16641.992360040975,1139.2304996081018,-18585.475514587823,-9443.857901556243
OpenBCISession_P2,P2,15,11548,-22340.20504012394,4520.860836850906,-30476.111826433164,-12329.602221203117
OpenBCISession_P3_test,P3,0,9023,13139.769830423433,51086.3359260633,-187500.02235174447,187500.0
OpenBCISession_P3_test,P3,1,9023,-52592.226985970156,109841.33157803856,-187500.02235174447,135579.98217105653
OpenBCISession_P3_test,P3,2,9023,-8368.662185299809,29013.15751996666,-187500.02235174447,73915.4978293774
OpenBCISession_P3_test,P3,3,9023,-28840.502548497167,84184.49282560429,-187500.02235174447,106100.2440572076
OpenBCISession_P3_test,P3,4,9023,187500.0,0.0,187500.0,187500.0
OpenBCISession_P3_test,P3,5,9023,-16797.87191449953,100181.98550603952,-187500.02235174447,187500.0
OpenBCISession_P3_test,P3,6,9023,-7098.755877437449,62472.5664870821,-187500.02235174447,187500.0
OpenBCISession_P3_test,P3,7,9023,24274.01492028946,49243.783151138916,-187500.02235174447,116792.89392148185
OpenBCISession_P3_test,P3,8,9023,173711.72883880336,43463.34267695507,29612.32866195782,187500.0
OpenBCISession_P3_test,P3,9,9023,-25380.467184205336,110675.49730875157,-187500.02235174447,101226.46853047235
OpenBCISession_P3_test,P3,10,9023,63038.56315060991,109847.50101144137,-187500.02235174447,187500.0
OpenBCISession_P3_test,P3,11,9023,-24900.761022968178,91428.95990766694,-187500.02235174447,92997.87497495115
OpenBCISession_P3_test,P3,12,9023,27743.13745651813,13320.569172964562,-17879.9203491116,75885.80410311272
OpenBCISession_P3_test,P3,13,9023,119894.10985285765,83048.17684360698,-8406.446386152076,187500.0
OpenBCISession_P3_test,P3,14,9023,19323.532018988983,8056.234478184462,2458.53542787259,53017.60024042133
OpenBCISession_P3_test,P3,15,9023,13079.113460801922,130364.3243843831,-187500.02235174447,187500.0
OpenBCISession_P3,P3,0,9858,30126.08021604025,1798.4153917596595,12888.105259907874,32517.4742957919
OpenBCISession_P3,P3,1,9858,47236.61152928715,1059.4372197238788,22677.722296443262,49521.38507621111
OpenBCISession_P3,P3,2,9858,1049.9614099929902,1508.430282539581,-1219.2206048036344,4928.961983795403
OpenBCISession_P3,P3,3,9858,-14228.128905897433,1501.4903682631825,-16416.082252989087,-7327.058294660842
OpenBCISession_P3,P3,4,9858,187490.48995626174,944.228101034889,93749.98882412778,187500.0
OpenBCISession_P3,P3,5,9858,33100.6321022109,1605.9300736728505,17028.765920253507,35578.03160882373
OpenBCISession_P3,P3,6,9858,9165.062751859874,4695.696389629849,3058.4786007974867,23000.45913463344
OpenBCISession_P3,P3,7,9858,44998.724307991746,1857.0539086755816,24928.386500881494,55382.7724317041
OpenBCISession_P3,P3,8,9858,22295.23970560035,4431.871892209777,10081.977854010804,30225.0346809667
OpenBCISession_P3,P3,9,9858,34658.92921457031,3337.3420714459176,19563.319631018596,41077.2983523963
OpenBCISession_P3,P3,10,9858,55577.0036583995,3665.9596720613868,30448.06038714175,65417.47634619193
OpenBCISession_P3,P3,11,9858,17389.189091996956,2089.0136028457214,6042.212968136427,22776.114675535522
OpenBCISession_P3,P3,12,9858,40207.1385263584,6164.096152763624,14437.863461716588,50501.06203568722
OpenBCISession_P3,P3,13,9858,9370.809199148294,3079.797702547862,3105.1043397312574,14856.735152809044
OpenBCISession_P3,P3,14,9858,25849.481714816557,1182.3539454752233,12941.078894266951,27880.113170160435
OpenBCISession_P3,P3,15,9858,49812.034747251055,2945.7897035215365,27804.206645990213,55479.39902298439
