participant,rows,gaze_valid,pupil_left_valid,pupil_right_valid,both_eyes_valid,gaze_valid_pct,pupil_left_valid_pct,pupil_right_valid_pct,both_eyes_valid_pct
P1,43978,42229,42032,41704,41507,96.02301150575288,95.57506025740143,94.82923279821729,94.38128154986585
P10,41569,40795,39964,40103,39272,98.13803555534172,96.13894969809233,96.47333349370925,94.47424763645986
P11,40796,38377,37941,37901,37465,94.07049710755956,93.0017648789097,92.90371605059319,91.83498382194333
P12,40196,39286,36968,38523,36205,97.73609314359638,91.96935018409792,95.83789431784257,90.07115135834411
P13,44467,42308,41439,42071,41202,95.14471405761576,93.19045584365934,94.61173454471856,92.65747633076214
P14,44939,42073,41489,41609,41025,93.62246600947951,92.32292663388148,92.589955272703,91.29041589710496
P15,41050,36953,36485,36499,36031,90.01948842874543,88.87941534713764,88.91352009744215,87.77344701583435
P16,40323,38957,38699,38801,38543,96.61235523150559,95.9725218857724,96.22547925501574,95.58564590928255
P17,48989,45575,44791,42397,41613,93.03108861172916,91.43072934740452,86.5439180224132,84.94355875808856
P18,39488,38212,37892,38126,37806,96.76863857374393,95.95826580226904,96.55085089141005,95.74047811993518
P19,41358,40030,39709,39214,38893,96.78901300836597,96.01286329126167,94.81599690507278,94.03984718796848
P2,51412,49263,49037,49040,48814,95.8200420135377,95.38045592468684,95.38629113825566,94.94670504940481
P20,53266,48968,47251,47358,45641,91.93106296699584,88.70761836818984,88.90849697743401,85.68505237862801
P21,45472,42692,42460,42211,41979,93.88634764250527,93.37614356087262,92.82855383532723,92.31834975369458
P22,42635,38655,38227,37763,37335,90.66494664008444,89.66107658027443,88.57276885188226,87.56889879207225
P23,37065,35339,34807,35187,34655,95.34331579657359,93.9079994604074,94.93322541481182,93.49790907864562
P24,43652,43451,42592,43216,42357,99.53953999816733,97.57170347292221,99.00119123980573,97.03335471456062
P25,50025,48295,48013,47733,47451,96.54172913543228,95.97801099450275,95.41829085457272,94.85457271364318
P26,42982,41649,41217,41341,40909,96.89870178214136,95.89362989158252,96.18212274905774,95.1770508584989
P27,40351,39252,39040,38588,38376,97.27639959356645,96.75100988823077,95.63083938440187,95.1054496790662
P28,37304,35221,34750,34633,34162,94.41614840231611,93.15354921724212,92.8399099292301,91.57731074415612
P29,40569,39644,38186,38820,37362,97.71993393970766,94.12605684143065,95.68882644383643,92.09494934555941
P3,40972,38887,38520,38772,38405,94.91115884018355,94.01542516840769,94.63047935175241,93.73474567997657
P30,47795,44976,41052,44824,40900,94.10189350350456,85.89182968929805,93.78386860550266,85.57380479129615
P31,46932,45564,45416,44944,44796,97.08514446433138,96.7697945964374,95.7640842069377,95.44873433904372
P32,43207,41244,40897,40926,40579,95.45675469252667,94.65364408544912,94.72076283935473,93.91765223227718
P33,42215,39517,39002,39199,38684,93.6089067866872,92.38896126969087,92.85562004027004,91.63567452327372
P34,44325,43698,43256,43591,43149,98.585448392555,97.5882684715172,98.34404963338973,97.34686971235195
P35,44686,43925,43545,43574,43194,98.29700577362037,97.44662757910756,97.51152486237301,96.66114666786018
P36,42434,40507,39514,40075,39082,95.45883018334355,93.11872555026629,94.44077862091719,92.10067398783994
P37,44834,43869,43761,43615,43507,97.84761564883793,97.60672703751617,97.28108132221082,97.04019271088906
P38,57422,55494,53474,55055,53035,96.64240186688029,93.12458639545818,95.87788652432866,92.36007105290655
P39,41443,40589,40409,40360,40180,97.93933836836136,97.50500687691527,97.38677219313274,96.95244070168665
P4,39855,38078,34195,37433,33550,95.54133734788608,85.79851963367206,93.92297076903776,84.18015305482373
P40,40417,39527,38910,38723,38106,97.797956305515,96.2713709577653,95.80869436128361,94.28210901353391
P41,43498,42012,30630,34165,22783,96.58375097705641,70.41703066807669,78.54384109614234,52.37712078716263
P42,41043,39160,38513,38962,38315,95.4121287430256,93.83573325536632,94.92970786735863,93.35331237969935
P43,51544,48424,48344,47156,47076,93.94691913704796,93.79171193543381,91.4868849914636,91.33167778984945
P44,45325,43923,43567,41847,41491,96.90678433535577,96.12134583563154,92.3265306122449,91.54109211252069
P45,44892,42109,41513,41751,41155,93.80067718078945,92.47304642252517,93.00320769847634,91.67557694021207
P46,47270,45946,45651,45619,45324,97.19906917706791,96.57499471123334,96.50729849799026,95.8832240321557
P47,57444,55771,55535,55480,55244,97.0875983566604,96.6767634565838,96.58101803495579,96.17018313487918
P48,48212,45757,45439,45245,44927,94.90790674520866,94.24831992035178,93.84593047374098,93.18634364888409
P5,40134,37544,36604,36709,35769,93.54661882692979,91.20446504210894,91.46608860317934,89.12393481835849
P6,52761,43362,24749,41379,22766,82.18570535054302,46.90775383332386,78.42724739864673,43.14929588142757
P7,46628,42754,41774,42149,41169,91.69168739812987,89.58994595522005,90.39418375225186,88.29244230934202
P8,51616,49836,49197,49609,48970,96.55145691258525,95.31346869187848,96.11167079975202,94.87368257904525
P9,43894,40074,39101,38499,37526,91.29721602041282,89.08051214288969,87.70902629060919,85.49232241308607
Test_Participant,44426,37602,36658,36600,35656,84.6396254445595,82.51474361860171,82.38418943861703,80.25930761265926
