participant,recording,recording_timestamp_us,time_s,gsr
P1,P1,188227,0.133334,1.88607097
P1,P1,254893,0.2,1.88502288
P1,P1,588227,0.533334,1.87980688
P1,P1,721560,0.666667,1.87750828
P1,P1,1854893,1.8,1.83472562
P1,P1,2188227,2.133334,1.82168937
P1,P1,2454893,2.4,1.81815767
P1,P1,2521560,2.466667,1.81869447
P1,P1,2588227,2.533334,1.8193177
P1,P1,3054893,3,1.82300365
P1,P1,3188227,3.133334,1.82270217
P1,P1,3854893,3.8,1.81584966
P1,P1,4254893,4.2,1.81205201
P1,P1,4654893,4.6,1.81445897
P1,P1,4721560,4.666667,1.8154788
P1,P1,4788227,4.733334,1.81657469
P1,P1,4854893,4.8,1.81774938
P1,P1,5454893,5.4,1.82568038
P1,P1,5854893,5.8,1.82651079
P1,P1,5921560,5.866667,1.82651079
P1,P1,6921560,6.866667,1.81967592
P1,P1,7521560,7.466667,1.80780602
P1,P1,7921560,7.866667,1.80310607
P1,P1,9521560,9.466667,1.81243575
P1,P1,10388227,10.333334,1.7913456
P1,P1,10521560,10.466667,1.78546596
P1,P1,10788227,10.733334,1.77386725
P1,P1,10921560,10.866667,1.76958227
P1,P1,11054893,11,1.76614642
P1,P1,11254893,11.2,1.76217473
P1,P1,12054893,12,1.74623382
P1,P1,12188227,12.133334,1.74302626
P1,P1,12321560,12.266667,1.73978591
P1,P1,12454893,12.4,1.73660767
P1,P1,12721560,12.666667,1.73058462
P1,P1,12854893,12.8,1.72769916
P1,P1,13921560,13.866667,1.70804989
P1,P1,14788227,14.733334,1.69313025
P1,P1,15054893,15,1.68867278
P1,P1,15188227,15.133334,1.68638742
P1,P1,16321560,16.266667,1.67066467
P1,P1,16521560,16.466667,1.67366052
P1,P1,16721560,16.666667,1.67911887
P1,P1,18254893,18.2,1.70628273
P1,P1,18921560,18.866667,1.69532681
P1,P1,19321560,19.266667,1.68606377
P1,P1,19588227,19.533334,1.67949092
P1,P1,19721560,19.666667,1.67633998
P1,P1,20388227,20.333334,1.66223717
P1,P1,20454893,20.4,1.66106153
