participant,recording,timeline,manifest_start_utc,n_valid,n_sensor_rows,n_missing,n_invalid,missing_rate,duration_s,sampling_hz_est,mean,sd,min,q25_approx,median_approx,q75_approx,max,iqr_approx,duplicate_timestamps,nonmonotonic_timestamps,quality_status,quality_reasons
P1,P1,SlowWeb G1,2025-08-08T16:22:37.297000+00:00,11322,11322,0,0,0,754.733334,14.999925,1.29570198,0.220003988,0.954851449,1.1271832,1.26485056,1.43303448,1.88827598,0.305851281,0,0,ok,
P10,P10,SlowWeb G2,2025-08-19T15:19:45.056000+00:00,10660,10660,0,0,0,710.6,14.999925,0.490989229,0.335862929,0.220002964,0.265891328,0.283097789,0.659100264,1.26942015,0.393208936,0,0,ok,
P11,P11,SlowWeb G3,2025-08-19T17:23:26.949000+00:00,10458,10458,0,0,0,697.133334,14.999925,1.2835044,0.399824654,0.760144472,0.966713414,1.12760735,1.60718784,2.18042922,0.640474424,0,0,ok,
P12,P12,SlowWeb G1,2025-08-19T17:59:14.923000+00:00,10323,10323,0,0,0,688.133334,14.999925,0.886215385,0.0985256723,0.586344302,0.829345375,0.886361718,0.922757715,1.11850727,0.0934123397,0,0,ok,
P13,P13,SlowWeb G2,2025-08-19T19:24:28.098000+00:00,11411,11411,0,0,0,760.666667,14.999925,0.848683278,0.476054191,0.387005597,0.447317719,0.590933651,1.21834403,1.91562569,0.771026313,0,0,ok,
P14,P14,SlowWeb G3,2025-08-19T20:12:44.403000+00:00,11482,11482,0,0,0,765.4,14.999925,0.172185197,0.0810250551,0.0837006196,0.0972655993,0.141745493,0.256200984,0.307911485,0.158935385,0,0,ok,
P15,P15,SlowWeb G4,2025-08-19T21:18:32.367000+00:00,10567,10567,0,0,0,704.4,14.999925,2.35214106,0.180202289,2.10157371,2.23521793,2.33590913,2.41212004,3.381145,0.176902115,0,0,ok,
P16,P16,SlowWeb G4,2025-08-19T22:29:41.942000+00:00,10357,10357,0,0,0,690.4,14.999925,1.30006621,0.319577796,0.736874402,1.09738091,1.30568987,1.5450457,1.96144438,0.447664797,0,0,ok,
P17,P17,SlowWeb G3,2025-08-20T12:21:26.433000+00:00,12513,12513,0,0,0,834.133334,14.999925,0.219890073,0.0179013952,0.193806246,0.206682712,0.215273462,0.234966848,0.262857169,0.0282841362,0,0,ok,
P18,P18,SlowWeb G2,2025-08-20T12:54:16.235000+00:00,10137,10137,0,0,0,675.733334,14.999925,0.787056256,0.171631489,0.403579146,0.714437097,0.823542178,0.895834506,1.22874618,0.181397408,0,0,ok,
