fold,scope,inner_a,inner_b,spearman
1,all,1,2,0.4279525201648411
1,all,1,3,0.3532633581064422
1,all,2,3,-0.0725934274946286
1,fusion,1,2,0.03776683087027915
1,fusion,1,3,-0.06075533661740558
1,fusion,2,3,-0.7947454844006568
2,all,1,2,-0.13921665316473533
2,all,1,3,0.1670071501532176
2,all,2,3,0.7107357965552465
2,fusion,1,2,0.2545155993431856
2,fusion,1,3,0.5916803503010399
2,fusion,2,3,0.6967706622879036
3,all,1,2,0.2426649290268043
3,all,1,3,0.32050649853826924
3,all,2,3,0.2406748617519637
3,fusion,1,2,0.2523262178434592
3,fusion,1,3,0.4033935413245758
3,fusion,2,3,0.21784345922276957
4,all,1,2,0.12896692613856506
4,all,1,3,0.17288929590363147
4,all,2,3,0.19426931069705192
4,fusion,1,2,-0.2370005473453749
4,fusion,1,3,-0.3366174055829228
4,fusion,2,3,-0.6781609195402298
5,all,1,2,-0.17944066781726603
5,all,1,3,-0.14955443626501358
5,all,2,3,0.21746328061709697
5,fusion,1,2,-0.9277504105090312
5,fusion,1,3,-0.6124794745484401
5,fusion,2,3,0.6288998357963875
