fold,scope,selected,inner_score,runner_up_margin,inner_winner_agreements,outer_score,inner_outer_gap
1,all,b08_ctx1_smooth1,0.37022492911509614,0.00202914054046488,1,0.3428636589041862,0.02736127021090995
1,fusion,b18_ctx1_smooth1,0.3529305902510031,0.0016367947864640575,1,0.33928339823498177,0.013647192016021326
2,all,b17_ctx8_smooth4,0.3723138828034516,0.0005522999459321998,0,0.3532602059142601,0.019053676889191518
2,fusion,b17_ctx8_smooth4,0.3723138828034516,0.0005522999459321998,1,0.3532602059142601,0.019053676889191518
3,all,b19_ctx1_smooth4,0.3528677181104077,0.004465583340720891,2,0.3790759626072037,-0.02620824449679604
3,fusion,b19_ctx1_smooth4,0.3528677181104077,0.004465583340720891,2,0.3790759626072037,-0.02620824449679604
4,all,b11_ctx8_smooth4,0.36848680638837594,0.0010198515244303485,0,0.36954001266112235,-0.0010532062727464098
4,fusion,b20_ctx1_smooth4,0.34017362440233273,0.00021294923344233885,0,0.33784084160681466,0.0023327827955180735
5,all,b10_ctx1_smooth4,0.35044858768528525,0.0004834027096711768,0,0.32916663582874484,0.021281951856540415
5,fusion,b17_ctx1_smooth1,0.3412274397186401,0.0012644284206078105,1,0.3778058263900746,-0.03657838667143448
