fold,scope,candidate,inner_score
1,pool_selected,both_h0.0_mean_s4,0.3504097480675714
1,pool_logistic,logistic_h0.0_geometric_s1,0.3497094027836876
1,pool_lda,lda_h0.75_geometric_s1,0.3473464992421054
1,pool_fixed_history,both_h1.0_mean_s1,
1,pool_fixed_multiscale,both_h0.5_mean_s1,
2,pool_selected,logistic_h0.75_geometric_s4,0.37191770156853105
2,pool_logistic,logistic_h0.75_geometric_s4,0.37191770156853105
2,pool_lda,lda_h0.5_geometric_s4,0.35617055394063457
2,pool_fixed_history,both_h1.0_mean_s1,
2,pool_fixed_multiscale,both_h0.5_mean_s1,
3,pool_selected,logistic_h0.25_geometric_s4,0.3493248365079129
3,pool_logistic,logistic_h0.25_geometric_s4,0.3493248365079129
3,pool_lda,lda_h0.25_mean_s4,0.34140291937394135
3,pool_fixed_history,both_h1.0_mean_s1,
3,pool_fixed_multiscale,both_h0.5_mean_s1,
4,pool_selected,lda_h0.0_mean_s4,0.33974782322362523
4,pool_logistic,logistic_h1.0_mean_s1,0.3390976053429667
4,pool_lda,lda_h0.0_mean_s4,0.33974782322362523
4,pool_fixed_history,both_h1.0_mean_s1,
4,pool_fixed_multiscale,both_h0.5_mean_s1,
5,pool_selected,logistic_h0.0_mean_s1,0.34085149482821236
5,pool_logistic,logistic_h0.0_mean_s1,0.34085149482821236
5,pool_lda,lda_h0.0_mean_s1,0.339137449849156
5,pool_fixed_history,both_h1.0_mean_s1,
5,pool_fixed_multiscale,both_h0.5_mean_s1,
