scope,reference,mean_delta,ci_low,ci_high,positive_participants,tied_participants
pool_selected,previous_geometric,-0.005633722645650175,-0.018915185064480367,0.008257641607934206,11,0
pool_selected,previous_tuned_logistic,-0.0010888939819087473,-0.009569332891060382,0.007082440430465464,14,1
pool_logistic,previous_geometric,-0.004320940499959522,-0.017378915104897873,0.007806291668303625,12,0
pool_logistic,previous_tuned_logistic,0.00022388816378190456,-0.005087178575074642,0.00489907928048789,15,1
pool_lda,previous_geometric,-0.004890802087360825,-0.01791589615660598,0.008774574453030046,11,0
pool_lda,previous_tuned_logistic,-0.0003459734236193979,-0.016339551630506252,0.016217983184924914,13,0
pool_fixed_history,previous_geometric,0.0011853315826438626,-0.0050979428844978095,0.007973450122516637,9,1
pool_fixed_history,previous_tuned_logistic,0.0057301602463852895,-0.009865631600211885,0.021508145229454583,16,1
pool_fixed_multiscale,previous_geometric,-0.0021830121579595376,-0.010347431785203256,0.005927198995577566,12,1
pool_fixed_multiscale,previous_tuned_logistic,0.0023618165057818895,-0.01205918705350165,0.016988376936160288,14,0
stack_global_C0.001,previous_geometric,-0.003741735649172453,-0.028600666627079923,0.02105673169981658,12,0
stack_global_C0.001,previous_tuned_logistic,0.0008030930145689741,-0.02065787034066106,0.022314118083280127,15,0
stack_global_C0.01,previous_geometric,-0.00012406488129709236,-0.024838581666391406,0.025046434604411413,13,0
stack_global_C0.01,previous_tuned_logistic,0.0044207637824443344,-0.017509359622100255,0.0262734460806364,15,0
stack_global_C0.1,previous_geometric,-0.012128065342915691,-0.03650432686614631,0.013037804893929897,12,0
stack_global_C0.1,previous_tuned_logistic,-0.007583236679174263,-0.03159039683273892,0.016420977565584537,11,0
stack_participant_C0.001,previous_geometric,0.002048738318379959,-0.02950172762396759,0.035671571585404876,9,0
stack_participant_C0.001,previous_tuned_logistic,0.006593566982121384,-0.022012265236946663,0.03553282683204673,15,0
stack_participant_C0.01,previous_geometric,0.0034119483333446233,-0.03110428990158878,0.040995088030954634,11,0
stack_participant_C0.01,previous_tuned_logistic,0.00795677699708605,-0.025023940952562617,0.042741268858753845,14,0
stack_participant_C0.1,previous_geometric,-0.006465006418891155,-0.039472656116474186,0.029173487792384486,12,0
stack_participant_C0.1,previous_tuned_logistic,-0.0019201777551497278,-0.03389199180417945,0.03277113697396104,13,0
