scope,reference,participant,delta
pool_selected,previous_geometric,P12,-8.378718056134549e-05
pool_selected,previous_geometric,P13,-0.009013709842439044
pool_selected,previous_geometric,P18,-0.014861995753715496
pool_selected,previous_geometric,P19,0.016745283018868073
pool_selected,previous_geometric,P2,0.010773020357893182
pool_selected,previous_geometric,P20,-0.004030452306314325
pool_selected,previous_geometric,P21,0.030640317737091916
pool_selected,previous_geometric,P22,-0.07896446655016354
pool_selected,previous_geometric,P24,-0.08713088676793479
pool_selected,previous_geometric,P26,-0.011428571428571344
pool_selected,previous_geometric,P27,0.01730205278592367
pool_selected,previous_geometric,P3,-0.018633540372670787
pool_selected,previous_geometric,P30,0.0469603911814967
pool_selected,previous_geometric,P33,-0.0640522875816994
pool_selected,previous_geometric,P34,0.05740905057675244
pool_selected,previous_geometric,P35,-0.02777777777777779
pool_selected,previous_geometric,P36,0.009966353405267525
pool_selected,previous_geometric,P4,0.008714596949891074
pool_selected,previous_geometric,P40,-0.002095483349743743
pool_selected,previous_geometric,P43,0.027224056635821392
pool_selected,previous_geometric,P44,-0.04952060689765597
pool_selected,previous_geometric,P46,-0.030612244897959107
pool_selected,previous_geometric,P48,0.016920473773265665
pool_selected,previous_geometric,P8,0.02056656793498901
pool_selected,previous_geometric,P9,-0.005859419791308329
pool_selected,previous_tuned_logistic,P12,-0.021617092584834463
pool_selected,previous_tuned_logistic,P13,0.009228565582156789
pool_selected,previous_tuned_logistic,P18,0.0
pool_selected,previous_tuned_logistic,P19,-0.018828616352201177
pool_selected,previous_tuned_logistic,P2,0.006179815982032877
pool_selected,previous_tuned_logistic,P20,0.0016482559586008527
pool_selected,previous_tuned_logistic,P21,0.009009009009009084
pool_selected,previous_tuned_logistic,P22,-0.0017363444907469439
pool_selected,previous_tuned_logistic,P24,0.007483084643993387
pool_selected,previous_tuned_logistic,P26,0.015238095238095273
pool_selected,previous_tuned_logistic,P27,0.02137969557324393
pool_selected,previous_tuned_logistic,P3,-0.028985507246376663
pool_selected,previous_tuned_logistic,P30,0.0049489873610477075
pool_selected,previous_tuned_logistic,P33,-0.05633528265107207
pool_selected,previous_tuned_logistic,P34,-0.002395740905057675
pool_selected,previous_tuned_logistic,P35,-0.0018518518518518268
