fold,inner,candidate_id,family,score
1,1,both_h0.0_mean_s1,both,0.35354079922047277
1,1,both_h0.0_mean_s4,both,0.3534993480154766
1,1,both_h0.0_geometric_s1,both,0.35385292096116594
1,1,both_h0.0_geometric_s4,both,0.3537308797142376
1,1,both_h0.25_mean_s1,both,0.3505808197269271
1,1,both_h0.25_mean_s4,both,0.3550119930478194
1,1,both_h0.25_geometric_s1,both,0.35115072932329905
1,1,both_h0.25_geometric_s4,both,0.3558632612453883
1,1,both_h0.5_mean_s1,both,0.3420924608102288
1,1,both_h0.5_mean_s4,both,0.35156890742439023
1,1,both_h0.5_geometric_s1,both,0.34187212136829975
1,1,both_h0.5_geometric_s4,both,0.3513184272142861
1,1,both_h0.75_mean_s1,both,0.34601584579733236
1,1,both_h0.75_mean_s4,both,0.3515771844668395
1,1,both_h0.75_geometric_s1,both,0.3454786358616262
1,1,both_h0.75_geometric_s4,both,0.35270990435232374
1,1,both_h1.0_mean_s1,both,0.34334667644968975
1,1,both_h1.0_mean_s4,both,0.3507253546803577
1,1,both_h1.0_geometric_s1,both,0.3436287834273782
1,1,both_h1.0_geometric_s4,both,0.3498558193387727
1,1,logistic_h0.0_mean_s1,logistic,0.35679398471989715
1,1,logistic_h0.0_mean_s4,logistic,0.35232393170891263
1,1,logistic_h0.0_geometric_s1,logistic,0.35710120438195553
1,1,logistic_h0.0_geometric_s4,logistic,0.3517189466318779
1,1,logistic_h0.25_mean_s1,logistic,0.35043905249222945
1,1,logistic_h0.25_mean_s4,logistic,0.34208208367183635
1,1,logistic_h0.25_geometric_s1,logistic,0.3498353364788256
1,1,logistic_h0.25_geometric_s4,logistic,0.3434663301688648
1,1,logistic_h0.5_mean_s1,logistic,0.3434879191933856
1,1,logistic_h0.5_mean_s4,logistic,0.3440309288666647
1,1,logistic_h0.5_geometric_s1,logistic,0.3436073853517217
1,1,logistic_h0.5_geometric_s4,logistic,0.34464974098481344
1,1,logistic_h0.75_mean_s1,logistic,0.3455898356796149
1,1,logistic_h0.75_mean_s4,logistic,0.34846941906174383
1,1,logistic_h0.75_geometric_s1,logistic,0.3455095025608032
1,1,logistic_h0.75_geometric_s4,logistic,0.34808477342663807
1,1,logistic_h1.0_mean_s1,logistic,0.34533810840054074
1,1,logistic_h1.0_mean_s4,logistic,0.34986759448583454
1,1,logistic_h1.0_geometric_s1,logistic,0.34533810840054074
1,1,logistic_h1.0_geometric_s4,logistic,0.3496030442212843
1,1,lda_h0.0_mean_s1,lda,0.3421479328282629
1,1,lda_h0.0_mean_s4,lda,0.3494771946769916
1,1,lda_h0.0_geometric_s1,lda,0.34275070358083276
1,1,lda_h0.0_geometric_s4,lda,0.3488488055771867
1,1,lda_h0.25_mean_s1,lda,0.3482475997777427
1,1,lda_h0.25_mean_s4,lda,0.347769648796839
1,1,lda_h0.25_geometric_s1,lda,0.34735949885310546
1,1,lda_h0.25_geometric_s4,lda,0.3484123751151933
1,1,lda_h0.5_mean_s1,lda,0.34287469456356917
1,1,lda_h0.5_mean_s4,lda,0.34403033701596064
1,1,lda_h0.5_geometric_s1,lda,0.34555298094605247
