fold,task,kind,model,subset,n_features,macro_score,balanced_accuracy,macro_f1,rows,r2,mse
0,attention_primary,classification,dummy,full,18,0.3333333333333333,0.3333333333333333,0.16666666666666666,2886,,
0,attention_primary,classification,logistic,full,18,0.31813718797285956,0.3187803187803188,0.29743364445295317,2886,,
0,attention_primary,classification,logistic,EEG,9,0.32470993407298043,0.3257103257103257,0.2954997243766461,2886,,
0,attention_primary,classification,logistic,compact_no_noise,9,0.3293394786930384,0.3319473319473319,0.3248080379460178,2886,,
0,attention_primary,classification,random_forest,full,18,0.3565076977528388,0.35793485793485796,0.3566705631122997,2886,,
0,attention_primary,classification,random_forest,EEG,9,0.3405865794890434,0.33853083853083854,0.3343507586191641,2886,,
0,attention_primary,classification,random_forest,compact_no_noise,9,0.34159578990783424,0.340956340956341,0.3404357259612156,2886,,
0,attention_primary,regression,dummy,full,18,-0.999999999745428,,,2886,-2.220446049250313e-16,0.9999999999015245
0,attention_primary,regression,ridge,full,18,-1.0072594271819735,,,2886,-0.006415173303184085,1.0064151732040767
0,attention_primary,regression,ridge,EEG,9,-1.0037604224449297,,,2886,-0.003406286875520026,1.003406286776709
0,attention_primary,regression,ridge,compact_no_noise,9,-1.0059704361585171,,,2886,-0.005303145943994725,1.0053031458449968
0,attention_primary,regression,random_forest,full,18,-1.0543633778324857,,,2886,-0.054675722729064624,1.0546757226252048
0,attention_primary,regression,random_forest,EEG,9,-1.033965414340667,,,2886,-0.03494794479685459,1.0349479446949374
0,attention_primary,regression,random_forest,compact_no_noise,9,-1.0678400247753506,,,2886,-0.0691935572052016,1.069193557099912
0,arousal_primary_6s,classification,dummy,full,25,0.3333333333333333,0.3333333333333333,0.16666666666666666,2886,,
0,arousal_primary_6s,classification,logistic,full,25,0.3342898830170821,0.33575883575883575,0.3269856631055859,2886,,
0,arousal_primary_6s,classification,logistic,Pupil,6,0.3456212792140837,0.3471933471933472,0.33724282387407206,2886,,
0,arousal_primary_6s,classification,logistic,Eye_Pupil,16,0.3457980331370481,0.34788634788634787,0.33830944851867634,2886,,
0,arousal_primary_6s,classification,logistic,Pupil_no_quality,5,0.3510109588591912,0.3503118503118503,0.3412293357388027,2886,,
0,arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,15,0.3615207262373206,0.3617463617463617,0.3547965929684718,2886,,
0,arousal_primary_6s,classification,random_forest,full,25,0.33260655084319674,0.332986832986833,0.33190321175088383,2886,,
0,arousal_primary_6s,classification,random_forest,Pupil,6,0.3318572927736464,0.33367983367983367,0.33251533585393467,2886,,
0,arousal_primary_6s,classification,random_forest,Eye_Pupil,16,0.3358970107743524,0.3371448371448372,0.3326883360409825,2886,,
