fold,task,kind,model,subset,n_features,participant,score
0,attention_primary,classification,dummy,full,18,P22,0.3333333333333333
0,attention_primary,classification,dummy,full,18,P24,0.3333333333333333
0,attention_primary,classification,dummy,full,18,P30,0.3333333333333333
0,attention_primary,classification,dummy,full,18,P43,0.3333333333333333
0,attention_primary,classification,dummy,full,18,P48,0.3333333333333333
0,attention_primary,classification,logistic,full,18,P22,0.31239637944168125
0,attention_primary,classification,logistic,full,18,P24,0.3356185867276067
0,attention_primary,classification,logistic,full,18,P30,0.30132142192443695
0,attention_primary,classification,logistic,full,18,P43,0.35708559237971
0,attention_primary,classification,logistic,full,18,P48,0.2842639593908629
0,attention_primary,classification,logistic,EEG,9,P22,0.2948424967513555
0,attention_primary,classification,logistic,EEG,9,P24,0.3219966841421338
0,attention_primary,classification,logistic,EEG,9,P30,0.353518433920444
0,attention_primary,classification,logistic,EEG,9,P43,0.33001100648159476
0,attention_primary,classification,logistic,EEG,9,P48,0.323181049069374
0,attention_primary,classification,logistic,compact_no_noise,9,P22,0.2643276426042927
0,attention_primary,classification,logistic,compact_no_noise,9,P24,0.3436281758300847
0,attention_primary,classification,logistic,compact_no_noise,9,P30,0.30973047053449065
0,attention_primary,classification,logistic,compact_no_noise,9,P43,0.3872175342763578
0,attention_primary,classification,logistic,compact_no_noise,9,P48,0.34179357021996615
0,attention_primary,classification,random_forest,full,18,P22,0.353060447192723
0,attention_primary,classification,random_forest,full,18,P24,0.32989425101940223
0,attention_primary,classification,random_forest,full,18,P30,0.33768167436509144
0,attention_primary,classification,random_forest,full,18,P43,0.3794994089111736
0,attention_primary,classification,random_forest,full,18,P48,0.38240270727580367
0,attention_primary,classification,random_forest,EEG,9,P22,0.34583501366671143
0,attention_primary,classification,random_forest,EEG,9,P24,0.3652708697405565
0,attention_primary,classification,random_forest,EEG,9,P30,0.346014584708052
0,attention_primary,classification,random_forest,EEG,9,P43,0.2921745274686451
0,attention_primary,classification,random_forest,EEG,9,P48,0.3536379018612521
0,attention_primary,classification,random_forest,compact_no_noise,9,P22,0.33976340906035757
0,attention_primary,classification,random_forest,compact_no_noise,9,P24,0.36845230093650577
0,attention_primary,classification,random_forest,compact_no_noise,9,P30,0.28889396477336177
0,attention_primary,classification,random_forest,compact_no_noise,9,P43,0.3403108991344285
0,attention_primary,classification,random_forest,compact_no_noise,9,P48,0.3705583756345177
0,attention_primary,regression,dummy,full,18,P22,-0.9999999980679537
0,attention_primary,regression,dummy,full,18,P24,-0.9999999956919297
0,attention_primary,regression,dummy,full,18,P30,-0.9999999996841734
0,attention_primary,regression,dummy,full,18,P43,-1.0000000001889684
0,attention_primary,regression,dummy,full,18,P48,-1.0000000050941151
0,attention_primary,regression,ridge,full,18,P22,-1.0211342556458494
0,attention_primary,regression,ridge,full,18,P24,-1.012759945720396
0,attention_primary,regression,ridge,full,18,P30,-1.007675598516514
0,attention_primary,regression,ridge,full,18,P43,-0.9932350253411404
0,attention_primary,regression,ridge,full,18,P48,-1.001492310685968
0,attention_primary,regression,ridge,EEG,9,P22,-1.0097409147325684
0,attention_primary,regression,ridge,EEG,9,P24,-1.0065523131514909
0,attention_primary,regression,ridge,EEG,9,P30,-1.0006303378246317
0,attention_primary,regression,ridge,EEG,9,P43,-0.9987038300966178
0,attention_primary,regression,ridge,EEG,9,P48,-1.0031747164193394
0,attention_primary,regression,ridge,compact_no_noise,9,P22,-1.0154767030368217
0,attention_primary,regression,ridge,compact_no_noise,9,P24,-1.010641080394922
0,attention_primary,regression,ridge,compact_no_noise,9,P30,-1.010111812457639
0,attention_primary,regression,ridge,compact_no_noise,9,P43,-0.9935396027524552
0,attention_primary,regression,ridge,compact_no_noise,9,P48,-1.0000829821507473
0,attention_primary,regression,random_forest,full,18,P22,-1.0614492215906908
0,attention_primary,regression,random_forest,full,18,P24,-1.0348576752650487
0,attention_primary,regression,random_forest,full,18,P30,-1.1192831866317976
0,attention_primary,regression,random_forest,full,18,P43,-1.050734585277913
0,attention_primary,regression,random_forest,full,18,P48,-1.005492220396979
0,attention_primary,regression,random_forest,EEG,9,P22,-1.0072894196778204
0,attention_primary,regression,random_forest,EEG,9,P24,-1.0475207928194579
0,attention_primary,regression,random_forest,EEG,9,P30,-1.015764599228411
0,attention_primary,regression,random_forest,EEG,9,P43,-1.060685700387759
0,attention_primary,regression,random_forest,EEG,9,P48,-1.038566559589887
