task,kind,model,subset,n_participants,mean_score,sd_participants,mean_features,delta_full,low_full,high_full,positive_full,delta_dummy,low_dummy,high_dummy,positive_dummy
arousal_primary_6s,classification,dummy,full,25,0.3466666666666666,0.046147910349544866,25.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
arousal_primary_6s,classification,logistic,Eye_Pupil,25,0.3449123368315928,0.05562977026001875,16.0,-0.007104091916519433,-0.023057966046887104,0.007834082889067222,11,-0.0017543298350738245,-0.0317000912603122,0.028232019867173518,14
arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,25,0.34978582059911256,0.05780762101738377,15.0,-0.0022306081489997355,-0.020623187523426328,0.017058912583007412,12,0.0031191539324458774,-0.02877832012316797,0.03429616434182151,14
arousal_primary_6s,classification,logistic,Pupil,25,0.34517965598505784,0.05003110126166098,6.0,-0.006836772763054447,-0.022213248932317152,0.008869162136987593,9,-0.001487010681608838,-0.029646324820395642,0.025976307050315704,15
arousal_primary_6s,classification,logistic,Pupil_no_quality,25,0.3535773502873767,0.04360398659211428,5.0,0.0015609215392644636,-0.01486815485390308,0.01770944760194107,13,0.006910683620710072,-0.02210934500782866,0.032911465489775624,15
arousal_primary_6s,classification,logistic,full,25,0.3520164287481123,0.04548425501597466,25.0,0.0,0.0,0.0,0,0.005349762081445608,-0.015199349152788434,0.0270929614401096,13
arousal_primary_6s,classification,random_forest,Eye_Pupil,25,0.336808245416509,0.040204505322407665,16.0,-0.016969335233158512,-0.03479382844694871,0.0014643432398631618,10,-0.009858421250157701,-0.033891752058259804,0.012115556709861329,14
arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,25,0.33082826686671507,0.03852546060495942,15.0,-0.022949313782952334,-0.04198385869247539,-0.0035882519608583805,10,-0.01583839979995152,-0.03931347990253204,0.006010869037473867,11
arousal_primary_6s,classification,random_forest,Pupil,25,0.3388748143102957,0.03218758483423753,6.0,-0.014902766339371749,-0.031201082987373424,0.002741498976173777,6,-0.007791852356370936,-0.02419877927466101,0.008065843845275079,12
arousal_primary_6s,classification,random_forest,Pupil_no_quality,25,0.33862111895236197,0.02239408458638583,5.0,-0.015156461697305534,-0.0315239939052025,0.0017316922251422939,6,-0.008045547714304721,-0.02461572559267083,0.006369133676724246,13
arousal_primary_6s,classification,random_forest,full,25,0.3537775806496674,0.04556468399233785,25.0,0.0,0.0,0.0,0,0.007110913983000813,-0.011040859706470913,0.02713739337806557,16
