task,kind,model,subset,n_features,macro_score,balanced_accuracy,macro_f1,r2,mse
attention_primary,classification,dummy_prior,full,18,0.3333333333333333,0.3333333333333333,0.16658621614373828,,
attention_primary,classification,logistic,full,18,0.3372493846785012,0.33574304866993204,0.3325721274639189,,
attention_primary,classification,logistic,EEG,9,0.3392314006020145,0.3383257437438995,0.3349350439902403,,
attention_primary,classification,logistic,compact_no_noise,9,0.3376347072962216,0.3387343290565679,0.32980753124129025,,
attention_primary,classification,random_forest,full,18,0.3198424674773872,0.31985774278823476,0.3165135199612826,,
attention_primary,classification,random_forest,EEG,9,0.3264424331430369,0.3258601672634054,0.32473615466937833,,
attention_primary,classification,random_forest,compact_no_noise,9,0.3215114959693762,0.31983953439482754,0.3174191812100036,,
attention_primary,regression,dummy_mean,full,18,-1.0000000001937701,,,0.0,1.0000000003708867
attention_primary,regression,ridge,full,18,-0.9997877689080797,,,-0.00011025987180368624,1.0001102602427312
attention_primary,regression,ridge,EEG,9,-1.000245129849299,,,-0.00038295010317979106,1.0003829504742083
attention_primary,regression,ridge,compact_no_noise,9,-0.9997178273757286,,,0.00024000007627689168,0.9997600002945206
attention_primary,regression,random_forest,full,18,-1.0857702473847928,,,-0.08441038354304453,1.0844103839452377
attention_primary,regression,random_forest,EEG,9,-1.0448186555229682,,,-0.0430475221539508,1.0430475225408031
attention_primary,regression,random_forest,compact_no_noise,9,-1.0894905186483685,,,-0.08898129171692992,1.0889812921208184
arousal_primary_6s,classification,dummy_prior,full,25,0.3333333333333333,0.3333333333333333,0.16658621614373828,,
arousal_primary_6s,classification,logistic,full,25,0.36611548488860296,0.362571241721164,0.35566964506884086,,
arousal_primary_6s,classification,logistic,Pupil,6,0.3691421378489448,0.3712754642253899,0.3609169277767203,,
arousal_primary_6s,classification,logistic,Eye_Pupil,16,0.36865617333597844,0.37528845396318183,0.36688567873213224,,
arousal_primary_6s,classification,logistic,Pupil_no_quality,5,0.37261477005841914,0.37756875533464,0.36289884903860736,,
arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,15,0.36831509371607607,0.3787777540550923,0.3716253520764612,,
arousal_primary_6s,classification,random_forest,full,25,0.3332106454141537,0.324337740489266,0.3187443059447876,,
arousal_primary_6s,classification,random_forest,Pupil,6,0.3542155334693491,0.356349061960078,0.3503714940108424,,
arousal_primary_6s,classification,random_forest,Eye_Pupil,16,0.3509955983922262,0.35264695898205817,0.3443512372547463,,
arousal_primary_6s,classification,random_forest,Pupil_no_quality,5,0.34560738900648774,0.34579005104499433,0.34310280450394576,,
arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,15,0.3456662429237695,0.35035664748338496,0.3468787049044981,,
arousal_primary_6s,regression,dummy_mean,full,25,-0.9999999996369124,,,2.220446049250313e-16,0.9999999996210388
arousal_primary_6s,regression,ridge,full,25,-0.9939618957039973,,,0.005426844770062722,0.9945731548530329
arousal_primary_6s,regression,ridge,Pupil,6,-0.9972688170272006,,,0.002285935214153545,0.9977140644077517
arousal_primary_6s,regression,ridge,Eye_Pupil,16,-0.9936356439327338,,,0.005766272967978048,0.9942337266552462
arousal_primary_6s,regression,ridge,Pupil_no_quality,5,-0.997147289103721,,,0.0026807787109818237,0.9973192209110731
arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,15,-0.9938396474202861,,,0.005798397661389232,0.9942016019618471
arousal_primary_6s,regression,random_forest,full,25,-1.029975304647635,,,-0.035222096645609824,1.035222096253301
arousal_primary_6s,regression,random_forest,Pupil,6,-1.0390332960362554,,,-0.039519262129011024,1.0395192617350737
arousal_primary_6s,regression,random_forest,Eye_Pupil,16,-1.0225017390545588,,,-0.021444219541653986,1.0214442191545665
arousal_primary_6s,regression,random_forest,Pupil_no_quality,5,-1.0406000801548443,,,-0.04127398320868392,1.0412739828140816
arousal_primary_6s,regression,random_forest,Eye_Pupil_no_quality,15,-1.016728531859366,,,-0.014671665549645274,1.0146716651651242
