task,fold,inner,candidate_id,score,fit_participants,evaluation_participants
attention,1,1,1__logistic__early__,0.3545877120866346,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__logistic__late_mean__0.5,0.5",0.35363607240728545,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__logistic__late_geometric__0.5,0.5",0.3542154609674433,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__logistic__late_weighted__0.25,0.75",0.36033855451236324,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__logistic__late_weighted__0.5,0.5",0.35363607240728545,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__logistic__late_weighted__0.75,0.25",0.352542446203942,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__logistic__unimodal__1.0,0.0",0.35318211024515783,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__logistic__unimodal__0.0,1.0",0.35488887776731254,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,1__lda__early__,0.3538914358884269,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__lda__late_mean__0.5,0.5",0.3530597123452856,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__lda__late_geometric__0.5,0.5",0.35302624967874613,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__lda__late_weighted__0.25,0.75",0.36146921683445277,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__lda__late_weighted__0.5,0.5",0.3530597123452856,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__lda__late_weighted__0.75,0.25",0.35093541897987096,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__lda__unimodal__1.0,0.0",0.3533187419519103,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__lda__unimodal__0.0,1.0",0.36086248739579396,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,1__extra_trees__early__,0.3793382512929768,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__extra_trees__late_mean__0.5,0.5",0.36791166377238577,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__extra_trees__late_geometric__0.5,0.5",0.36787607377369974,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__extra_trees__late_weighted__0.25,0.75",0.3783209736888367,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__extra_trees__late_weighted__0.5,0.5",0.36791166377238577,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__extra_trees__late_weighted__0.75,0.25",0.35762730496748496,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__extra_trees__unimodal__1.0,0.0",0.34668976171816607,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"1__extra_trees__unimodal__0.0,1.0",0.3676726200922052,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,8__logistic__early__,0.3476205035489849,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__logistic__late_mean__0.5,0.5",0.34034686524533303,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__logistic__late_geometric__0.5,0.5",0.34123796119109573,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__logistic__late_weighted__0.25,0.75",0.32792611991092563,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__logistic__late_weighted__0.5,0.5",0.34034686524533303,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__logistic__late_weighted__0.75,0.25",0.3482000518465318,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__logistic__unimodal__1.0,0.0",0.34905781516281964,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__logistic__unimodal__0.0,1.0",0.336428676499141,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,8__lda__early__,0.34404137960398035,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__lda__late_mean__0.5,0.5",0.3392975105540899,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__lda__late_geometric__0.5,0.5",0.3401939202349738,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__lda__late_weighted__0.25,0.75",0.3276211605603187,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__lda__late_weighted__0.5,0.5",0.3392975105540899,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__lda__late_weighted__0.75,0.25",0.34604694293059557,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__lda__unimodal__1.0,0.0",0.34709063737213713,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__lda__unimodal__0.0,1.0",0.3382338059033333,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,8__extra_trees__early__,0.37522905711736015,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__extra_trees__late_mean__0.5,0.5",0.37292434773267,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__extra_trees__late_geometric__0.5,0.5",0.3734522799862684,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__extra_trees__late_weighted__0.25,0.75",0.3709647014581333,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__extra_trees__late_weighted__0.5,0.5",0.37292434773267,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__extra_trees__late_weighted__0.75,0.25",0.3454549340470627,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__extra_trees__unimodal__1.0,0.0",0.3457293722660003,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,1,"8__extra_trees__unimodal__0.0,1.0",0.3656904183587697,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44
attention,1,2,1__logistic__early__,0.33518240807461674,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__logistic__late_mean__0.5,0.5",0.33162182894976405,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__logistic__late_geometric__0.5,0.5",0.33155983927948113,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__logistic__late_weighted__0.25,0.75",0.3153856067760045,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__logistic__late_weighted__0.5,0.5",0.33162182894976405,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__logistic__late_weighted__0.75,0.25",0.34665893154794786,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__logistic__unimodal__1.0,0.0",0.34964220391929135,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__logistic__unimodal__0.0,1.0",0.31481427447460203,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,1__lda__early__,0.3366082861824076,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__lda__late_mean__0.5,0.5",0.33246264257108693,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__lda__late_geometric__0.5,0.5",0.3319322319338432,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__lda__late_weighted__0.25,0.75",0.31837993722554875,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__lda__late_weighted__0.5,0.5",0.33246264257108693,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__lda__late_weighted__0.75,0.25",0.34806805765250826,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__lda__unimodal__1.0,0.0",0.35194989018060124,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__lda__unimodal__0.0,1.0",0.3150182271964938,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,1__extra_trees__early__,0.34478668432159104,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__extra_trees__late_mean__0.5,0.5",0.35094635563245796,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__extra_trees__late_geometric__0.5,0.5",0.3523856570043552,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__extra_trees__late_weighted__0.25,0.75",0.3411809115883376,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__extra_trees__late_weighted__0.5,0.5",0.35094635563245796,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__extra_trees__late_weighted__0.75,0.25",0.35936100375780056,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__extra_trees__unimodal__1.0,0.0",0.3484379900931002,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"1__extra_trees__unimodal__0.0,1.0",0.3416287438936945,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,8__logistic__early__,0.33465298769806273,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
attention,1,2,"8__logistic__late_mean__0.5,0.5",0.3308688638888376,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9
