task,fold,scope,inner_score,candidate_id,context,estimator,strategy,weights,modality
attention,1,early,0.36284752359302735,1__extra_trees__early__,1,extra_trees,early,,
attention,1,late_mean,0.3603926071748371,"1__extra_trees__late_mean__0.5,0.5",1,extra_trees,late_mean,"[0.5, 0.5]",
attention,1,late_geometric,0.36188933238260573,"1__extra_trees__late_geometric__0.5,0.5",1,extra_trees,late_geometric,"[0.5, 0.5]",
attention,1,late_weighted,0.3603926071748371,"1__extra_trees__late_weighted__0.5,0.5",1,extra_trees,late_weighted,"[0.5, 0.5]",
attention,1,unimodal,0.3578133564435091,"1__extra_trees__unimodal__0.0,1.0",1,extra_trees,unimodal,"[0.0, 1.0]",GSR
attention,1,fixed_logistic,,fixed_logistic,1,logistic_reference,early,,
attention,2,early,0.34017460504873087,1__extra_trees__early__,1,extra_trees,early,,
attention,2,late_mean,0.34143008794675195,"1__extra_trees__late_mean__0.5,0.5",1,extra_trees,late_mean,"[0.5, 0.5]",
attention,2,late_geometric,0.34147596717605383,"1__extra_trees__late_geometric__0.5,0.5",1,extra_trees,late_geometric,"[0.5, 0.5]",
attention,2,late_weighted,0.3456322462280046,"1__extra_trees__late_weighted__0.25,0.75",1,extra_trees,late_weighted,"[0.25, 0.75]",
attention,2,unimodal,0.34560897363203386,"1__extra_trees__unimodal__0.0,1.0",1,extra_trees,unimodal,"[0.0, 1.0]",GSR
attention,2,fixed_logistic,,fixed_logistic,1,logistic_reference,early,,
attention,3,early,0.34389205714585563,1__extra_trees__early__,1,extra_trees,early,,
attention,3,late_mean,0.3472688320236815,"1__extra_trees__late_mean__0.5,0.5",1,extra_trees,late_mean,"[0.5, 0.5]",
attention,3,late_geometric,0.34651568488756607,"1__extra_trees__late_geometric__0.5,0.5",1,extra_trees,late_geometric,"[0.5, 0.5]",
attention,3,late_weighted,0.3565081652357443,"1__extra_trees__late_weighted__0.25,0.75",1,extra_trees,late_weighted,"[0.25, 0.75]",
attention,3,unimodal,0.3622495928497753,"1__extra_trees__unimodal__0.0,1.0",1,extra_trees,unimodal,"[0.0, 1.0]",GSR
attention,3,fixed_logistic,,fixed_logistic,1,logistic_reference,early,,
attention,4,early,0.340189476550026,1__logistic__early__,1,logistic,early,,
attention,4,late_mean,0.34249420696286553,"1__extra_trees__late_mean__0.5,0.5",1,extra_trees,late_mean,"[0.5, 0.5]",
attention,4,late_geometric,0.3422861051434265,"1__extra_trees__late_geometric__0.5,0.5",1,extra_trees,late_geometric,"[0.5, 0.5]",
attention,4,late_weighted,0.34249420696286553,"1__extra_trees__late_weighted__0.5,0.5",1,extra_trees,late_weighted,"[0.5, 0.5]",
