task,scope,reference,participant,delta
arousal,late_weighted,early,P12,-0.02579248708280968
arousal,late_weighted,early,P13,0.04051565377532229
arousal,late_weighted,early,P18,-0.02123142250530785
arousal,late_weighted,early,P19,0.04398584905660374
arousal,late_weighted,early,P2,0.006476852858074367
arousal,late_weighted,early,P20,-0.010262725779967174
arousal,late_weighted,early,P21,-0.010665504213891341
arousal,late_weighted,early,P22,0.028789711878836777
arousal,late_weighted,early,P24,-0.017385849352511584
arousal,late_weighted,early,P26,0.03619047619047622
arousal,late_weighted,early,P27,0.006535400083787224
arousal,late_weighted,early,P3,-0.01449275362318847
arousal,late_weighted,early,P30,-0.0064717527029085065
arousal,late_weighted,early,P33,0.03886022245155374
arousal,late_weighted,early,P34,-0.024179236912156177
arousal,late_weighted,early,P35,-0.0018518518518518823
arousal,late_weighted,early,P36,-0.015686274509803866
arousal,late_weighted,early,P4,0.065359477124183
arousal,late_weighted,early,P40,-0.04497715165745164
arousal,late_weighted,early,P43,0.010327069150598611
arousal,late_weighted,early,P44,0.014511899757801427
arousal,late_weighted,early,P46,-0.03316326530612246
arousal,late_weighted,early,P48,0.02368866328257191
arousal,late_weighted,early,P8,-0.011164274322169043
arousal,late_weighted,early,P9,0.0004013301226923893
arousal,late_weighted,fixed_logistic,P12,0.026239352045803632
arousal,late_weighted,fixed_logistic,P13,0.032934315531000624
arousal,late_weighted,fixed_logistic,P18,-0.02972399150743099
arousal,late_weighted,fixed_logistic,P19,0.008438155136268388
arousal,late_weighted,fixed_logistic,P2,0.03741215677751214
arousal,late_weighted,fixed_logistic,P20,-0.03320147285664532
arousal,late_weighted,fixed_logistic,P21,-0.021640995834544263
arousal,late_weighted,fixed_logistic,P22,0.07513330644799926
arousal,late_weighted,fixed_logistic,P24,0.06169063942286146
arousal,late_weighted,fixed_logistic,P26,0.059047619047619015
arousal,late_weighted,fixed_logistic,P27,0.03887725178047757
arousal,late_weighted,fixed_logistic,P3,0.028985507246376774
arousal,late_weighted,fixed_logistic,P30,-0.03517587939698491
arousal,late_weighted,fixed_logistic,P33,0.06204563696823756
arousal,late_weighted,fixed_logistic,P34,-0.03637976929902398
arousal,late_weighted,fixed_logistic,P35,-0.05740740740740741
arousal,late_weighted,fixed_logistic,P36,-0.04913563058359438
arousal,late_weighted,fixed_logistic,P4,-0.04357298474945537
arousal,late_weighted,fixed_logistic,P40,-0.04899139084551496
arousal,late_weighted,fixed_logistic,P43,0.04956993192287312
arousal,late_weighted,fixed_logistic,P44,0.03488860865910043
arousal,late_weighted,fixed_logistic,P46,-0.010204081632653073
arousal,late_weighted,fixed_logistic,P48,0.013536379018612488
arousal,late_weighted,fixed_logistic,P8,-0.03333333333333327
arousal,late_weighted,fixed_logistic,P9,-0.03110881779612429
arousal,late_weighted,previous_pupil_logistic,P12,0.008560256947353795
arousal,late_weighted,previous_pupil_logistic,P13,-0.02254962144464906
arousal,late_weighted,previous_pupil_logistic,P18,-0.01698513800424628
arousal,late_weighted,previous_pupil_logistic,P19,0.04230870020964361
arousal,late_weighted,previous_pupil_logistic,P2,0.02655944359921758
arousal,late_weighted,previous_pupil_logistic,P20,-0.04190302035129623
arousal,late_weighted,previous_pupil_logistic,P21,-0.04145112854790284
arousal,late_weighted,previous_pupil_logistic,P22,0.040742483308688515
arousal,late_weighted,previous_pupil_logistic,P24,0.005153022359636106
arousal,late_weighted,previous_pupil_logistic,P26,0.019047619047619146
arousal,late_weighted,previous_pupil_logistic,P27,0.07356514453288648
arousal,late_weighted,previous_pupil_logistic,P3,0.07039337474120078
arousal,late_weighted,previous_pupil_logistic,P30,-0.01694499433192903
arousal,late_weighted,previous_pupil_logistic,P33,0.044903107441807144
arousal,late_weighted,previous_pupil_logistic,P34,0.06668145519077201
arousal,late_weighted,previous_pupil_logistic,P35,-0.046296296296296224
arousal,late_weighted,previous_pupil_logistic,P36,-0.08049657732915644
arousal,late_weighted,previous_pupil_logistic,P4,-0.039215686274509776
arousal,late_weighted,previous_pupil_logistic,P40,-0.08028478376126641
arousal,late_weighted,previous_pupil_logistic,P43,0.054502466267172145
arousal,late_weighted,previous_pupil_logistic,P44,0.07370043435617202
arousal,late_weighted,previous_pupil_logistic,P46,0.08163265306122452
arousal,late_weighted,previous_pupil_logistic,P48,0.030456852791878153
arousal,late_weighted,previous_pupil_logistic,P8,-0.018964076858813683
arousal,late_weighted,previous_pupil_logistic,P9,-0.009815388143561588
arousal,late_mean,early,P12,0.006549364613880726
arousal,late_mean,early,P13,0.038704726826273794
arousal,late_mean,early,P18,-0.014861995753715496
arousal,late_mean,early,P19,0.029402515723270406
arousal,late_mean,early,P2,0.00023183365934942302
arousal,late_mean,early,P20,0.0012812857640443487
arousal,late_mean,early,P21,-0.02503148309599923
arousal,late_mean,early,P22,0.013420262580095932
arousal,late_mean,early,P24,0.01935744051619842
arousal,late_mean,early,P26,0.02857142857142858
arousal,late_mean,early,P27,0.025904203323558195
arousal,late_mean,early,P3,-0.0020703933747411307
arousal,late_mean,early,P30,-0.01999052501565063
arousal,late_mean,early,P33,0.009620456369682395
arousal,late_mean,early,P34,-0.03367346938775512
arousal,late_mean,early,P35,0.005555555555555536
arousal,late_mean,early,P36,0.0
