model_id,task,fold,scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
attention__fold1__early__20260910,attention,1,early,20260910,0.34510537939471675,2886,5,0.3444213444213444,0.31431727611129184
attention__fold1__early__20260911,attention,1,early,20260911,0.3395824293434591,2886,5,0.3392238392238392,0.30909737354700934
attention__fold1__late_mean__20260910,attention,1,late_mean,20260910,0.3318837278347407,2886,5,0.33125433125433124,0.3193218193218193
attention__fold1__late_mean__20260911,attention,1,late_mean,20260911,0.3358600203469219,2886,5,0.3347193347193347,0.32250273529642365
attention__fold1__late_geometric__20260910,attention,1,late_geometric,20260910,0.3322354560033046,2886,5,0.33160083160083165,0.3203009456302745
attention__fold1__late_geometric__20260911,attention,1,late_geometric,20260911,0.3369639264893565,2886,5,0.3361053361053361,0.32508127491220534
attention__fold1__late_weighted__20260910,attention,1,late_weighted,20260910,0.3318837278347407,2886,5,0.33125433125433124,0.3193218193218193
attention__fold1__late_weighted__20260911,attention,1,late_weighted,20260911,0.3358600203469219,2886,5,0.3347193347193347,0.32250273529642365
attention__fold1__unimodal__20260910,attention,1,unimodal,20260910,0.35677530111935,2886,5,0.35550935550935553,0.29992601426897864
attention__fold1__unimodal__20260911,attention,1,unimodal,20260911,0.35360384042108867,2886,5,0.3516978516978517,0.29375356816820436
attention__fold1__fixed_logistic__20260910,attention,1,fixed_logistic,20260910,0.31813718797285956,2886,5,0.3187803187803188,0.29743364445295317
attention__fold1__fixed_logistic__20260911,attention,1,fixed_logistic,20260911,0.31813718797285956,2886,5,0.3187803187803188,0.29743364445295317
attention__fold2__early__20260910,attention,2,early,20260910,0.3565994540596741,2612,5,0.35663995219515626,0.3203838602233482
attention__fold2__early__20260911,attention,2,early,20260911,0.3454619586920141,2612,5,0.34477046644873277,0.30624032421867325
attention__fold2__late_mean__20260910,attention,2,late_mean,20260910,0.3587318226677333,2612,5,0.3600855917606946,0.32336942278441644
attention__fold2__late_mean__20260911,attention,2,late_mean,20260911,0.3519615286232561,2612,5,0.3531995852226792,0.3126351952418974
attention__fold2__late_geometric__20260910,attention,2,late_geometric,20260910,0.3594400958760065,2612,5,0.360848360223558,0.3252149656249512
attention__fold2__late_geometric__20260911,attention,2,late_geometric,20260911,0.35237819528992276,2612,5,0.3535818482196211,0.31343309648529794
attention__fold2__late_weighted__20260910,attention,2,late_weighted,20260910,0.36485235217361767,2612,5,0.3658590811627825,0.31881197232711894
attention__fold2__late_weighted__20260911,attention,2,late_weighted,20260911,0.36698486001595665,2612,5,0.3685322858448452,0.32469127100927825
attention__fold2__unimodal__20260910,attention,2,unimodal,20260910,0.3648925388872931,2612,5,0.3662668283595205,0.30528753584232765
attention__fold2__unimodal__20260911,attention,2,unimodal,20260911,0.3663869488884239,2612,5,0.36854107349994725,0.3201461449970877
attention__fold2__fixed_logistic__20260910,attention,2,fixed_logistic,20260910,0.3487206193182618,2612,5,0.34699374318956727,0.3325809547705891
attention__fold2__fixed_logistic__20260911,attention,2,fixed_logistic,20260911,0.3487206193182618,2612,5,0.34699374318956727,0.3325809547705891
attention__fold3__early__20260910,attention,3,early,20260910,0.34496346396578426,2659,5,0.34042769779687027,0.3209903813884169
attention__fold3__early__20260911,attention,3,early,20260911,0.3389813706491366,2659,5,0.3344106791265525,0.315680286831806
attention__fold3__late_mean__20260910,attention,3,late_mean,20260910,0.34610571600593076,2659,5,0.3396595587293427,0.32912462815133897
attention__fold3__late_mean__20260911,attention,3,late_mean,20260911,0.33760895706954963,2659,5,0.3317542158576818,0.3238809622536704
attention__fold3__late_geometric__20260910,attention,3,late_geometric,20260910,0.3449925434641868,2659,5,0.33853046640589807,0.328270025325577
attention__fold3__late_geometric__20260911,attention,3,late_geometric,20260911,0.3365017360557908,2659,5,0.3306255476861242,0.32293670219193266
attention__fold3__late_weighted__20260910,attention,3,late_weighted,20260910,0.3400590629368894,2659,5,0.3355626756519002,0.3001353575984594
attention__fold3__late_weighted__20260911,attention,3,late_weighted,20260911,0.34220287907982155,2659,5,0.33780516667896704,0.31325559397318037
attention__fold3__unimodal__20260910,attention,3,unimodal,20260910,0.34163581715527325,2659,5,0.3378251018176605,0.2974524221393697
attention__fold3__unimodal__20260911,attention,3,unimodal,20260911,0.33936017027659054,2659,5,0.33517669743464457,0.30778246706680834
attention__fold3__fixed_logistic__20260910,attention,3,fixed_logistic,20260910,0.3460181651975942,2659,5,0.3429921201062416,0.3423507529959542
attention__fold3__fixed_logistic__20260911,attention,3,fixed_logistic,20260911,0.3460181651975942,2659,5,0.3429921201062416,0.3423507529959542
attention__fold4__early__20260910,attention,4,early,20260910,0.3293718568768814,2660,5,0.32927038240685835,0.3175665923915169
attention__fold4__early__20260911,attention,4,early,20260911,0.3293718568768814,2660,5,0.32927038240685835,0.3175665923915169
attention__fold4__late_mean__20260910,attention,4,late_mean,20260910,0.34224706036538516,2660,5,0.34730828970931177,0.3368379881154422
attention__fold4__late_mean__20260911,attention,4,late_mean,20260911,0.3459238903794722,2660,5,0.3499405763206181,0.3394369531846461
attention__fold4__late_geometric__20260910,attention,4,late_geometric,20260910,0.340327604470943,2660,5,0.34542887269759753,0.33509231131741646
attention__fold4__late_geometric__20260911,attention,4,late_geometric,20260911,0.3460758011868757,2660,5,0.3499414246243923,0.33981642166236453
attention__fold4__late_weighted__20260910,attention,4,late_weighted,20260910,0.34224706036538516,2660,5,0.34730828970931177,0.3368379881154422
attention__fold4__late_weighted__20260911,attention,4,late_weighted,20260911,0.3459238903794722,2660,5,0.3499405763206181,0.3394369531846461
attention__fold4__unimodal__20260910,attention,4,unimodal,20260910,0.3261201786001151,2660,5,0.32740368995175695,0.32249088115333
attention__fold4__unimodal__20260911,attention,4,unimodal,20260911,0.3261201786001151,2660,5,0.32740368995175695,0.32249088115333
attention__fold4__fixed_logistic__20260910,attention,4,fixed_logistic,20260910,0.32706968801929837,2660,5,0.3270155909750658,0.31559695743376004
attention__fold4__fixed_logistic__20260911,attention,4,fixed_logistic,20260911,0.32706968801929837,2660,5,0.3270155909750658,0.31559695743376004
attention__fold5__early__20260910,attention,5,early,20260910,0.32047225464270046,2707,5,0.3205732197808186,0.3008058096505846
attention__fold5__early__20260911,attention,5,early,20260911,0.3393316213189869,2707,5,0.3393485520579447,0.3049517970622159
attention__fold5__late_mean__20260910,attention,5,late_mean,20260910,0.33102077677822184,2707,5,0.33129138740474984,0.30770239396524374
attention__fold5__late_mean__20260911,attention,5,late_mean,20260911,0.34436255220922996,2707,5,0.34457960454914743,0.3149865421901344
attention__fold5__late_geometric__20260910,attention,5,late_geometric,20260910,0.33139726490548915,2707,5,0.33166134670922637,0.30770316437585427
attention__fold5__late_geometric__20260911,attention,5,late_geometric,20260911,0.3451159440687671,2707,5,0.34531870375764756,0.3159106792055212
attention__fold5__late_weighted__20260910,attention,5,late_weighted,20260910,0.3355779125315808,2707,5,0.3356342098050278,0.30296120912405716
attention__fold5__late_weighted__20260911,attention,5,late_weighted,20260911,0.3388719271810922,2707,5,0.3389720375498451,0.3039879175938504
attention__fold5__unimodal__20260910,attention,5,unimodal,20260910,0.3356551796978279,2707,5,0.3355875039792134,0.2883583020037153
attention__fold5__unimodal__20260911,attention,5,unimodal,20260911,0.33941279321931705,2707,5,0.33929201342669585,0.2944059040740174
attention__fold5__fixed_logistic__20260910,attention,5,fixed_logistic,20260910,0.32760072546741253,2707,5,0.3276376807853461,0.3244520144922605
attention__fold5__fixed_logistic__20260911,attention,5,fixed_logistic,20260911,0.32760072546741253,2707,5,0.3276376807853461,0.3244520144922605
arousal__fold1__early__20260910,arousal,1,early,20260910,0.3660033564869629,2886,5,0.3659043659043659,0.363584814164896
