model_id,task,fold,scope,seed,participant,score
attention__fold1__early__20260910,attention,1,early,20260910,P22,0.37190258547295785
attention__fold1__early__20260910,attention,1,early,20260910,P24,0.3606107451718421
attention__fold1__early__20260910,attention,1,early,20260910,P30,0.2306058914099115
attention__fold1__early__20260910,attention,1,early,20260910,P43,0.3647765412471295
attention__fold1__early__20260910,attention,1,early,20260910,P48,0.3976311336717428
attention__fold1__early__20260911,attention,1,early,20260911,P22,0.3603754984989022
attention__fold1__early__20260911,attention,1,early,20260911,P24,0.3586055473405924
attention__fold1__early__20260911,attention,1,early,20260911,P30,0.2272473478503629
attention__fold1__early__20260911,attention,1,early,20260911,P43,0.369281045751634
attention__fold1__early__20260911,attention,1,early,20260911,P48,0.3824027072758038
attention__fold1__late_mean__20260910,attention,1,late_mean,20260910,P22,0.329726217681588
attention__fold1__late_mean__20260910,attention,1,late_mean,20260910,P24,0.37228346103867005
attention__fold1__late_mean__20260910,attention,1,late_mean,20260910,P30,0.25063871546283606
attention__fold1__late_mean__20260910,attention,1,late_mean,20260910,P43,0.3480562009973775
attention__fold1__late_mean__20260910,attention,1,late_mean,20260910,P48,0.35871404399323176
attention__fold1__late_mean__20260911,attention,1,late_mean,20260911,P22,0.3489268270824932
attention__fold1__late_mean__20260911,attention,1,late_mean,20260911,P24,0.37618183447596
attention__fold1__late_mean__20260911,attention,1,late_mean,20260911,P30,0.25569768032079593
attention__fold1__late_mean__20260911,attention,1,late_mean,20260911,P43,0.3465479053714348
attention__fold1__late_mean__20260911,attention,1,late_mean,20260911,P48,0.35194585448392557
attention__fold1__late_geometric__20260910,attention,1,late_geometric,20260910,P22,0.33745575122104227
attention__fold1__late_geometric__20260910,attention,1,late_geometric,20260910,P24,0.3665031142178608
attention__fold1__late_geometric__20260910,attention,1,late_geometric,20260910,P30,0.25063871546283606
attention__fold1__late_geometric__20260910,attention,1,late_geometric,20260910,P43,0.34955770249887896
attention__fold1__late_geometric__20260910,attention,1,late_geometric,20260910,P48,0.3570219966159052
attention__fold1__late_geometric__20260911,attention,1,late_geometric,20260911,P22,0.3470000448088901
attention__fold1__late_geometric__20260911,attention,1,late_geometric,20260911,P24,0.37425505220235694
attention__fold1__late_geometric__20260911,attention,1,late_geometric,20260911,P30,0.25737272219684276
attention__fold1__late_geometric__20260911,attention,1,late_geometric,20260911,P43,0.3525539113774408
attention__fold1__late_geometric__20260911,attention,1,late_geometric,20260911,P48,0.3536379018612521
attention__fold1__late_weighted__20260910,attention,1,late_weighted,20260910,P22,0.329726217681588
attention__fold1__late_weighted__20260910,attention,1,late_weighted,20260910,P24,0.37228346103867005
attention__fold1__late_weighted__20260910,attention,1,late_weighted,20260910,P30,0.25063871546283606
attention__fold1__late_weighted__20260910,attention,1,late_weighted,20260910,P43,0.3480562009973775
attention__fold1__late_weighted__20260910,attention,1,late_weighted,20260910,P48,0.35871404399323176
attention__fold1__late_weighted__20260911,attention,1,late_weighted,20260911,P22,0.3489268270824932
attention__fold1__late_weighted__20260911,attention,1,late_weighted,20260911,P24,0.37618183447596
attention__fold1__late_weighted__20260911,attention,1,late_weighted,20260911,P30,0.25569768032079593
attention__fold1__late_weighted__20260911,attention,1,late_weighted,20260911,P43,0.3465479053714348
attention__fold1__late_weighted__20260911,attention,1,late_weighted,20260911,P48,0.35194585448392557
attention__fold1__unimodal__20260910,attention,1,unimodal,20260910,P22,0.3699982076443966
attention__fold1__unimodal__20260910,attention,1,unimodal,20260910,P24,0.4066182730653762
attention__fold1__unimodal__20260910,attention,1,unimodal,20260910,P30,0.23228939309341315
attention__fold1__unimodal__20260910,attention,1,unimodal,20260910,P43,0.3739554033671681
attention__fold1__unimodal__20260910,attention,1,unimodal,20260910,P48,0.4010152284263959
attention__fold1__unimodal__20260911,attention,1,unimodal,20260911,P22,0.3873504503293454
attention__fold1__unimodal__20260911,attention,1,unimodal,20260911,P24,0.39891114397096383
attention__fold1__unimodal__20260911,attention,1,unimodal,20260911,P30,0.2255807657817708
attention__fold1__unimodal__20260911,attention,1,unimodal,20260911,P43,0.3619298031062737
attention__fold1__unimodal__20260911,attention,1,unimodal,20260911,P48,0.3942470389170896
attention__fold1__fixed_logistic__20260910,attention,1,fixed_logistic,20260910,P22,0.31239637944168125
attention__fold1__fixed_logistic__20260910,attention,1,fixed_logistic,20260910,P24,0.3356185867276067
attention__fold1__fixed_logistic__20260910,attention,1,fixed_logistic,20260910,P30,0.30132142192443695
attention__fold1__fixed_logistic__20260910,attention,1,fixed_logistic,20260910,P43,0.35708559237971
attention__fold1__fixed_logistic__20260910,attention,1,fixed_logistic,20260910,P48,0.2842639593908629
attention__fold1__fixed_logistic__20260911,attention,1,fixed_logistic,20260911,P22,0.31239637944168125
attention__fold1__fixed_logistic__20260911,attention,1,fixed_logistic,20260911,P24,0.3356185867276067
attention__fold1__fixed_logistic__20260911,attention,1,fixed_logistic,20260911,P30,0.30132142192443695
attention__fold1__fixed_logistic__20260911,attention,1,fixed_logistic,20260911,P43,0.35708559237971
attention__fold1__fixed_logistic__20260911,attention,1,fixed_logistic,20260911,P48,0.2842639593908629
attention__fold2__early__20260910,attention,2,early,20260910,P12,0.3851417399804496
attention__fold2__early__20260910,attention,2,early,20260910,P19,0.36239517819706496
attention__fold2__early__20260910,attention,2,early,20260910,P2,0.36433384046946315
attention__fold2__early__20260910,attention,2,early,20260910,P35,0.35000000000000003
attention__fold2__early__20260910,attention,2,early,20260910,P40,0.3211265116513924
attention__fold2__early__20260911,attention,2,early,20260911,P12,0.3634408602150538
attention__fold2__early__20260911,attention,2,early,20260911,P19,0.366627358490566
attention__fold2__early__20260911,attention,2,early,20260911,P2,0.3394769253060929
attention__fold2__early__20260911,attention,2,early,20260911,P35,0.34074074074074073
attention__fold2__early__20260911,attention,2,early,20260911,P40,0.31702390870761693
attention__fold2__late_mean__20260910,attention,2,late_mean,20260910,P12,0.39814271749755625
attention__fold2__late_mean__20260910,attention,2,late_mean,20260910,P19,0.34563679245283024
attention__fold2__late_mean__20260910,attention,2,late_mean,20260910,P2,0.3908715496631167
attention__fold2__late_mean__20260910,attention,2,late_mean,20260910,P35,0.3499999999999999
attention__fold2__late_mean__20260910,attention,2,late_mean,20260910,P40,0.30900805372516343
attention__fold2__late_mean__20260911,attention,2,late_mean,20260911,P12,0.40034911325233913
attention__fold2__late_mean__20260911,attention,2,late_mean,20260911,P19,0.3330843815513627
attention__fold2__late_mean__20260911,attention,2,late_mean,20260911,P2,0.38152575527059335
attention__fold2__late_mean__20260911,attention,2,late_mean,20260911,P35,0.34814814814814815
attention__fold2__late_mean__20260911,attention,2,late_mean,20260911,P40,0.29670024489383723
attention__fold2__late_geometric__20260910,attention,2,late_geometric,20260910,P12,0.3938137131685519
attention__fold2__late_geometric__20260910,attention,2,late_geometric,20260910,P19,0.3498034591194969
attention__fold2__late_geometric__20260910,attention,2,late_geometric,20260910,P2,0.3908715496631167
attention__fold2__late_geometric__20260910,attention,2,late_geometric,20260910,P35,0.3537037037037037
attention__fold2__late_geometric__20260910,attention,2,late_geometric,20260910,P40,0.30900805372516343
attention__fold2__late_geometric__20260911,attention,2,late_geometric,20260911,P12,0.4003491132523391
attention__fold2__late_geometric__20260911,attention,2,late_geometric,20260911,P19,0.33516771488469604
attention__fold2__late_geometric__20260911,attention,2,late_geometric,20260911,P2,0.38152575527059335
attention__fold2__late_geometric__20260911,attention,2,late_geometric,20260911,P35,0.34814814814814815
attention__fold2__late_geometric__20260911,attention,2,late_geometric,20260911,P40,0.29670024489383723
attention__fold2__late_weighted__20260910,attention,2,late_weighted,20260910,P12,0.4132523390587907
attention__fold2__late_weighted__20260910,attention,2,late_weighted,20260910,P19,0.3646095387840671
attention__fold2__late_weighted__20260910,attention,2,late_weighted,20260910,P2,0.3909150184742447
attention__fold2__late_weighted__20260910,attention,2,late_weighted,20260910,P35,0.36296296296296293
attention__fold2__late_weighted__20260910,attention,2,late_weighted,20260910,P40,0.2925219015880229
attention__fold2__late_weighted__20260911,attention,2,late_weighted,20260911,P12,0.40459433040078197
attention__fold2__late_weighted__20260911,attention,2,late_weighted,20260911,P19,0.38342505241090147
attention__fold2__late_weighted__20260911,attention,2,late_weighted,20260911,P2,0.406440628848801
attention__fold2__late_weighted__20260911,attention,2,late_weighted,20260911,P35,0.35000000000000003
attention__fold2__late_weighted__20260911,attention,2,late_weighted,20260911,P40,0.29046428841929867
attention__fold2__unimodal__20260910,attention,2,unimodal,20260910,P12,0.4068705488060327
attention__fold2__unimodal__20260910,attention,2,unimodal,20260910,P19,0.3647143605870021
attention__fold2__unimodal__20260910,attention,2,unimodal,20260910,P2,0.39247989567485325
attention__fold2__unimodal__20260910,attention,2,unimodal,20260910,P35,0.37407407407407406
attention__fold2__unimodal__20260910,attention,2,unimodal,20260910,P40,0.2863238152945038
attention__fold2__unimodal__20260911,attention,2,unimodal,20260911,P12,0.41530512498254435
attention__fold2__unimodal__20260911,attention,2,unimodal,20260911,P19,0.35632861635220126
attention__fold2__unimodal__20260911,attention,2,unimodal,20260911,P2,0.409548648844454
attention__fold2__unimodal__20260911,attention,2,unimodal,20260911,P35,0.3685185185185185
attention__fold2__unimodal__20260911,attention,2,unimodal,20260911,P40,0.2822338357444015
attention__fold2__fixed_logistic__20260910,attention,2,fixed_logistic,20260910,P12,0.3547409579667644
attention__fold2__fixed_logistic__20260910,attention,2,fixed_logistic,20260910,P19,0.3769523060796646
attention__fold2__fixed_logistic__20260910,attention,2,fixed_logistic,20260910,P2,0.3378685792943563
attention__fold2__fixed_logistic__20260910,attention,2,fixed_logistic,20260910,P35,0.3074074074074074
attention__fold2__fixed_logistic__20260910,attention,2,fixed_logistic,20260910,P40,0.3666338458431164
attention__fold2__fixed_logistic__20260911,attention,2,fixed_logistic,20260911,P12,0.3547409579667644
attention__fold2__fixed_logistic__20260911,attention,2,fixed_logistic,20260911,P19,0.3769523060796646
attention__fold2__fixed_logistic__20260911,attention,2,fixed_logistic,20260911,P2,0.3378685792943563
attention__fold2__fixed_logistic__20260911,attention,2,fixed_logistic,20260911,P35,0.3074074074074074
attention__fold2__fixed_logistic__20260911,attention,2,fixed_logistic,20260911,P40,0.3666338458431164
attention__fold3__early__20260910,attention,3,early,20260910,P18,0.33121019108280253
attention__fold3__early__20260910,attention,3,early,20260910,P27,0.4433459014104176
attention__fold3__early__20260910,attention,3,early,20260910,P36,0.3256526279150713
attention__fold3__early__20260910,attention,3,early,20260910,P46,0.35204081632653067
attention__fold3__early__20260910,attention,3,early,20260910,P8,0.27256778309409885
attention__fold3__early__20260911,attention,3,early,20260911,P18,0.3333333333333333
attention__fold3__early__20260911,attention,3,early,20260911,P27,0.4325932132383745
attention__fold3__early__20260911,attention,3,early,20260911,P36,0.31388792203271837
attention__fold3__early__20260911,attention,3,early,20260911,P46,0.35204081632653056
attention__fold3__early__20260911,attention,3,early,20260911,P8,0.26305156831472626
attention__fold3__late_mean__20260910,attention,3,late_mean,20260910,P18,0.35668789808917195
attention__fold3__late_mean__20260910,attention,3,late_mean,20260910,P27,0.4497695852534562
attention__fold3__late_mean__20260910,attention,3,late_mean,20260910,P36,0.3315117763081564
attention__fold3__late_mean__20260910,attention,3,late_mean,20260910,P46,0.35034013605442177
attention__fold3__late_mean__20260910,attention,3,late_mean,20260910,P8,0.24221918432444747
attention__fold3__late_mean__20260911,attention,3,late_mean,20260911,P18,0.33121019108280253
attention__fold3__late_mean__20260911,attention,3,late_mean,20260911,P27,0.44118139924591543
attention__fold3__late_mean__20260911,attention,3,late_mean,20260911,P36,0.32763661677688827
attention__fold3__late_mean__20260911,attention,3,late_mean,20260911,P46,0.3537414965986394
attention__fold3__late_mean__20260911,attention,3,late_mean,20260911,P8,0.23427508164350272
attention__fold3__late_geometric__20260910,attention,3,late_geometric,20260910,P18,0.35668789808917195
attention__fold3__late_geometric__20260910,attention,3,late_geometric,20260910,P27,0.447605083088954
attention__fold3__late_geometric__20260910,attention,3,late_geometric,20260910,P36,0.3315117763081564
attention__fold3__late_geometric__20260910,attention,3,late_geometric,20260910,P46,0.3469387755102041
attention__fold3__late_geometric__20260910,attention,3,late_geometric,20260910,P8,0.24221918432444747
attention__fold3__late_geometric__20260911,attention,3,late_geometric,20260911,P18,0.32908704883227174
