task,scope,macro_score,balanced_accuracy,macro_f1
arousal,early,0.3593766401513479,0.3629461707719011,0.3621390526450113
arousal,fixed_logistic,0.3585524381973613,0.358948496359012,0.35657604471408244
arousal,late_geometric,0.36508552082201207,0.3650517537258522,0.3645103761360072
arousal,late_mean,0.36464409725742203,0.36477598646914094,0.36410141503673216
arousal,late_weighted,0.3625093623878424,0.3624794837502375,0.36203584910395753
arousal,unimodal,0.3475128055433443,0.3521280624135381,0.3510497314380391
attention,early,0.33892416458202346,0.3378068618751848,0.3191756973855939
attention,fixed_logistic,0.3335092771950853,0.3323720792664892,0.3278491073505519
attention,late_geometric,0.34254285678106433,0.34213250517598337,0.33028904268325665
attention,late_mean,0.34257060522804417,0.3421325051759835,0.32994424953505713
attention,late_weighted,0.34444636928454786,0.34423986986098787,0.3229307162479972
attention,unimodal,0.3449962946865395,0.3444986690328305,0.3120118157091154
