task,scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
arousal,early,20260910,0.3593766401513479,13524,25,0.3629461707719011,0.3621390526450113
arousal,early,20260911,0.3593766401513479,13524,25,0.3629461707719011,0.3621390526450113
arousal,fixed_logistic,20260910,0.3585524381973613,13524,25,0.358948496359012,0.35657604471408244
arousal,fixed_logistic,20260911,0.3585524381973613,13524,25,0.358948496359012,0.35657604471408244
arousal,late_geometric,20260910,0.36508552082201207,13524,25,0.3650517537258522,0.3645103761360072
arousal,late_geometric,20260911,0.36508552082201207,13524,25,0.3650517537258522,0.3645103761360072
arousal,late_mean,20260910,0.36464409725742203,13524,25,0.36477598646914094,0.36410141503673216
arousal,late_mean,20260911,0.36464409725742203,13524,25,0.36477598646914094,0.36410141503673216
arousal,late_weighted,20260910,0.3625093623878424,13524,25,0.3624794837502375,0.36203584910395753
arousal,late_weighted,20260911,0.3625093623878424,13524,25,0.3624794837502375,0.36203584910395753
arousal,unimodal,20260910,0.3477097520796122,13524,25,0.3521335551665092,0.3511940276273851
arousal,unimodal,20260911,0.3473158590070764,13524,25,0.352122569660567,0.3509054352486931
attention,early,20260910,0.3393024817879513,13524,25,0.3382135462880804,0.32132693798883
attention,early,20260911,0.3385458473760956,13524,25,0.3374001774622893,0.31702445678235786
attention,fixed_logistic,20260910,0.3335092771950853,13524,25,0.3323720792664892,0.3278491073505519
attention,fixed_logistic,20260911,0.3335092771950853,13524,25,0.3323720792664892,0.3278491073505519
attention,late_geometric,20260910,0.34167859294398606,13524,25,0.34131913635019223,0.3295044872575658
attention,late_geometric,20260911,0.34340712061814266,13524,25,0.34294587400177456,0.3310735981089475
attention,late_mean,20260910,0.3419978207304023,13524,25,0.34161490683229817,0.3294862940197623
attention,late_mean,20260911,0.343143389725686,13524,25,0.34265010351966874,0.33040220505035195
attention,late_weighted,20260910,0.34292402316844284,13524,25,0.3427979887607217,0.3201538665758265
attention,late_weighted,20260911,0.34596871540065294,13524,25,0.34568175096125403,0.32570756592016786
attention,unimodal,20260910,0.3450158030919719,13524,25,0.344572611653357,0.3097145416396639
attention,unimodal,20260911,0.34497678628110706,13524,25,0.344424726412304,0.3143090897785669
