task,fold,inner,candidate_id,score,fit_participants,evaluation_participants,context,estimator,strategy,weights,modality
attention,1,1,1__logistic__early__,0.3545877120866346,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,logistic,early,,
attention,1,1,"1__logistic__late_mean__0.5,0.5",0.3536360724072854,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,logistic,late_mean,"[0.5, 0.5]",
attention,1,1,"1__logistic__late_geometric__0.5,0.5",0.3542154609674433,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,logistic,late_geometric,"[0.5, 0.5]",
attention,1,1,"1__logistic__late_weighted__0.25,0.75",0.3603385545123632,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,logistic,late_weighted,"[0.25, 0.75]",
attention,1,1,"1__logistic__late_weighted__0.5,0.5",0.3536360724072854,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,logistic,late_weighted,"[0.5, 0.5]",
attention,1,1,"1__logistic__late_weighted__0.75,0.25",0.352542446203942,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,logistic,late_weighted,"[0.75, 0.25]",
attention,1,1,"1__logistic__unimodal__1.0,0.0",0.3531821102451578,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,logistic,unimodal,"[1.0, 0.0]",EEG
attention,1,1,"1__logistic__unimodal__0.0,1.0",0.3548888777673125,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,logistic,unimodal,"[0.0, 1.0]",GSR
attention,1,1,1__lda__early__,0.3538914358884269,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,lda,early,,
attention,1,1,"1__lda__late_mean__0.5,0.5",0.3530597123452856,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,lda,late_mean,"[0.5, 0.5]",
attention,1,1,"1__lda__late_geometric__0.5,0.5",0.3530262496787461,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,lda,late_geometric,"[0.5, 0.5]",
attention,1,1,"1__lda__late_weighted__0.25,0.75",0.3614692168344527,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,lda,late_weighted,"[0.25, 0.75]",
attention,1,1,"1__lda__late_weighted__0.5,0.5",0.3530597123452856,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,lda,late_weighted,"[0.5, 0.5]",
attention,1,1,"1__lda__late_weighted__0.75,0.25",0.3509354189798709,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,lda,late_weighted,"[0.75, 0.25]",
attention,1,1,"1__lda__unimodal__1.0,0.0",0.3533187419519103,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,lda,unimodal,"[1.0, 0.0]",EEG
attention,1,1,"1__lda__unimodal__0.0,1.0",0.3608624873957939,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,lda,unimodal,"[0.0, 1.0]",GSR
attention,1,1,1__extra_trees__early__,0.3793382512929768,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,extra_trees,early,,
attention,1,1,"1__extra_trees__late_mean__0.5,0.5",0.3679116637723857,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,extra_trees,late_mean,"[0.5, 0.5]",
attention,1,1,"1__extra_trees__late_geometric__0.5,0.5",0.3678760737736997,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,extra_trees,late_geometric,"[0.5, 0.5]",
attention,1,1,"1__extra_trees__late_weighted__0.25,0.75",0.3783209736888367,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,extra_trees,late_weighted,"[0.25, 0.75]",
attention,1,1,"1__extra_trees__late_weighted__0.5,0.5",0.3679116637723857,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,extra_trees,late_weighted,"[0.5, 0.5]",
attention,1,1,"1__extra_trees__late_weighted__0.75,0.25",0.3576273049674849,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,extra_trees,late_weighted,"[0.75, 0.25]",
attention,1,1,"1__extra_trees__unimodal__1.0,0.0",0.346689761718166,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,extra_trees,unimodal,"[1.0, 0.0]",EEG
attention,1,1,"1__extra_trees__unimodal__0.0,1.0",0.3676726200922052,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,extra_trees,unimodal,"[0.0, 1.0]",GSR
attention,1,1,8__logistic__early__,0.3476205035489849,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,logistic,early,,
