value,score,parameter
8.0,0.34032590288123543,context
32.0,0.33531500601693154,context
16.0,0.33891546060225475,hidden
32.0,0.3367254482959122,hidden
1.0,0.34152578621584617,layers
2.0,0.3341151226823208,layers
0.0003,0.33843253500620235,lr
0.001,0.3372083738919646,lr
0.1,0.33730998086405883,dropout
0.4,0.33833092803410814,dropout
2.0,0.34020005480484716,epoch
4.0,0.337202389401315,epoch
8.0,0.33402430318281495,epoch
16.0,0.3398550704073569,epoch
1.0,0.3366238922060442,smoothing
8.0,0.33855640517139973,smoothing
32.0,0.3382810659698065,smoothing
