fold,id,epoch,smoothing,score
1,g00,2,1,0.3375192328722122
1,g00,2,8,0.3383280420616854
1,g00,2,32,0.34968751989140623
1,g00,4,1,0.3302468377590896
1,g00,4,8,0.31057719908702025
1,g00,4,32,0.31860960350569084
1,g00,8,1,0.3481546490191838
1,g00,8,8,0.3438033240308479
1,g00,8,32,0.3440802240885299
1,g00,16,1,0.3570500925515122
1,g00,16,8,0.3496315826223495
1,g00,16,32,0.34966844397057756
1,g01,2,1,0.34792617964088524
1,g01,2,8,0.3449986803551801
1,g01,2,32,0.34993285617474856
1,g01,4,1,0.32195407400963005
1,g01,4,8,0.31685670212608524
1,g01,4,32,0.3275714097854403
1,g01,8,1,0.3468080341738285
1,g01,8,8,0.3389477399305568
1,g01,8,32,0.33791997693112874
1,g01,16,1,0.3670056191890092
1,g01,16,8,0.3633516942901955
1,g01,16,32,0.36622540230182815
1,g02,2,1,0.3473615511663009
1,g02,2,8,0.3329677284732171
1,g02,2,32,0.3322433309671436
1,g02,4,1,0.3645390851108964
1,g02,4,8,0.3608515099223982
1,g02,4,32,0.3643510702816589
1,g02,8,1,0.36320468965316777
1,g02,8,8,0.3572618811939376
1,g02,8,32,0.3491646180558594
1,g02,16,1,0.3388199545656295
1,g02,16,8,0.3336263819455363
1,g02,16,32,0.3320269171769188
1,g03,2,1,0.3537909664324069
1,g03,2,8,0.3371148962491659
1,g03,2,32,0.3376737939462095
1,g03,4,1,0.3725596248803256
1,g03,4,8,0.3736067647992811
1,g03,4,32,0.37360680422517095
1,g03,8,1,0.357760906445641
1,g03,8,8,0.3677181046475275
1,g03,8,32,0.36182157971315865
1,g03,16,1,0.3530416170884698
1,g03,16,8,0.3441425832790116
1,g03,16,32,0.34052945972569226
1,g04,2,1,0.380826640245568
1,g04,2,8,0.3835123706037403
1,g04,2,32,0.3765820028651019
1,g04,4,1,0.3737653815853631
1,g04,4,8,0.37010074091636697
1,g04,4,32,0.3638832359206664
1,g04,8,1,0.34165005437720475
1,g04,8,8,0.3481333046430252
1,g04,8,32,0.3447674778804713
1,g04,16,1,0.3511249828943473
1,g04,16,8,0.3479142725490311
1,g04,16,32,0.34583263839328593
1,g05,2,1,0.3783459883982931
1,g05,2,8,0.3777676443457744
1,g05,2,32,0.3841185304531169
1,g05,4,1,0.38025308541144165
1,g05,4,8,0.37019272347402454
1,g05,4,32,0.36803405298828645
1,g05,8,1,0.3531153679762895
1,g05,8,8,0.36040650109718236
1,g05,8,32,0.3577908011959893
1,g05,16,1,0.34379423081172794
1,g05,16,8,0.3437414500852952
1,g05,16,32,0.3392631022909367
1,g06,2,1,0.35391602014272827
1,g06,2,8,0.3492750094424517
1,g06,2,32,0.3468878242489861
1,g06,4,1,0.3374569526040769
1,g06,4,8,0.33668307000420483
1,g06,4,32,0.33496684595273096
1,g06,8,1,0.33420551662483167
1,g06,8,8,0.33890669913168064
1,g06,8,32,0.3359628306184156
1,g06,16,1,0.34550784070522134
1,g06,16,8,0.33708041408491307
1,g06,16,32,0.3387160464068149
1,g07,2,1,0.3780390127456643
1,g07,2,8,0.3635710552679285
1,g07,2,32,0.36361478396048513
1,g07,4,1,0.33966846275701484
1,g07,4,8,0.32691850958537494
1,g07,4,32,0.3242979809420688
1,g07,8,1,0.35935916655068495
1,g07,8,8,0.35627413882302555
1,g07,8,32,0.35042877012986007
1,g07,16,1,0.3313987331558946
1,g07,16,8,0.3370655213980654
1,g07,16,32,0.3347144102795692
1,g08,2,1,0.3751433663810133
1,g08,2,8,0.3725205803356757
1,g08,2,32,0.37365390243681784
1,g08,4,1,0.3673466785466747
1,g08,4,8,0.3718287708703733
1,g08,4,32,0.3698926117913571
1,g08,8,1,0.3634254037297502
1,g08,8,8,0.35865054357681514
1,g08,8,32,0.3538825027572484
1,g08,16,1,0.36828441443592114
1,g08,16,8,0.3644597369623873
1,g08,16,32,0.3546265932523322
1,g09,2,1,0.3693520174678536
1,g09,2,8,0.36995918216340795
1,g09,2,32,0.37609151265859436
1,g09,4,1,0.37552694658574903
1,g09,4,8,0.3814584134723925
1,g09,4,32,0.382140391949402
1,g09,8,1,0.35725692223556627
1,g09,8,8,0.36411530355814153
1,g09,8,32,0.3639849252709742
1,g09,16,1,0.3673011568092968
1,g09,16,8,0.37510056520003693
1,g09,16,32,0.36423607956342274
1,g10,2,1,0.3555025905668547
1,g10,2,8,0.3664448604513971
1,g10,2,32,0.36504953398972834
1,g10,4,1,0.3690869708072452
1,g10,4,8,0.3684820441175253
1,g10,4,32,0.35836276698696995
1,g10,8,1,0.3496979453553365
1,g10,8,8,0.3510880668698211
1,g10,8,32,0.34493680399272075
1,g10,16,1,0.3510552673890114
1,g10,16,8,0.3597828792111759
1,g10,16,32,0.36473442631549685
1,g11,2,1,0.35941672533475794
1,g11,2,8,0.367034691256091
1,g11,2,32,0.3663397596622209
1,g11,4,1,0.36123866308657426
1,g11,4,8,0.37738382166772644
1,g11,4,32,0.36658102101530177
1,g11,8,1,0.36545297403984467
1,g11,8,8,0.3742248603809357
1,g11,8,32,0.3616642666501431
1,g11,16,1,0.33293287162107543
1,g11,16,8,0.3315475783403036
1,g11,16,32,0.33056256425283764
1,g12,2,1,0.3733399642037952
1,g12,2,8,0.3594122645863277
1,g12,2,32,0.356180857313567
1,g12,4,1,0.34601190407500293
1,g12,4,8,0.3447480111793575
1,g12,4,32,0.3442609900101161
1,g12,8,1,0.3600563088282783
1,g12,8,8,0.35884749627276463
1,g12,8,32,0.3533864657066921
1,g12,16,1,0.33832783984823206
1,g12,16,8,0.3480067040835839
1,g12,16,32,0.3474598784855987
1,g13,2,1,0.383022034973408
1,g13,2,8,0.3663851221355549
1,g13,2,32,0.36648981763498717
1,g13,4,1,0.3545776239491853
1,g13,4,8,0.3546276774153878
1,g13,4,32,0.3562300885102801
1,g13,8,1,0.3639027445495775
1,g13,8,8,0.3590497914422165
1,g13,8,32,0.35725997373336527
1,g13,16,1,0.35524847493668726
1,g13,16,8,0.35290452505002784
1,g13,16,32,0.3456687843260749
1,g14,2,1,0.34232575144856614
1,g14,2,8,0.336989614275083
1,g14,2,32,0.33507834330265207
1,g14,4,1,0.3493546398686566
1,g14,4,8,0.33958426921748236
1,g14,4,32,0.3417913824559107
1,g14,8,1,0.33431219517772137
1,g14,8,8,0.3384116550095625
1,g14,8,32,0.33460065261834737
1,g14,16,1,0.33529697880103027
1,g14,16,8,0.3335233119128508
1,g14,16,32,0.33748100800533226
1,g15,2,1,0.3465831203570916
1,g15,2,8,0.34244930854197253
1,g15,2,32,0.3469270420555309
1,g15,4,1,0.36257807373464557
1,g15,4,8,0.35406104285376067
1,g15,4,32,0.3513038063559227
1,g15,8,1,0.3373076146048654
1,g15,8,8,0.3399435104891056
1,g15,8,32,0.33801937601300297
1,g15,16,1,0.32567112756533967
1,g15,16,8,0.3147083260364083
1,g15,16,32,0.30981565359272284
1,g16,2,1,0.3527370354339945
1,g16,2,8,0.35620825048535004
1,g16,2,32,0.3552128049983392
1,g16,4,1,0.3529778077010771
1,g16,4,8,0.33430259203299806
1,g16,4,32,0.3483475005164485
1,g16,8,1,0.3555040139596776
1,g16,8,8,0.3545726832868133
1,g16,8,32,0.3576118480618395
1,g16,16,1,0.3436782121335393
1,g16,16,8,0.3495545141797344
1,g16,16,32,0.34945887391694036
1,g17,2,1,0.3500774039147101
1,g17,2,8,0.3548343639310018
1,g17,2,32,0.3542818748215001
1,g17,4,1,0.35117502880831797
1,g17,4,8,0.33979827277281666
1,g17,4,32,0.3446793162148566
1,g17,8,1,0.3550546799300694
1,g17,8,8,0.3623388656071079
1,g17,8,32,0.3604524074113983
1,g17,16,1,0.34969281088175
1,g17,16,8,0.3489295088031195
1,g17,16,32,0.35111349159062516
1,g18,2,1,0.34555713139921557
1,g18,2,8,0.3473397638370702
1,g18,2,32,0.3429177656180795
1,g18,4,1,0.35334874292931334
1,g18,4,8,0.3485779777122758
1,g18,4,32,0.351584006934581
1,g18,8,1,0.34121865172440197
1,g18,8,8,0.3375349620669681
1,g18,8,32,0.3298042539492631
1,g18,16,1,0.3361305073193819
1,g18,16,8,0.33618179697960565
1,g18,16,32,0.33950524775873203
1,g19,2,1,0.3499842022289262
1,g19,2,8,0.35614576494373623
1,g19,2,32,0.3613672897836004
1,g19,4,1,0.3714300843126955
1,g19,4,8,0.3707652541652109
1,g19,4,32,0.37459549746360987
1,g19,8,1,0.3494955293084767
1,g19,8,8,0.35097918473317213
1,g19,8,32,0.3514910497893904
1,g19,16,1,0.34582683100926687
1,g19,16,8,0.336891867379043
1,g19,16,32,0.3398985311331636
1,g20,2,1,0.3797474771363297
1,g20,2,8,0.3854553002722339
1,g20,2,32,0.3732329709446414
1,g20,4,1,0.3783940199913797
1,g20,4,8,0.37093889033248295
1,g20,4,32,0.36205258727324763
1,g20,8,1,0.3264576585978716
1,g20,8,8,0.3267982822419585
1,g20,8,32,0.328362061149833
1,g20,16,1,0.3471303359078079
1,g20,16,8,0.34697539191528814
1,g20,16,32,0.34945407569649295
1,g21,2,1,0.38060573375627316
1,g21,2,8,0.38093379384651044
1,g21,2,32,0.3903588335919163
1,g21,4,1,0.3797702979762188
1,g21,4,8,0.3740688535188371
1,g21,4,32,0.3669551825893768
1,g21,8,1,0.32920948328088295
1,g21,8,8,0.3537406969281092
1,g21,8,32,0.35462206837007326
1,g21,16,1,0.33249389183924644
1,g21,16,8,0.3400688102652215
1,g21,16,32,0.3435576484455679
1,g22,2,1,0.32963766214107537
1,g22,2,8,0.34247815792005554
1,g22,2,32,0.343394754878227
1,g22,4,1,0.3330140020674307
1,g22,4,8,0.33572724917717467
1,g22,4,32,0.33110307382102233
1,g22,8,1,0.337796701085787
1,g22,8,8,0.3376076986542871
1,g22,8,32,0.3379972765114913
1,g22,16,1,0.3454429801286288
1,g22,16,8,0.35000502108586273
1,g22,16,32,0.35190518511008695
1,g23,2,1,0.36749256901219285
1,g23,2,8,0.37230519053442723
1,g23,2,32,0.36466040894246954
1,g23,4,1,0.33562145789685544
1,g23,4,8,0.3339535881829115
1,g23,4,32,0.33499862158088606
1,g23,8,1,0.3372412337763525
1,g23,8,8,0.338391180663663
1,g23,8,32,0.3452996165526385
1,g23,16,1,0.3471880945573904
1,g23,16,8,0.34985422428061297
1,g23,16,32,0.34397328599643295
1,g24,2,1,0.3747093389868413
1,g24,2,8,0.37010053525156456
1,g24,2,32,0.3691749918448181
1,g24,4,1,0.37128432938961137
1,g24,4,8,0.36780951136875745
1,g24,4,32,0.3691573581997976
1,g24,8,1,0.36857262487895237
1,g24,8,8,0.3616305469421526
1,g24,8,32,0.3670532153347457
1,g24,16,1,0.3414802856935845
1,g24,16,8,0.3440855757918251
1,g24,16,32,0.34642356901880544
1,g25,2,1,0.3664555944678615
1,g25,2,8,0.36981567096846935
1,g25,2,32,0.3723638247328991
1,g25,4,1,0.3811761456478872
1,g25,4,8,0.36814352936641986
1,g25,4,32,0.37249373098552907
1,g25,8,1,0.36328469030713034
1,g25,8,8,0.3648226968140809
1,g25,8,32,0.3686595194423675
1,g25,16,1,0.3400057820887735
1,g25,16,8,0.34587600667807106
1,g25,16,32,0.3481788711436954
1,g26,2,1,0.36345405319260626
1,g26,2,8,0.3655695828522199
1,g26,2,32,0.36434032146705403
1,g26,4,1,0.34644777183853587
1,g26,4,8,0.35561434934203623
1,g26,4,32,0.3588031439781993
1,g26,8,1,0.33977941593086275
1,g26,8,8,0.33484440600425475
