fold,scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
1,BiLSTM,20260913,0.31077062481277695,2886,5,0.31288981288981293,0.20844001560488665
1,BiLSTM,20260914,0.334388932267343,2886,5,0.33471933471933474,0.17660090544807514
1,repeat_current,20260913,0.3301960484891461,2886,5,0.3312543312543313,0.20291691373482323
1,repeat_current,20260914,0.3350391974969754,2886,5,0.33541233541233545,0.18020964360587002
2,BiLSTM,20260913,0.3134975134527008,2612,5,0.31604537945094735,0.2696277227759087
2,BiLSTM,20260914,0.31730696952217663,2612,5,0.3248031565257127,0.284241508454425
2,repeat_current,20260913,0.30993239729132416,2612,5,0.31033164610355374,0.2464621759947372
2,repeat_current,20260914,0.3247263078999689,2612,5,0.32678213645470844,0.26705439494181055
3,BiLSTM,20260913,0.3525931538627299,2659,5,0.3626466620855033,0.3571240620748179
3,BiLSTM,20260914,0.37924374488210505,2659,5,0.3825706166895601,0.3805788038023165
3,repeat_current,20260913,0.3503112295811506,2659,5,0.350783914200926,0.3467058400257572
3,repeat_current,20260914,0.3727346181147765,2659,5,0.3670439253764913,0.3663910875116498
4,BiLSTM,20260913,0.33631004764639955,2660,5,0.33420920698018275,0.3343835504524179
4,BiLSTM,20260914,0.3334719514960509,2660,5,0.329678416522243,0.3281772331455473
4,repeat_current,20260913,0.36464155138242244,2660,5,0.3645822994631085,0.343344734877054
4,repeat_current,20260914,0.36103019589298896,2660,5,0.3623482914737836,0.3512903472194558
5,BiLSTM,20260913,0.3502818378767285,2707,5,0.34399578696884675,0.3131345829882096
5,BiLSTM,20260914,0.3821678488140573,2707,5,0.34593252223526955,0.29732601280685145
5,repeat_current,20260913,0.3515538060784939,2707,5,0.33195335907470275,0.27029458393036004
5,repeat_current,20260914,0.37671239060088824,2707,5,0.3242550651903499,0.25526528605175913
