fold,scope,seed,participant,score
1,BiLSTM,20260913,P22,0.3063583815028902
1,BiLSTM,20260913,P24,0.2524084778420039
1,BiLSTM,20260913,P30,0.3737373737373737
1,BiLSTM,20260913,P43,0.33031674208144796
1,BiLSTM,20260913,P48,0.2910321489001692
1,BiLSTM,20260914,P22,0.32947976878612717
1,BiLSTM,20260914,P24,0.32947976878612717
1,BiLSTM,20260914,P30,0.3333333333333333
1,BiLSTM,20260914,P43,0.33785822021116135
1,BiLSTM,20260914,P48,0.34179357021996615
1,repeat_current,20260913,P22,0.30443159922928714
1,repeat_current,20260913,P24,0.30828516377649323
1,repeat_current,20260913,P30,0.3821548821548822
1,repeat_current,20260913,P43,0.32277526395173456
1,repeat_current,20260913,P48,0.3333333333333333
1,repeat_current,20260914,P22,0.3275529865125241
1,repeat_current,20260914,P24,0.3333333333333333
1,repeat_current,20260914,P30,0.3333333333333333
1,repeat_current,20260914,P43,0.3408748114630467
1,repeat_current,20260914,P48,0.3401015228426396
2,BiLSTM,20260913,P12,0.283088954056696
2,BiLSTM,20260913,P19,0.4339360587002096
2,BiLSTM,20260913,P2,0.38782148808230094
2,BiLSTM,20260913,P35,0.23148148148148143
2,BiLSTM,20260913,P40,0.231159584942816
2,BiLSTM,20260914,P12,0.2553833263510683
2,BiLSTM,20260914,P19,0.36470125786163526
2,BiLSTM,20260914,P2,0.44501195392306014
2,BiLSTM,20260914,P35,0.29444444444444445
2,BiLSTM,20260914,P40,0.22699386503067484
2,repeat_current,20260913,P12,0.248819997207094
2,repeat_current,20260913,P19,0.4381158280922432
2,repeat_current,20260913,P2,0.33021082373397087
2,repeat_current,20260913,P35,0.26666666666666666
2,repeat_current,20260913,P40,0.2658486707566462
2,repeat_current,20260914,P12,0.24888981985756178
2,repeat_current,20260914,P19,0.3961346960167715
2,repeat_current,20260914,P2,0.3720857784539593
2,repeat_current,20260914,P35,0.26296296296296295
2,repeat_current,20260914,P40,0.34355828220858897
3,BiLSTM,20260913,P18,0.2526539278131635
3,BiLSTM,20260913,P27,0.4424801005446167
3,BiLSTM,20260913,P36,0.35946165448427897
3,BiLSTM,20260913,P46,0.3788265306122449
3,BiLSTM,20260913,P8,0.3295435558593453
3,BiLSTM,20260914,P18,0.2908704883227176
3,BiLSTM,20260914,P27,0.4793464599916213
3,BiLSTM,20260914,P36,0.3633020071934099
3,BiLSTM,20260914,P46,0.4362244897959184
3,BiLSTM,20260914,P8,0.3264752791068581
3,repeat_current,20260913,P18,0.26963906581740976
3,repeat_current,20260913,P27,0.4253456221198157
3,repeat_current,20260913,P36,0.420536025060912
3,repeat_current,20260913,P46,0.3622448979591837
3,repeat_current,20260913,P8,0.2737905369484317
3,repeat_current,20260914,P18,0.28450106157112526
3,repeat_current,20260914,P27,0.42980030721966206
3,repeat_current,20260914,P36,0.4165796496113239
3,repeat_current,20260914,P46,0.43494897959183676
3,repeat_current,20260914,P8,0.2978430925799347
4,BiLSTM,20260913,P20,0.2922886500472707
4,BiLSTM,20260913,P3,0.36853002070393376
4,BiLSTM,20260913,P33,0.3846118564384818
4,BiLSTM,20260913,P4,0.27233115468409586
4,BiLSTM,20260913,P9,0.3637885563582158
4,BiLSTM,20260914,P20,0.28495546598994875
4,BiLSTM,20260914,P3,0.4202898550724638
4,BiLSTM,20260914,P33,0.3401330122692352
4,BiLSTM,20260914,P4,0.3028322440087146
4,BiLSTM,20260914,P9,0.31914918013989224
4,repeat_current,20260913,P20,0.353609991541026
4,repeat_current,20260913,P3,0.37267080745341613
4,repeat_current,20260913,P33,0.3864809081527347
4,repeat_current,20260913,P4,0.32461873638344224
4,repeat_current,20260913,P9,0.38582731338149295
4,repeat_current,20260914,P20,0.3710068666965219
4,repeat_current,20260914,P3,0.3581780538302277
4,repeat_current,20260914,P33,0.3826740052746245
4,repeat_current,20260914,P4,0.32897603485838783
4,repeat_current,20260914,P9,0.3643160188051829
5,BiLSTM,20260913,P13,0.3575199508901166
5,BiLSTM,20260913,P21,0.27973457328296036
5,BiLSTM,20260913,P26,0.43238095238095237
5,BiLSTM,20260913,P34,0.3429458740017746
5,BiLSTM,20260913,P44,0.3388278388278388
5,BiLSTM,20260914,P13,0.33533865357069775
5,BiLSTM,20260914,P21,0.2636442894507411
5,BiLSTM,20260914,P26,0.42095238095238097
5,BiLSTM,20260914,P34,0.5209405501330967
5,BiLSTM,20260914,P44,0.36996336996337
5,repeat_current,20260913,P13,0.3683957438101085
5,repeat_current,20260913,P21,0.25101230262520585
5,repeat_current,20260913,P26,0.42857142857142855
5,repeat_current,20260913,P34,0.37648624667258207
5,repeat_current,20260913,P44,0.3333033087131448
5,repeat_current,20260914,P13,0.3776140781665644
5,repeat_current,20260914,P21,0.26532015886854593
5,repeat_current,20260914,P26,0.4057142857142857
5,repeat_current,20260914,P34,0.5235581188997338
5,repeat_current,20260914,P44,0.31135531135531136
