id,score,context,hidden,layers,lr,dropout,family,decay,batch
g04,0.3709349631172394,8,16,2,0.0003,0.1,BiLSTM,0.01,256
g10,0.36868705508617305,8,32,1,0.001,0.1,BiLSTM,0.01,256
g05,0.36861603365372975,8,16,2,0.0003,0.4,BiLSTM,0.01,256
g07,0.3681570191517979,8,16,2,0.001,0.4,BiLSTM,0.01,256
g01,0.36652388670019753,8,16,1,0.0003,0.4,BiLSTM,0.01,256
g21,0.3661413428839057,32,16,2,0.0003,0.4,BiLSTM,0.01,256
g00,0.36408309323589333,8,16,1,0.0003,0.1,BiLSTM,0.01,256
g11,0.3638391355324538,8,32,1,0.001,0.4,BiLSTM,0.01,256
g09,0.36293781337155456,8,32,1,0.0003,0.4,BiLSTM,0.01,256
g17,0.3620481009059812,32,16,1,0.0003,0.4,BiLSTM,0.01,256
g27,0.3619833522216055,32,32,1,0.001,0.4,BiLSTM,0.01,256
g23,0.3618949465188613,32,16,2,0.001,0.4,BiLSTM,0.01,256
g08,0.36165318465149987,8,32,1,0.0003,0.1,BiLSTM,0.01,256
g02,0.3615016268586498,8,16,1,0.001,0.1,BiLSTM,0.01,256
g20,0.3609318498156463,32,16,2,0.0003,0.1,BiLSTM,0.01,256
g19,0.3606574221822926,32,16,1,0.001,0.4,BiLSTM,0.01,256
g31,0.35961773834192207,32,32,2,0.001,0.4,BiLSTM,0.01,256
g15,0.3593838512342358,8,32,2,0.001,0.4,BiLSTM,0.01,256
g03,0.3588090185013224,8,16,1,0.001,0.4,BiLSTM,0.01,256
g16,0.35878852591888555,32,16,1,0.0003,0.1,BiLSTM,0.01,256
g14,0.35827058616607893,8,32,2,0.001,0.1,BiLSTM,0.01,256
g26,0.3569111636760227,32,32,1,0.001,0.1,BiLSTM,0.01,256
g06,0.35596555385180395,8,16,2,0.001,0.1,BiLSTM,0.01,256
g18,0.35526076585479516,32,16,1,0.001,0.1,BiLSTM,0.01,256
g30,0.3546646884631742,32,32,2,0.001,0.1,BiLSTM,0.01,256
g12,0.35435101440025984,8,32,2,0.0003,0.1,BiLSTM,0.01,256
g13,0.35420820877241127,8,32,2,0.0003,0.4,BiLSTM,0.01,256
g22,0.3526119116921328,32,16,2,0.001,0.1,BiLSTM,0.01,256
g25,0.3512974329123766,32,32,1,0.0003,0.4,BiLSTM,0.01,256
g24,0.35063245073744953,32,32,1,0.0003,0.1,BiLSTM,0.01,256
g29,0.346583565541063,32,32,2,0.0003,0.4,BiLSTM,0.01,256
g28,0.3419590520942596,32,32,2,0.0003,0.1,BiLSTM,0.01,256
