value,score,parameter
8.0,0.3412958848204258,context
32.0,0.3397351870710032,context
16.0,0.3391873489992109,hidden
32.0,0.3418437228922181,hidden
1.0,0.3328775029950701,layers
2.0,0.34815356889635896,layers
0.0003,0.34044294391315116,lr
0.001,0.34058812797827787,lr
0.1,0.34057013195374897,dropout
0.4,0.34046093993768,dropout
2.0,0.33984374875925905,epoch
4.0,0.3427746975915482,epoch
8.0,0.3404415221793146,epoch
16.0,0.33900217525273607,epoch
1.0,0.34198687410885886,smoothing
8.0,0.33974853123782556,smoothing
32.0,0.33981120249045904,smoothing
