fold,scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
1,LSTM,20260913,0.3342513272626135,2886,5,0.3347193347193347,0.2519246706463013
1,LSTM,20260914,0.3234945162410353,2886,5,0.323977823977824,0.16839406639579402
1,repeat_current,20260913,0.3351718305632596,2886,5,0.3361053361053361,0.25682490229997385
1,repeat_current,20260914,0.3276524992765153,2886,5,0.3277893277893278,0.18038476241353107
2,LSTM,20260913,0.30764155592492204,2612,5,0.30957854406130264,0.2010938397138333
2,LSTM,20260914,0.324939067986485,2612,5,0.3260536398467433,0.20137393335437703
2,repeat_current,20260913,0.3134126430132912,2612,5,0.31494252873563217,0.2027687178065671
2,repeat_current,20260914,0.33014278183681667,2612,5,0.3306513409961686,0.1957190932338959
3,LSTM,20260913,0.3544943807442799,2659,5,0.36746617268794407,0.36316360012406107
3,LSTM,20260914,0.3339944201620425,2659,5,0.3536994538755767,0.344565762001036
3,repeat_current,20260913,0.3771498586632172,2659,5,0.37625738419532123,0.3740486045826841
3,repeat_current,20260914,0.3740217225939127,2659,5,0.3811129751679638,0.3721966608553671
4,LSTM,20260913,0.3185571019166992,2660,5,0.31653607030063036,0.3152182524348315
4,LSTM,20260914,0.31591545748263833,2660,5,0.3161517886909231,0.3157650833093495
4,repeat_current,20260913,0.36311712196385953,2660,5,0.36234532241057393,0.3516556205284056
4,repeat_current,20260914,0.350865892202778,2660,5,0.3514514053424475,0.34332586300616974
5,LSTM,20260913,0.36897944442880454,2707,5,0.35466452704689866,0.32671095693885416
5,LSTM,20260914,0.35040487195194603,2707,5,0.32179805750799756,0.2593269579298065
5,repeat_current,20260913,0.3637127697512811,2707,5,0.32693911179422536,0.2813926547387514
5,repeat_current,20260914,0.3698017309951188,2707,5,0.3448994948957351,0.23301852129884937
