fold,scope,seed,participant,score
1,LSTM,20260913,P22,0.2485549132947977
1,LSTM,20260913,P24,0.4104046242774566
1,LSTM,20260913,P30,0.2878787878787879
1,LSTM,20260913,P43,0.34539969834087475
1,LSTM,20260913,P48,0.37901861252115054
1,LSTM,20260914,P22,0.3044315992292871
1,LSTM,20260914,P24,0.3371868978805395
1,LSTM,20260914,P30,0.3148148148148148
1,LSTM,20260914,P43,0.33785822021116135
1,LSTM,20260914,P48,0.32318104906937395
1,repeat_current,20260913,P22,0.26011560693641617
1,repeat_current,20260913,P24,0.3930635838150289
1,repeat_current,20260913,P30,0.28619528619528617
1,repeat_current,20260913,P43,0.3574660633484163
1,repeat_current,20260913,P48,0.37901861252115054
1,repeat_current,20260914,P22,0.3159922928709056
1,repeat_current,20260914,P24,0.33911368015414256
1,repeat_current,20260914,P30,0.31648985669086177
1,repeat_current,20260914,P43,0.3333333333333333
1,repeat_current,20260914,P48,0.3333333333333333
2,LSTM,20260913,P12,0.20562770562770563
2,LSTM,20260913,P19,0.3480083857442348
2,LSTM,20260913,P2,0.3333333333333333
2,LSTM,20260913,P35,0.28518518518518515
2,LSTM,20260913,P40,0.3660531697341513
2,LSTM,20260914,P12,0.3376623376623377
2,LSTM,20260914,P19,0.3333333333333333
2,LSTM,20260914,P2,0.3582554517133956
2,LSTM,20260914,P35,0.29074074074074074
2,LSTM,20260914,P40,0.3047034764826176
2,repeat_current,20260913,P12,0.1948051948051948
2,repeat_current,20260913,P19,0.38155136268343814
2,repeat_current,20260913,P2,0.3333333333333333
2,repeat_current,20260913,P35,0.28518518518518515
2,repeat_current,20260913,P40,0.3721881390593047
2,repeat_current,20260914,P12,0.3398268398268398
2,repeat_current,20260914,P19,0.32914046121593293
2,repeat_current,20260914,P2,0.353582554517134
2,repeat_current,20260914,P35,0.29074074074074074
2,repeat_current,20260914,P40,0.3374233128834356
3,LSTM,20260913,P18,0.26963906581740976
3,LSTM,20260913,P27,0.4530512498254433
3,LSTM,20260913,P36,0.2946281471168349
3,LSTM,20260913,P46,0.4272959183673469
3,LSTM,20260913,P8,0.3278575225943647
3,LSTM,20260914,P18,0.20806794055201697
3,LSTM,20260914,P27,0.47881580784806593
3,LSTM,20260914,P36,0.28903585102680124
3,LSTM,20260914,P46,0.3596938775510204
3,LSTM,20260914,P8,0.334358623832308
3,repeat_current,20260913,P18,0.28874734607218683
3,repeat_current,20260913,P27,0.4383884932272029
3,repeat_current,20260913,P36,0.4224504002784546
3,repeat_current,20260913,P46,0.4145408163265306
3,repeat_current,20260913,P8,0.3216222374117111
3,repeat_current,20260914,P18,0.28450106157112526
3,repeat_current,20260914,P27,0.49636922217567375
3,repeat_current,20260914,P36,0.3795567931314538
3,repeat_current,20260914,P46,0.3864795918367347
3,repeat_current,20260914,P8,0.3232019442545759
4,LSTM,20260913,P20,0.28216276061103646
4,LSTM,20260913,P3,0.31262939958592134
4,LSTM,20260913,P33,0.3555899552803578
4,LSTM,20260913,P4,0.29411764705882354
4,LSTM,20260913,P9,0.348285747047357
4,LSTM,20260914,P20,0.30077250335871025
4,LSTM,20260914,P3,0.4057971014492754
4,LSTM,20260914,P33,0.3144478844169247
4,LSTM,20260914,P4,0.20043572984749455
4,LSTM,20260914,P9,0.35812406834078664
4,repeat_current,20260913,P20,0.3336070060207992
4,repeat_current,20260913,P3,0.34575569358178054
4,repeat_current,20260913,P33,0.39431257883270265
4,repeat_current,20260913,P4,0.3093681917211329
4,repeat_current,20260913,P9,0.43254213966288263
4,repeat_current,20260914,P20,0.33796088968502763
4,repeat_current,20260914,P3,0.36853002070393376
4,repeat_current,20260914,P33,0.3904598096548561
4,repeat_current,20260914,P4,0.2679738562091503
4,repeat_current,20260914,P9,0.3894048847609219
5,LSTM,20260913,P13,0.36857990587272355
5,LSTM,20260913,P21,0.25819044851302914
5,LSTM,20260913,P26,0.41523809523809524
5,LSTM,20260913,P34,0.37067435669920146
5,LSTM,20260913,P44,0.43221441582097325
5,LSTM,20260914,P13,0.3297524043380397
5,LSTM,20260914,P21,0.2851593529012884
5,LSTM,20260914,P26,0.41333333333333333
5,LSTM,20260914,P34,0.37031943212067436
5,LSTM,20260914,P44,0.35345983706639444
5,repeat_current,20260913,P13,0.36464088397790057
5,repeat_current,20260913,P21,0.22044948173980436
5,repeat_current,20260913,P26,0.358095238095238
5,repeat_current,20260913,P34,0.45962732919254656
5,repeat_current,20260913,P44,0.4157509157509158
5,repeat_current,20260914,P13,0.4106813996316759
5,repeat_current,20260914,P21,0.3119345151603216
5,repeat_current,20260914,P26,0.4266666666666667
5,repeat_current,20260914,P34,0.3682342502218279
5,repeat_current,20260914,P44,0.33149182329510196
