id,score,context,hidden,layers,lr,dropout,family,decay,batch
g21,0.37794601147829876,32,16,2,0.0003,0.4,LSTM,0.01,256
g05,0.37741021756981274,8,16,2,0.0003,0.4,LSTM,0.01,256
g20,0.37645289334961896,32,16,2,0.0003,0.1,LSTM,0.01,256
g04,0.3746307707845604,8,16,2,0.0003,0.1,LSTM,0.01,256
g15,0.3740246964120156,8,32,2,0.001,0.4,LSTM,0.01,256
g30,0.373941406136476,32,32,2,0.001,0.1,LSTM,0.01,256
g12,0.37180527645890926,8,32,2,0.0003,0.1,LSTM,0.01,256
g28,0.3710589013203743,32,32,2,0.0003,0.1,LSTM,0.01,256
g13,0.37041513317675545,8,32,2,0.0003,0.4,LSTM,0.01,256
g07,0.37015658579251837,8,16,2,0.001,0.4,LSTM,0.01,256
g09,0.36999017816507973,8,32,1,0.0003,0.4,LSTM,0.01,256
g08,0.3693457978090713,8,32,1,0.0003,0.1,LSTM,0.01,256
g29,0.36910923048156563,32,32,2,0.0003,0.4,LSTM,0.01,256
g10,0.36908938062849894,8,32,1,0.001,0.1,LSTM,0.01,256
g27,0.3689541732167435,32,32,1,0.001,0.4,LSTM,0.01,256
g31,0.36878279320335156,32,32,2,0.001,0.4,LSTM,0.01,256
g25,0.3672946942807728,32,32,1,0.0003,0.4,LSTM,0.01,256
g11,0.36644325308864,8,32,1,0.001,0.4,LSTM,0.01,256
g18,0.36637168170640255,32,16,1,0.001,0.1,LSTM,0.01,256
g24,0.3663221580212047,32,32,1,0.0003,0.1,LSTM,0.01,256
g14,0.36563699040874986,8,32,2,0.001,0.1,LSTM,0.01,256
g26,0.36514746464636955,32,32,1,0.001,0.1,LSTM,0.01,256
g23,0.36474754634083995,32,16,2,0.001,0.4,LSTM,0.01,256
g22,0.36450904461653794,32,16,2,0.001,0.1,LSTM,0.01,256
g06,0.3644689174329503,8,16,2,0.001,0.1,LSTM,0.01,256
g02,0.36318363466022874,8,16,1,0.001,0.1,LSTM,0.01,256
g00,0.3624699154073622,8,16,1,0.0003,0.1,LSTM,0.01,256
g19,0.36195266192908554,32,16,1,0.001,0.4,LSTM,0.01,256
g16,0.3619237614346763,32,16,1,0.0003,0.1,LSTM,0.01,256
g03,0.36105610443571606,8,16,1,0.001,0.4,LSTM,0.01,256
g17,0.3577233390928486,32,16,1,0.0003,0.4,LSTM,0.01,256
g01,0.35651851452982014,8,16,1,0.0003,0.4,LSTM,0.01,256
