value,score,parameter
8.0,0.3415332383371521,context
32.0,0.3393180341659125,context
16.0,0.3443498775041858,hidden
32.0,0.3365013949988788,hidden
1.0,0.34067003656454153,layers
2.0,0.34018123593852306,layers
0.0003,0.3403303822087355,lr
0.001,0.340520890294329,lr
0.1,0.33868761915199497,dropout
0.4,0.3421636533510696,dropout
2.0,0.3412052833834151,epoch
4.0,0.34022682148493666,epoch
8.0,0.33995988892067264,epoch
16.0,0.34031055121710474,epoch
1.0,0.3430755841306918,smoothing
8.0,0.33871087548647566,smoothing
32.0,0.33949044913742943,smoothing
