fold,id,epoch,smoothing,score
1,g00,2,1,0.37144802502353985
1,g00,2,8,0.34841693605995666
1,g00,2,32,0.3602238578742338
1,g00,4,1,0.3791667037446127
1,g00,4,8,0.36626997431999064
1,g00,4,32,0.3655840143172605
1,g00,8,1,0.3697979743700072
1,g00,8,8,0.36117928177687186
1,g00,8,32,0.3569870159679685
1,g00,16,1,0.3637419506566518
1,g00,16,8,0.33689231237533934
1,g00,16,32,0.33330866028492945
1,g01,2,1,0.36917192946532595
1,g01,2,8,0.3455001375073294
1,g01,2,32,0.3498664492494175
1,g01,4,1,0.3682495370970074
1,g01,4,8,0.35827221841033546
1,g01,4,32,0.37336760439081457
1,g01,8,1,0.3806088309876553
1,g01,8,8,0.36533386174200166
1,g01,8,32,0.3640698886489995
1,g01,16,1,0.3841210380843734
1,g01,16,8,0.3690890366545901
1,g01,16,32,0.3712798616438594
1,g02,2,1,0.37658241737501585
1,g02,2,8,0.36078534369017606
1,g02,2,32,0.3619443141922615
1,g02,4,1,0.3646666358402173
1,g02,4,8,0.34888478193934563
1,g02,4,32,0.3451544710428616
1,g02,8,1,0.35120596560628153
1,g02,8,8,0.3380686711398638
1,g02,8,32,0.32879991160917893
1,g02,16,1,0.35916871575860987
1,g02,16,8,0.33173222300572847
1,g02,16,32,0.3231510078747494
1,g03,2,1,0.37932882427551007
1,g03,2,8,0.35658730291780305
1,g03,2,32,0.35626195538748656
1,g03,4,1,0.3836032016922235
1,g03,4,8,0.3890813804402727
1,g03,4,32,0.3906922230992281
1,g03,8,1,0.38480218169735614
1,g03,8,8,0.3567417174249362
1,g03,8,32,0.35224489473685533
1,g03,16,1,0.38320620893704244
1,g03,16,8,0.34695138910861567
1,g03,16,32,0.33902922231508575
1,g04,2,1,0.3403725622647695
1,g04,2,8,0.34467545609258593
1,g04,2,32,0.3508921927236736
1,g04,4,1,0.36132630307243263
1,g04,4,8,0.35014023759673046
1,g04,4,32,0.34969057133307274
1,g04,8,1,0.37267525795846046
1,g04,8,8,0.3527188847922748
1,g04,8,32,0.3443075985503826
1,g04,16,1,0.36251627257535096
1,g04,16,8,0.34921501417431033
1,g04,16,32,0.34765231307047695
1,g05,2,1,0.3533009147268594
1,g05,2,8,0.3632438427613509
1,g05,2,32,0.3623503594512282
1,g05,4,1,0.34905231103259005
1,g05,4,8,0.35605872294741203
1,g05,4,32,0.3617286151488505
1,g05,8,1,0.36650855160602624
1,g05,8,8,0.36738879967876364
1,g05,8,32,0.368610351394758
1,g05,16,1,0.37517137194433553
1,g05,16,8,0.3669738473730551
1,g05,16,32,0.36423583505650886
1,g06,2,1,0.36271441567239837
1,g06,2,8,0.35229048845378674
1,g06,2,32,0.3478399134106497
1,g06,4,1,0.378700379727346
1,g06,4,8,0.34625207468308733
1,g06,4,32,0.34114081965476023
