fold,scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
1,TCN,20260913,0.3471213833059052,2886,5,0.34927234927234924,0.32614471066158185
1,TCN,20260914,0.34335865711399505,2886,5,0.3444213444213444,0.3031139861817425
1,repeat_current,20260913,0.3391266268513035,2886,5,0.34130284130284133,0.3175647266964802
1,repeat_current,20260914,0.34205123957140215,2886,5,0.34234234234234234,0.30028814571007145
2,TCN,20260913,0.3176190600864134,2612,5,0.3183644416323948,0.27005049584492385
2,TCN,20260914,0.3383474657159152,2612,5,0.34281169812647194,0.32082249028867493
2,repeat_current,20260913,0.31311225404980425,2612,5,0.31415954866603396,0.2611722277179219
2,repeat_current,20260914,0.33436762048799507,2612,5,0.33823157228725087,0.3111480695399024
3,TCN,20260913,0.378057591486562,2659,5,0.3819014486531809,0.37803407384492327
3,TCN,20260914,0.3766639160810116,2659,5,0.37649374981933903,0.36758212971828846
3,repeat_current,20260913,0.35801310247668716,2659,5,0.36065004518857285,0.35880604857485077
3,repeat_current,20260914,0.3605902712866412,2659,5,0.3608440183149197,0.35933954337801305
4,TCN,20260913,0.3348775626817643,2660,5,0.33410910713482855,0.2929312155805653
4,TCN,20260914,0.3353281119593706,2660,5,0.33601524571542973,0.3068115465391719
4,repeat_current,20260913,0.3320552827535946,2660,5,0.3310989011921213,0.28516562536961204
4,repeat_current,20260914,0.32906323306031343,2660,5,0.3299944096781281,0.2981763075043411
5,TCN,20260913,0.3679862438142104,2707,5,0.3497111259803775,0.249949722544507
5,TCN,20260914,0.3896620597951156,2707,5,0.35676753689359053,0.3424727475108038
5,repeat_current,20260913,0.36935701976628904,2707,5,0.347666285208924,0.24403149929409954
5,repeat_current,20260914,0.37994607254007906,2707,5,0.346847082734072,0.3349196678078031
