id,score,context,hidden,layers,lr,dropout,family,decay,batch
g07,0.3767626089137272,8,16,2,0.001,0.4,TCN,0.01,256
g21,0.3753565357035743,32,16,2,0.0003,0.4,TCN,0.01,256
g25,0.3707417338241121,32,32,1,0.0003,0.4,TCN,0.01,256
g05,0.3698243410063323,8,16,2,0.0003,0.4,TCN,0.01,256
g02,0.3694460730062952,8,16,1,0.001,0.1,TCN,0.01,256
g23,0.36874542805643074,32,16,2,0.001,0.4,TCN,0.01,256
g09,0.36850711318878276,8,32,1,0.0003,0.4,TCN,0.01,256
g06,0.3671821760541576,8,16,2,0.001,0.1,TCN,0.01,256
g11,0.3669549219766058,8,32,1,0.001,0.4,TCN,0.01,256
g04,0.36677125814840456,8,16,2,0.0003,0.1,TCN,0.01,256
g03,0.3664844381717173,8,16,1,0.001,0.4,TCN,0.01,256
g18,0.36624592325260663,32,16,1,0.001,0.1,TCN,0.01,256
g20,0.3658827041174586,32,16,2,0.0003,0.1,TCN,0.01,256
g10,0.36532665884733284,8,32,1,0.001,0.1,TCN,0.01,256
g00,0.3652018368563067,8,16,1,0.0003,0.1,TCN,0.01,256
g01,0.36338415539267804,8,16,1,0.0003,0.4,TCN,0.01,256
g27,0.3627524171495617,32,32,1,0.001,0.4,TCN,0.01,256
g17,0.36216406096775744,32,16,1,0.0003,0.4,TCN,0.01,256
g08,0.3617184183129108,8,32,1,0.0003,0.1,TCN,0.01,256
g22,0.3613812446093735,32,16,2,0.001,0.1,TCN,0.01,256
g16,0.36120998113390357,32,16,1,0.0003,0.1,TCN,0.01,256
g26,0.3611022154274314,32,32,1,0.001,0.1,TCN,0.01,256
g19,0.36098720059685585,32,16,1,0.001,0.4,TCN,0.01,256
g13,0.3606879658862538,8,32,2,0.0003,0.4,TCN,0.01,256
g24,0.3603694087483397,32,32,1,0.0003,0.1,TCN,0.01,256
g30,0.35816065881422066,32,32,2,0.001,0.1,TCN,0.01,256
g15,0.3580040078072623,8,32,2,0.001,0.4,TCN,0.01,256
g31,0.35786646936646616,32,32,2,0.001,0.4,TCN,0.01,256
g14,0.3563878000342572,8,32,2,0.001,0.1,TCN,0.01,256
g29,0.35432850832999585,32,32,2,0.0003,0.4,TCN,0.01,256
g12,0.35110963455499566,8,32,2,0.0003,0.1,TCN,0.01,256
g28,0.34967110410495256,32,32,2,0.0003,0.1,TCN,0.01,256
