family,scope,reference,delta,ci_low,ci_high,improve,ties
BiLSTM,BiLSTM,Ridge,-0.033746674600707946,-0.06064868661058522,-0.005132877627912286,9,0
BiLSTM,BiLSTM,Ridge sin fixation_count,-0.04332166498852601,-0.07235796667657286,-0.013849153352029589,5,1
BiLSTM,BiLSTM,Transformer grid,-0.011597666451449211,-0.032774121619891974,0.0084544554559583,11,0
BiLSTM,BiLSTM,Control_repetido,-0.006684511819506642,-0.019965040594837787,0.007114623310120932,11,0
BiLSTM,repeat_current,Ridge,-0.0270621627812013,-0.05602062868213146,0.003563544506411835,9,0
BiLSTM,repeat_current,Ridge sin fixation_count,-0.036637153169019374,-0.06683610325167597,-0.004988153070235169,7,0
BiLSTM,repeat_current,Transformer grid,-0.004913154631942569,-0.025345545024060123,0.015160124107175193,13,0
BiLSTM,repeat_current,Control_repetido,0.0,0.0,0.0,0,25
LSTM,LSTM,Ridge,-0.04148272265386818,-0.06562713336723967,-0.016425243655304064,4,0
LSTM,LSTM,Ridge sin fixation_count,-0.05105771304168625,-0.07633519557956281,-0.025403683363977664,3,0
LSTM,LSTM,Transformer grid,-0.019333714504609446,-0.03211137963232257,-0.007006890662308637,4,0
LSTM,LSTM,Control_repetido,-0.017237670675858366,-0.029587362572356776,-0.0061822595244357716,9,1
LSTM,repeat_current,Ridge,-0.024245051978009816,-0.04921989350577673,0.001117310564510134,8,0
LSTM,repeat_current,Ridge sin fixation_count,-0.03382004236582788,-0.059566151289575195,-0.007349388429640254,6,0
LSTM,repeat_current,Transformer grid,-0.0020960438287510774,-0.016987615001406085,0.013818502248989983,12,0
LSTM,repeat_current,Control_repetido,0.0,0.0,0.0,0,25
TCN,TCN,Ridge,-0.0218477318599885,-0.04815315014058422,0.007706779333797013,10,0
TCN,TCN,Ridge sin fixation_count,-0.03142272224780657,-0.056923055977399044,-0.001959545641794032,8,0
TCN,TCN,Transformer grid,0.0003012762892702381,-0.019374719412307163,0.01894078213217934,13,0
TCN,TCN,Control_repetido,0.007133932919615362,-0.001336142923047263,0.015148840521130788,20,0
TCN,repeat_current,Ridge,-0.02898166477960386,-0.05564690452100043,-4.813244579313849e-05,9,1
TCN,repeat_current,Ridge sin fixation_count,-0.03855665516742193,-0.0655833291491032,-0.00946798349956797,7,0
TCN,repeat_current,Transformer grid,-0.0068326566303451245,-0.026160575492035064,0.012111984742281803,12,0
TCN,repeat_current,Control_repetido,0.0,0.0,0.0,0,25
