family,scope,label,recall,predicted_fraction
BiLSTM,BiLSTM,bajo,0.43230309072781653,0.43193581780538304
BiLSTM,BiLSTM,medio,0.16219158200290276,0.15849600709849157
BiLSTM,BiLSTM,alto,0.39817142857142857,0.4095681750961254
BiLSTM,repeat_current,bajo,0.4264207377866401,0.43175096125406687
BiLSTM,repeat_current,medio,0.1127237542331882,0.11457409050576753
BiLSTM,repeat_current,alto,0.4529142857142857,0.45367494824016563
LSTM,LSTM,bajo,0.48703888334995016,0.48794735285418517
LSTM,LSTM,medio,0.14477503628447025,0.15587104406980185
LSTM,LSTM,alto,0.34217142857142857,0.356181603076013
LSTM,repeat_current,bajo,0.481555333998006,0.4783717834960071
LSTM,repeat_current,medio,0.11623125302370585,0.11283643892339544
LSTM,repeat_current,alto,0.41062857142857145,0.4087917775805975
TCN,TCN,bajo,0.43958125623130606,0.4277950310559006
TCN,TCN,medio,0.1450169327527818,0.1393818396923987
TCN,TCN,alto,0.4449142857142857,0.4328231292517007
TCN,repeat_current,bajo,0.4449651046859422,0.43984767820171544
TCN,repeat_current,medio,0.1354620222544751,0.13649807749186632
TCN,repeat_current,alto,0.4249142857142857,0.42365424430641824
